MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nWah! Griss...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nMilady Veyle? Ihr seht erschrocken aus. Ist\netwas passiert?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nOh, nichts, ähm... Gregory. Es tut mir leid.\nBitte, beachte mich gar nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nグレゴリー\nAlso eigentlich bin ich froh, Euch zu treffen.\nIch will schon seit einer Weile mit Euch\nsprechen.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Anstatt hier zu stehen, wollt Ihr Euch nicht\nlieber auf den Baumstumpf dort drüben setzen,\nwährend wir uns unterhalten?\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Hrmpf... Ich habe gar nichts dabei, was Euch\nals Decke dienen könnte. Ich hätte besser\nvorausdenken sollen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nIst schon gut. Wir können uns auch im Stehen\nunterhalten.\x0E\x04\x02\x00
MID_RELIANCE_C_#008	Oder du setzt dich auf den Stumpf. Ich kann\nmich gerne auf den Boden setzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nグレゴリー\nWas?! Nein. Das würde ich niemals von Euch\nverlangen.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Bitte, setzt Euch auf den Stumpf. Ich würde\nmich schlecht fühlen, wenn Ihr meinetwegen\nim Dreck sitzen müsstet.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ヴェイル\nEs tut mir leid. Ich wollte nicht solche Umstände\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nNein, entschuldigt Euch nicht! Ich wollte nur...\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Moment, Ihr zittert ja. Geht es Euch gut?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ヴェイル\nMir geht es gut. Dich zu sehen... weckt\nErinnerungen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nErinnerungen an mein „Ich“ aus dieser Welt,\nmeint Ihr?\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Wenn ich Euren Gesichtsausdruck sehe, muss\nich davon ausgehen, dass es keine angenehmen\nsind.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ヴェイル\nEs tut mir leid, Gregory. Ich verstehe, dass du\neine andere Person bist.\x0E\x04\x02\x00
MID_RELIANCE_C_#018	Es ist nur, nun...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nグレゴリー\nEs ist schon gut. Ihr müsst nichts erklären. Ich\nlöse bei Euch Unbehagen aus. Wir können uns\nein andermal unterhalten.\x0E\x04\x02\x00
MID_RELIANCE_C_#020	Ich war einfach nur dankbar, dass ich Euer\nGesicht sehen und Eure Stimme hören konnte.\nBitte, macht Euch keine Gedanken.\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Bis später mal, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ヴェイル\nEr sieht aus wie Griss... aber sie könnten unter-\nschiedlicher nicht sein. Ich sollte versuchen,\nfreundlicher zu ihm zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nMilady Veyle, ich möchte unser letztes Treffen\nwiedergutmachen. Ich habe Euch ein Geschenk\nmitgebracht.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nEin Geschenk? Vielen Dank, Gregory. Was ist es\ndenn?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nグレゴリー\nNun, ich habe mich umgehört und herausge-\nfunden, dass Ihr scharfe Speisen mögt, also...\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Ging ich in den Ort und habe Euch die schärfs-\nten Naschereien mitgebracht, die ich finden\nkonnte. Wollen wir sie zusammen probieren?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ヴェイル\nDu hast dir für mich so viel Mühe gemacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nグレゴリー\nWenn eine Sache die Mühe wert ist, dann ist sie\nes auch wert, es richtig zu machen. Bitte, wenn\nEuch etwas schmackhaft erscheint, greift zu!\x0E\x04\x00\x00
