MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0A\x04ルイ\x022\n\x0E\x03\x02\x0A\x08リュール\nLouis? Was machst du denn da?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nOh, hallo, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Nichts Besonderes\neigentlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nIch beobachte lediglich die zwei dort drüben,\nwie sie vergnüglich miteinander plaudern.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nÄhm, gut. Und das machst du... wieso genau?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nDas ist die Frage der Fragen, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\n„Wieso“... Diese eigentlich so simple Frage zu\nstellen, kommt in vielerlei Hinsicht einem\nphilosophischen Diskurs gleich.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ルイ\nAls Antwort auf diese Frage würde ich wohl\nentgegnen... weil ich es als lehrreich empfinde.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nDu beobachtest, wie sich Personen\nunterhalten, um daraus etwas zu lernen?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nGanz genau. Diesen scheinbar simplen\nZusammenkünften wohnt tiefe Bedeutung inne.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ルイ\nDurch den Akt der Betrachtung offenbaren sich\nmir viele wunderbare und subtile Details.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nWenn man solche Zusammenkünfte bloß wie\nein Kunstwerk in einer Galerie behandelt, kann\ndaraus wirklich Schaden entstehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nIch, äh... Nun ja, möglicherweise doch.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nWas richtig und was falsch ist, wird nicht nur\nvon Regeln und Gesetzen bestimmt. Es gibt\nauch so etwas wie Höflichkeit und Anstand.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nWenn du wüsstest, dass die beiden nicht\nbeobachtet werden wollten, würdest du aber\naufhören, ja?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ルイ\nGewiss doch, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ルイ\nIch würde niemals mein eigenes Vergnügen\nüber das Wohlbehagen anderer stellen.\x0E\x04\x00\x00
