MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nHyah!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nシトリニカ\nEs will mir einfach nicht gelingen.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nHallo, Citrinne. Übst du mit Magie?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nOh! Alcryst! Wo kommst du denn her?\nHast du dich verlaufen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nWie? Nein, ich komme hier nur zufällig vorbei.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nシトリニカ\nAha. Meine Güte... du warst so leise.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nDu scheinst deine Freizeit stets dem Training\nzu widmen, Citrinne. Ich bewundere deine\nHingabe.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nVermutlich bist du die eifrigste Person in ganz\nBrodia.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nIch weiß deine netten Worte zu schätzen,\nAlcryst, aber...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nAll dieses Training reicht nicht. Mein Können\nliegt weit unter den Fähigkeiten aller anderen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nシトリニカ\nIch muss, muss, muss stärker werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nWirklich? Warum? Ich finde, du bist gut, so wie\ndu bist. Außerdem werde ich dich beschützen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nAh, ja. Das ist der Alcryst, den ich schon als\nKind kannte – er setzt das Wohl anderer vor\nsein eigenes.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nUnd dennoch... Ich darf mich nicht auf deine\nFreundlichkeit verlassen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nLetzten Endes...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nスタルーク\nCitrinne?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nAh, schon gut. Es ist nichts.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nIch muss mit meinem Training fortfahren.\nBitte entschuldige mich, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nスタルーク\nOh, ähm... Ja, gut, Citrinne...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x01\x0C\nシトリニカ\n\x0E\x03\x02\x0C\nスタルーク\nIrgendetwas bereitet ihr Sorgen. Aber was nur?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nOh, es ist hoffnungslos. Selbst, wenn ich mein\nBestes gebe, ist es unzureichend.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nシトリニカ\nIch... Ich verdiene es nicht, mich Alcrysts\nGetreue zu nennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x02\x0C\nスタルーク\nDem muss ich widersprechen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst! Schon wieder? Wie lange bist du\nschon hier?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nEine Weile. Verzeih, dass ich dich beobachtet\nhabe. Seit unserem letzten Gespräch mache ich\nmir Sorgen um dich.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nGlaubst du wirklich, du hättest es nicht verdient\nmeine Getreue zu sein? Du weißt, dass das\nnicht wahr ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst, du und ich, wir sind Cousin und\nCousine – praktisch wie Geschwister, seit\nwir zusammen aufwuchsen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nSolange ich dich kenne, hast du eine schlechte\nMeinung über dich selbst.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nIm Schatten Diamants aufzuwachsen ließ dir\nnicht viele Möglichkeiten, selbst zu strahlen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nDas ist wahr. Ich vermute, es ist auch heute\nnoch so.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nAber ich habe dich strahlen gesehen. Ich sehe,\nwie unglaublich du wirklich bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nDu erkennst stets sofort das Talent oder die\nQualitäten von jemandem und stellst sicher,\ndass jeder diese erkennt.\x0E\x04\x02\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nDu unterstützt und lobst alle um dich herum\nganz offen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nMir fiele noch viel mehr ein.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nスタルーク\nDu zollst mir zu viel Anerkennung.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nシトリニカ\nJemand wie du sollte beschützt werden. So\ndenke ich schon über dich seit unserer Kindheit.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nAber was für eine Närrin war ich, zu denken,\ndass ich dazu in der Lage sei. Überzeugungen\nreichen nicht aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nIch bin einfach nicht stark genug, um für\ndeine Sicherheit zu sorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nスタルーク\nDas stimmt nicht!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nシトリニカ\nEs tut mir leid, Alcryst. Es tut mir so leid, dass\nsie mich zu deiner Getreuen bestimmt haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nシトリニカ\nWenn du mich nicht am Hals hättest... Ich bin\nsicher, dir stünde jemand zur Seite, der stärker\nist.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nスタルーク\nCitrinne...\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nシトリニカ\x022\n\x0E\x03\x02\x0C\nスタルーク\nCitrinne, hättest du einen Moment Zeit\nfür mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nOh, Alcryst.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nスタルーク\nIch weiß nicht, ob es daran liegt, dass wir ver-\nwandt sind, aber wir haben viel gemeinsam.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nスタルーク\nWie du weißt... habe auch ich meine Probleme,\nmeinen Selbstwert zu akzeptieren. Ich erkenne\ndas gleiche Hadern in dir.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nシトリニカ\nWie meinst du das?\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nスタルーク\nDu bist überzeugt, du seist zu schwach, um\nmeine Getreue zu sein. Aber du liegst absolut\nfalsch.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst, du musst dich wirklich nicht bemühen,\ndamit ich mich besser fühle.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nシトリニカ\nIm Hinblick auf meine Stärke kann ich mit den\nanderen königlichen Getreuen nicht mithalten.\nDas ist unbestreitbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nスタルーク\nWenn es um reine Kraft geht, mag das sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nスタルーク\nDeshalb nutzt du jeden Augenblick deiner freien\nZeit, um zu trainieren, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nスタルーク\nOb Regen oder Sonnenschein, du hast es noch\nkeinen Tag ausfallen lassen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nスタルーク\nDir mag es an physischer Stärke fehlen, aber\ndas machst du mit deinem starken Willen wieder\nwett. Und das ist es, was zählt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nシトリニカ\nMag sein, aber die Hingabe zum Training allein\nmacht noch keinen würdigen Getreuen aus.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nスタルーク\nAuch hier muss ich dir widersprechen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nスタルーク\nDa ich weiß, wie ernst du deine Rolle nimmst,\nist es leicht für mich, mein Vertrauen in dich\nzu setzen. Und daher tue ich das.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nシトリニカ\nDas tust du? Wirklich?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nスタルーク\nHast du überhaupt eine Ahnung, wie beruhigt\nich war, als ich erfuhr, dass du meine Getreue\nwirst?\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nスタルーク\nNein, warte, „beruhigt“ ist nicht das richtige\nWort. Lass es mich deutlicher ausdrücken.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nスタルーク\nIch bin so, so glücklich, dass du meine Getreue\ngeworden bist.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nスタルーク\nJa, du bist meine Cousine. Ja, wir kennen uns\nseit Kindertagen.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nスタルーク\nAber mich interessieren die offensichtlichen\nGründe nicht, weshalb du ausgewählt wurdest.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nスタルーク\nDas Entscheidende für mich ist, dass du dich\nfreiwillig für diese Position beworben hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nシトリニカ\nIch wollte meinen wunderbaren Cousin\nbeschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nスタルーク\nExakt. Ich verdiene diesen Schutz nicht, aber\nes bedeutet alles für mich, dass du denkst, ich\nwürde ihn verdienen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nスタルーク\nDarum bin ich glücklich, dass die Dinge so\nsind wie sie sind, Citrinne.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0C\nシトリニカ\nAlcryst...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nシトリニカ\nEs ist so schön, dich das sagen zu hören! Ich\nmöchte sofort meine Trainingszeit verdoppeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0C\nシトリニカ\nVor mir liegt immerhin ein langer Weg, bis ich\nweiß, dass ich fähig bin, dich zu beschützen.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0C\nスタルーク\nHe, warte mal! Ich bin derjenige, der dich\nbeschützt!\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0C\nシトリニカ\nHahaha. Natürlich. Danke, Alcryst.\x0E\x04\x00\x00
