MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0A\x08リンデン\nAh, Mauvier! Hast du einen Moment für mich\nZeit? Du könntest mir bei einem Experiment\nbehilflich sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nSir Lindon. Aber natürlich, ich werde helfen\nso gut ich kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リンデン\nIch möchte, dass du diesen Maiskolben\nnimmst... und ihn hoch in die Luft wirfst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06モーヴ\nWas ist denn das für ein Experiment?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リンデン\nIch werde „Elfendonner“ auf den Mais wirken\nund ihn zum Explodieren bringen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リンデン\nMeinen Berechnungen zufolge sollten die Kerne\ngleichmäßig 'aufpoppen', und zu einem tadel-\nlosen Naschwerk werden!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nDies erscheint mir doch... nicht gut durchdacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リンデン\nNun, du weißt ja, was man sagt... „Wer nicht\nwagt, der keine Leckerei gewinnt.“\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リンデン\nIch vermute, ein mögliches Wagnis besteht\ndarin, dass stattdessen du 'aufpoppst'... und\ndas nicht unbedingt gleichmäßig.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nDann muss ich ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リンデン\nWas? Och, nun komm schon! Hat man dir\netwa nicht beigebracht, dass du den Alten\nstets helfen sollst?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06モーヴ\nHat man Euch nicht beigebracht, dass man\nElfendonner außerhalb einer Schlacht nicht\nin der Nähe anderer anwendet?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リンデン\nHrmm! Du argumentierst selbst wie ein\nAlter.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nIch unterstütze Euch gerne und mit Freuden\nbei all Euren Experimenten.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nDennoch werde ich nicht für einen Maiskolben\nmein Leben aufs Spiel setzen. Bitte verzeiht,\nSir Lindon.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リンデン\nOh, na gut. Damit wurde die Zeit für Leckereien\nverschoben... aber nicht aufgehoben.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\nSir Lindon? Ihr habt etwas verloren.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOh! Wie ungeschickt von mir. Danke, Mauvier.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06モーヴ\nDas ist... das Portrait einer jungen Dame. Sie\nist sehr schön.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リンデン\nAh! Da stimme ich dir von Herzen zu.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リンデン\nDies ist ein Gemälde meiner verstorbenen Frau.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06モーヴ\nOh. Eure Frau, Sir Lindon.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リンデン\nSie war nicht nur wunderschön. Sie war\nwarmherzig, liebevoll... und die beste Freundin,\ndie ich mir wünschen konnte.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リンデン\nEs ist schon einige Zeit her, dass sie von mir\ngegangen ist, aber meine Liebe zu ihr wird\nbeständig größer.\x0E\x04\x00\x00
