MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x08\x06モーヴ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06モーヴ\nSir Vander, Ihr verfolgt mich. Erklärt bitte Euer\nVerhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nIhr seid ein tapferer Wächter. Wachsam zu jeder\nTageszeit. Das Volk könnte sich keinen besseren\nBeschützer wünschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06モーヴ\nÜberwacht Ihr mich etwa?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nヴァンドレ\nOh, nur ein wenig. Nehmt es nicht persönlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06モーヴ\nSeid Ihr besorgt, ich könnte erneut die Seiten\nwechseln?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nヴァンドレ\nDas habe ich nicht gesagt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nUnd doch ist leider noch nicht jeder davon\nüberzeugt, dass Ihr vertrauenswürdig seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06モーヴ\nDas ist nachvollziehbar... Ich habe vieles\nwiedergutzumachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nIch hoffe, eines Tages Euer Vertrauen gewinnen\nzu können, doch kann ich auch nachempfinden,\nwieso Ihr meine Überwachung für nötig haltet.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nヴァンドレ\nIch würde es nicht direkt als Überwachung\nbezeichnen. Ich beobachte Euch bloß aus der\nFerne.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06モーヴ\nIch arbeite unablässig daran, das Vertrauen\naller zu verdienen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nヴァンドレ\nHarte Arbeit ist löblich, doch denkt daran, dass\nVertrauen ein kostbares Gut ist. Es ist schwer\nzu gewinnen und leicht zu verlieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06モーヴ\nVertrauen ist ein kostbares Gut... Dessen bin ich\nmir bewusst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06モーヴ\nAuch Vander verachtet mich. Nun, das ist\nverständlich, wenn man meine Taten gegenüber\nKönigin Lumera bedenkt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06モーヴ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIch sehe, Ihr haltet wieder Wache.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06モーヴ\nIch fühle mich am wohlsten, wenn ich arbeite.\x0E\x04\x00\x00
