MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0A\x08リュール\nDa bist du ja, Rafal. Ich habe dich gesucht.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nIhr! Was wollt Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08リュール\nNichts – nur meine Dankbarkeit ausdrücken.\nIch hatte bisher gar nicht die Gelegenheit dazu.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Also: Danke, dass du ins Somniel gekommen\nbist. Ich bin froh, dass du dich uns\nangeschlossen hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nラファール\nIch habe versprochen, dass wir uns\nwiedersehen, wenn meine Schwester\nerwacht und mir vergibt.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Mein Wort zu brechen wäre eine Beleidigung\ndieses wundervollen Geschenks.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Deshalb bin ich hier. Der Preis meiner Treue\nwurde bereits gezahlt. Es gibt also keinen\nGrund, mir zu danken.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nTrotzdem bedeutet mir deine Unterstützung\nviel. Zumindest dafür kann ich dir doch danken.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nラファール\nIhr seid seltsam.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Wie absurd, mir nach all meinen Taten trotzdem\nnoch zu vertrauen. Diese Freundlichkeit ist\nmehr als naiv.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nUnd was, wenn ich einfach nur will, dass du\nglücklich bist – nach allem, was wir\ndurchgemacht haben? Wäre das so falsch?\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Ich konnte nicht zulassen, dass Nel und du\nim Streit auseinandergegangen wärt.\nDas hätte mir das Herz gebrochen.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	In deinem Innersten bist du eine gute Person,\ndas weiß ich. Und zufällig mag ich dich.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nIhr mögt mich?\x0E\x04\x02\x00
MID_RELIANCE_C_#015	Ist es das, was man sagt?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nWarum nicht? Was ist daran falsch?\x0E\x04\x02\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nGenug! Habt Ihr nichts Besseres zu tun?\nLasst mich in Frieden!\x0E\x04\x02\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nHe, Augenblick mal!\x0E\x04\x00\x00
