MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nミスティラ\nHey, Merrin! Du bist ja ganz in Gedanken\nversunken.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06メリン\nAh. Ja, das kann man so sagen, Prinzessin\nTimerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nミスティラ\nNun? Was liegt dir denn auf dem Herzen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06メリン\nIch dachte darüber nach, weswegen ich mein\nDorf verlassen hatte.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nミスティラ\nAh, ja. Du wolltest nicht die nächste\nDorfmatriarchin werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06メリン\nJa, das stimmt.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nDie Entscheidung lautete, dass ich den Platz\nmeiner Mutter einnehmen sollte, aber ich wollte\nschon immer eine Ritterin werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06メリン\nDie ganze Angelegenheit wurde... unsachlich.\nAlso ging ich fort.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nDu warst eben schon damals ein Freigeist.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06メリン\nIch würde mich nicht als Freigeist bezeichnen.\nNicht wirklich.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06メリン\nDoch nachdem ich eine Weile allein ohne\nrechtes Ziel durch die Lande gereist war...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nTraf ich eine furchtlose Frau, die auf einem\nWolf ritt. DAS war ein Freigeist!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Wer, ich?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06メリン\n„Freigeist“ ist nicht mal ausreichend. Ihr nahmt\nes ganz allein mit einem Trupp Banditen auf.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nUnd wie aus dem Nichts eiltest du mir zu Hilfe.\nDen Tag werde ich niemals vergessen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nEbenso wenig wie ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06メリン\nDamals ahnte ich es noch nicht, doch diese\nzufällige Begegnung sollte mein Leben\nverändern.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x0C\nミスティラ\nWeißt du, mit dir zusammen so am Feuer zu\nsitzen... Das fühlt sich an wie in den guten alten\nZeiten.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nJa. Wir haben viele Abende so verbracht\nnach unserer ersten Begegnung – dem Kampf\ngegen die Banditen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06メリン\nDamals waren wir nur einfache Reisende, die\ngemeinsam durch das Königinreich zogen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06メリン\nNatürlich hatte ich seinerzeit keine Ahnung,\ndass meine Prinzessin eine echte Prinzessin\nwar.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nミスティラ\nDu hast ja nie gefragt. Aber ich ging ehrlich\ngesagt schon davon aus, dass du von selbst\ndarauf kommen würdest.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06メリン\nHört zu, Prinzessin Timerra.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nDie meisten Adligen schleichen sich nicht aus\nihren Schlössern heraus, um einfache Schurken\npersönlich der Gerechtigkeit zuzuführen.\x0E\x04\x00\x00
