MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, schau mal. Es hat angefangen zu schneien.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x08\x06ミカヤ\nIch bin sicher, dass ich hier schon mal war.\nOder zumindest an einem ganz ähnlichen Ort.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nWo glaubst du, dass wir sind, Micaiah?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x08\x06ミカヤ\nEs sieht aus wie Schloss Nox. Dort habe ich\ngegen Ike gekämpft.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nHm? Schloss Nox? Du hast gegen Ike gekämpft?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06ミカヤ\nDamals hat es auch geschneit.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06ミカヤ\nIke war ein starker Anführer. Genau wie ich.\nDoch wir hatten unterschiedliche Vorstellungen\nvom Sieg.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06ミカヤ\nIke wollte uns helfen, und ich konnte das nicht\nzulassen. Wir brauchten Hilfe, aber nicht seine.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06ミカヤ\nMein Volk war durch einen magischen Blutpakt\nverflucht und ging dem sicheren Verderben\nentgegen.\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08リュール\nWas ist geschehen?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x08\x06ミカヤ\nIch habe gegen Ike gekämpft. Ich habe\ngekämpft, um den Pakt aufzuheben.\nIch klammerte mich an diese Hoffnung.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x08\x06ミカヤ\nIch konzentrierte mich auf meine Vision der\nZukunft. Selbst als es zum Schlimmsten kam,\nhielt ich mir dies vor Augen.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06ミカヤ\nIch gab alles, um jene zu beschützen, die mir\nnahe standen. Ich hätte noch mehr geopfert,\nwenn es nötig gewesen wäre.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06ミカヤ\nDiese Vision hat es mir ermöglicht, den Krieg zu\nüberleben.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nIch denke, ich weiß jetzt, warum wir beide hier\nsind.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08リュール\nLehre mich, wie du Verzweiflung und Furcht\nentgegentreten konntest, ohne zu zerbrechen,\nMicaiah.\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x08\x06ミカヤ\nDu hast ihn also begriffen? Den Sinn dieser\nPrüfung?\x0E\x04\x00\x00
MID_OP1_#018	\x0E\x03\x02\x08\x06ミカヤ\nDann tritt mir im Kampf entgegen,\n\x0E\x06\x03\x00. Und gib dein Bestes,\num siegreich zu sein.\x0E\x04\x00\x00
MID_OP1_#019	\x0E\x03\x02\x08\x06ミカヤ\nTrägst du den Sieg davon, werden sich unsere\nBande stärken und du wirst mehr als je zuvor\nauf meine Kräfte zugreifen können.\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x14\x06ミカヤ\nRelax\n\x0E\x03\x02\x08\x06ミカヤ\nVerdiene dir den Sieg, \x0E\x06\x03\x00.\nVerteidige dich!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x14\x06ミカヤ\nAngry\n\x0E\x03\x02\x08\x06ミカヤ\nBeenden wir diesen Kampf schnell!\nAlle Einheiten: Angriff!\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x10\x06ミカヤ\x06Die\n\x0E\x03\x02\x08\x06ミカヤ\nIch erinnere mich an diesen Kampf, als habe er\nerst gestern stattgefunden.\x0E\x04\x00\x00
MID_BT1_#002	\x0E\x05\x01\x16\x06ミカヤ\x0CStatus\n\x0E\x03\x02\x08\x06ミカヤ\nEs ist fast so, als ob ich wieder dort wäre. Die\nVergangenheit und die Zukunft verbinden sich\nin meinem Herzen.\x0E\x04\x00\x00
MID_BT1_#003	\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nDu bist eine starke Gegnerin, doch ich werde\nnicht verlieren!\x0E\x04\x00\x00
MID_BT1_#004	\x0E\x05\x01\x14\x06ミカヤ\nAngry\n\x0E\x03\x02\x08\x06ミカヤ\nGut. Ich wäre enttäuscht, wenn du dich\nzurückhalten würdest!\x0E\x04\x00\x00
MID_BT2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ユナカ\x02t\n\x0E\x05\x01\x10\x06ユナカ\x06Sad\n\x0E\x03\x02\x08\x06ユナカ\nIch war noch nie gut darin, gegen Magie-\nanwender zu kämpfen. Vielleicht... könntest du\nmich ein bisschen schonen?\x0E\x04\x00\x00
MID_BT2_#002	\x0E\x03\x00\x0C\x06ミカヤ\x02b\n\x0E\x05\x01\x14\x06ミカヤ\nSmile\n\x0E\x03\x02\x08\x06ミカヤ\nTut mir leid, aber das ist hier nicht der Sinn und\nZweck. Ich werde mich nicht zurückhalten.\x0E\x04\x00\x00
MID_BT2_#003	\x0E\x05\x01\x14\x06ミカヤ\nRelax\n\x0E\x03\x02\x08\x06ミカヤ\nDu hast mich aus diesem Schrein geholt, und\njetzt bin ich an der Reihe, dich zu neuen Orten\nzu führen.\x0E\x04\x00\x00
MID_BT2_#004	\x0E\x05\x01\x14\x06ユナカ\nAngry\n\x0E\x03\x02\x08\x06ユナカ\nTatsächlich? Dann sollte ich mich besser jetzt\nvorbereiten.\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nSehr gut. Du hast die Prüfung ohne Probleme\nbestanden.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08リュール\nDanke, Micaiah.\x0E\x04\x00\x00
MID_ED1_#003	\x0E\x03\x02\x08\x06ミカヤ\nSpürst du das? Unsere Bande werden fester.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x02\x0A\x08リュール\nJa, das spüre ich. Ich verstehe dich besser\nals zuvor.\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08リュール\nDa gibt es nur noch eines...\x0E\x04\x00\x00
MID_ED1_#006	\x0E\x03\x02\x08\x06ミカヤ\nWas denn?\x0E\x04\x00\x00
