MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nIch bringe Euch die Briefe, wie Ihr von mir\nverlangt habt, Vander.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nAh, gut. Lege sie doch bitte dort drüben hin, ja?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nAußerdem habe ich Euch einen Brieföffner\ngebracht. Ich dachte, Ihr könntet ihn vielleicht\ngebrauchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nヴァンドレ\nSehr schön. Ich danke dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAch, Clanne, bevor ich es vergesse: Würdest du\nbitte dieses Paket für mich ausliefern?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nOh... Natürlich, Herr.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nヴァンドレ\nIn meinem Alter Briefe beantworten zu\nmüssen... Hmpf! Diese Kampfhand sollte für\nnoblere Zwecke eingesetzt werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nヴァンドレ\nStimmt etwas nicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nWas? Oh, ähm, nein! Alles... in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nヴァンドレ\nWeshalb stehst du dann wie angewurzelt da?\nIch dachte, ich hätte dich gebeten, ein Paket\nauszuliefern!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nJ-ja, mein Herr...\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nヴァンドレ\nSo trödle nicht weiter herum! Ein treuer Diener\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin erledigt seine Aufgaben ohne\nzu zögern.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nWenn Ihr mir wirkliche Behüteraufgaben geben\nwürdet, würde ich sie vielleicht auch ernster\nnehmen...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nヴァンドレ\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nN-nein, nichts! Ich überbringe das Paket\njetzt gleich, Herr!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\nIch verstehe das einfach nicht. Ich gebe mir\nstets so viel Mühe, um Vander zu beeindrucken.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nWarum also erteilt er mir einfach keine richtigen\nBehüteraufträge?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06クラン\nBestimmt vertraut er mir nicht... und denkt,\ndass ich damit überfordert wäre.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nヴァンドレ\nClanne!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nJ-ja, Herr!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nヴァンドレ\nIch möchte, dass du einer nahe gelegenen\nKirche eine Botschaft überbringst.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nヴァンドレ\nIch meine mich zu entsinnen, dich schon oft\ngenug ermahnt zu haben, unverzüglich zu ant-\nworten, wenn du angesprochen wirst, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06クラン\nVander, bin ich nichts weiter als Euer...\nLaufbursche?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nヴァンドレ\nWie bitte?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06クラン\nWie kann ich ein guter Behüter werden, wenn\nIhr mir keine richtigen Aufträge erteilt?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nヴァンドレ\nWas? Hör mal, Clanne, die Arbeit eines\nBehüters--\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06クラン\nÜbersteigt meine lausigen Fähigkeiten?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06クラン\nIch verstehe schon. Aus mir wird eh nichts.\nWarum also solltet Ihr Eure kostbare Zeit darauf\nverschwenden, mich ernsthaft auszubilden?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nヴァンドレ\nWas gibst du denn da von dir?!\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06クラン\nAch, nichts. Ich erledige, was Ihr mir auftragt,\nund antworte, wenn ich angesprochen werde.\nIch bin nun mal Euer Laufbursche, nichts weiter!\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06クラン\nEinmal eine Nachricht an die nahe gelegene\nKirche überbringen? Wird sofort erledigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nヴァンドレ\nWarte! Clanne, so höre mich doch an!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nヴァンドレ\nClanne!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クラン\x022\n\x0E\x03\x02\x08\x06クラン\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nUnd neulich... Dir sollte klar sein, dass es sich\nnicht gehört, davonzulaufen, wenn dein Vorge-\nsetzter mit dir spricht!\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nManchmal bereitest du mir wahrhaftig\nKopfschmerzen...\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06クラン\nHmpf...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nヴァンドレ\nAh... Nein, das ist nicht richtig. Dies ist meine\nSchuld.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nヴァンドレ\nClanne, ich möchte mich bei dir entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06クラン\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nヴァンドレ\nLass es mich klar und deutlich sagen:\nIch setze große Hoffnungen in dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nヴァンドレ\nSchließlich werde ich eines Tages all meine\nVerantwortung auf dich und deine Schwester\nübertragen.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06クラン\nAber... wieso vertraut Ihr mir dann niemals\nrichtige Aufträge an?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nヴァンドレ\nWas ich dir erteile, sind richtige Aufträge.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x08\x06クラン\nAber... Aber...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nヴァンドレ\nDu hast mein tiefstes Vertrauen, Clanne. Und\naus genau diesem Grunde bitte ich dich um\nHilfe bei meinen Pflichten.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nヴァンドレ\nBriefe zu versenden, Nachrichten an Kirchen zu\nüberbringen... Das sind schlichte Botengänge, ja.\nDennoch sind sie von enormer Bedeutung.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06クラン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nヴァンドレ\nOffenbar war ich bisher nicht imstande, dir dies\nangemessen zu vermitteln.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06クラン\nEs... Es tut mir leid, Vander. Ich habe da wohl\nirgendwie voreilige Schlüsse gezogen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nヴァンドレ\nNein, die Schuld trifft mich allein. Ich hätte\ndeine Gefühle genauer berücksichtigen sollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0C\nヴァンドレ\nIch empfinde nichts als tiefste Dankbarkeit für\ndeine Dienste, Clanne, und hoffe, dich mit\nmeinem Verhalten nicht entmutigt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x08\x06クラン\nAbsolut nicht! Ich will immer noch ein so\ngroßartiger Behüter werden wie Ihr!\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06クラン\nAlso haltet Euch meinetwegen bitte nicht\nzurück, in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nヴァンドレ\nGewiss. Und dies beruht auf Gegenseitigkeit:\nSolltest du je etwas auf dem Herzen haben, so\nzögere nicht, es mir gegenüber anzusprechen.\x0E\x04\x00\x00
