MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nIch hörte von Eurer Vergangenheit mit einem\nDämonendrachen. Ihr müsst Euch nicht dazu\nverpflichtet fühlen, mit mir Zeit zu verbringen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x08\x06ルキナ\nIch fühle mich nicht dazu verpflichtet, Nel. Ich\nwürde Euch tatsächlich gerne kennenlernen –\nals Person, nicht als Dämonendrachen.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nNel! Als Zeichen unserer Freundschaft habe ich\nKleidung für Euch entworfen. Vander hat sie\ndann für mich angefertigt!\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nDa ist ja eine große, scharfe Paprikaschote\nvorne drauf! Nun, das trifft in der Tat meinen\nGeschmack.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x06\x04エル\nLucina. Ich bin nicht sehr geschickt, was die\nHandarbeit betrifft, aber ich habe dies für Euch\nangefertigt als Dankeschön für Euer Geschenk.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ルキナ\nIhr habt unsere Gesichter auf ein Banner\ngestickt?! Und darüber die Worte „Wir\nsind Freunde“?! Unglaublich!\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x08\x06ルキナ\nVielen, vielen Dank! Diesen Augenblick werde\nich für immer in Ehren halten, ebenso wie die\nFreundschaft mit Euch.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x06\x04エル\nEs freut mich, dass wir einen ähnlichen Ge-\nschmack haben, was Ästhetik betrifft. Und auch\nich will unsere Freundschaft in Ehren halten.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nRafal, bilde ich mir das nur ein oder geht Ihr mir\naus dem Weg? Nach der letzten Schlacht hatte\nich angenommen, wir wären ein Team.\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x0C\nラファール\nEure Heimat wurde von einem Dämonendrachen\nzerstört. Auch ich bin ein Dämonendrache. Ihr\nsolltet mich also meiden.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nSagte ich Euch nicht, dass Ihr mich außerhalb\nder Kämpfe meiden solltet? Wieso wollt Ihr\nmit einem Dämonendrachen sprechen?\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x08\x06ルキナ\nDie Vergangenheit ist Vergangenheit. Und\nich habe keinen Grund, Euch zu hassen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nラファール\nIhr seid wirklich hartnäckig. Ich schätze,\ndas verdient Anerkennung, doch ist es\nauch nervtötend.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x08\x06ルキナ\nWar das etwa ein Kompliment? Wir machen\nFortschritte! Ich würde gerne mehr darüber\nerfahren, wie Ihr wirklich seid.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x08\x06ルキナ\nDer engste Vertraute meines Vaters war ein\nDämonendrache. Die Bande der Freundschaft\nkönnen das Schicksal besiegen.\x0E\x04\x00\x00
MID_GR_Rafale_A_#004	\x0E\x03\x02\x0C\nラファール\nGlaubt Ihr etwa, wir sollten... Freunde werden?\nWelch naiver Gedanke. Aber gut, ich werde es\nversuchen, wenn es denn sein muss.\x0E\x04\x00\x00
MID_GR_Selestia_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nHallo, Lucina. Ich bin Zelestia, ein Magiedrache.\nWas für Drachen gab es denn in deiner Welt?\x0E\x04\x00\x00
MID_GR_Selestia_C_#002	\x0E\x03\x02\x08\x06ルキナ\nEs gab Wyrmgöttinnen, einen Dämonendrachen\nund auch solche, die man Manaketen nannte.\x0E\x04\x00\x00
MID_GR_Selestia_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIch weiß, du bist ein Magiedrache, Zelestia,\naber kannst du dich auch tatsächlich in einen\nDrachen verwandeln?\x0E\x04\x00\x00
MID_GR_Selestia_B_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nNicht mehr. Ich habe meinen Drachenstein\nverloren, als mein Dorf niedergebrannt wurde.\nIch kann ihn nicht mehr wiederbekommen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cセレスティア\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nDu stammst also aus einer anderen Welt und\nkannst nicht mehr zurück. Mir ist vor langer Zeit\nÄhnliches widerfahren.\x0E\x04\x00\x00
MID_GR_Selestia_A_#002	\x0E\x03\x02\x0E\x0Cセレスティア\nDas tue ich, aber ich bereue nichts. Irgendwie\nfühlt es sich an, als würde auch meine eigene\nWelt gerettet, wenn wir diese Welt retten.\x0E\x04\x00\x00
MID_GR_Selestia_A_#003	\x0E\x03\x02\x08\x06ルキナ\nIch weiß genau, wie du dich fühlst. Und ich\nwerde alles dafür geben, um dir zu helfen.\x0E\x04\x00\x00
MID_GR_Selestia_A_#004	\x0E\x03\x02\x0E\x0Cセレスティア\nDanke, Lucina. Ich bin überzeugt davon, dass\nwir diese Welt gemeinsam retten können.\x0E\x04\x00\x00
MID_GR_Gregory_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nWeißt du, Gregory, ich habe mich gefragt, wieso\ndu eigentlich solch furchteinflößende Kleidung\nträgst, wenn du doch so sanftmütig bist?\x0E\x04\x00\x00
MID_GR_Gregory_C_#002	\x0E\x03\x02\x0C\nグレゴリー\nNa ja, ich würde auch lieber flauschige,\nfreundliche Kleidung tragen, aber bei dieser hier\nüberlegen es sich meine Gegner immer zweimal.\x0E\x04\x00\x00
MID_GR_Gregory_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIch habe nachgedacht... Wie wäre es, wenn du\neinfach ein furchteinflößendes Muster auf\nflauschiger Kleidung trägst?\x0E\x04\x00\x00
MID_GR_Gregory_B_#002	\x0E\x03\x02\x0C\nグレゴリー\nOha! Du hast sogar eine Skizze angefertigt?!\nWyvern und Wölfe auf einer Kluft mit Rüschen?\nDas ist wirklich innovativ!\x0E\x04\x00\x00
MID_GR_Gregory_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nグレゴリー\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nグレゴリー\nDanke, dass du diese Kleidung für mich entwor-\nfen hast. Aber ich will sie erst tragen, wenn der\nKrieg vorüber ist.\x0E\x04\x00\x00
MID_GR_Gregory_A_#002	\x0E\x03\x02\x08\x06ルキナ\nOh... Hat sie dir etwa nicht gefallen? Es tut mir\nleid, ich wollte dich nicht mit meinen seltsamen\nModeideen belästigen.\x0E\x04\x00\x00
MID_GR_Gregory_A_#003	\x0E\x03\x02\x0C\nグレゴリー\nNein, das ist es nicht! Ich will sie nur nicht mit\nKampf und Schmerzen assoziieren, denn sie\nmacht mich viel zu glücklich.\x0E\x04\x00\x00
MID_GR_Gregory_A_#004	\x0E\x03\x02\x08\x06ルキナ\nWenn das so ist, lass uns diesem Krieg rasch\nein Ende setzen. Dann können wir den neu ge-\nwonnenen Frieden mit einer Modenschau feiern!\x0E\x04\x00\x00
MID_GR_Madeline_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nマデリーン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nDu hast vorhin hervorragend gekämpft. Ich kann\nspüren, dass du unsere Verbindung für einen\nguten Zweck nutzt.\x0E\x04\x00\x00
MID_GR_Madeline_C_#002	\x0E\x03\x02\x0C\nマデリーン\nOh... Ich habe nur meine Pflicht als Ritterin\nerfüllt. Dafür verdiene ich kein solches Lob,\nMilady Lucina.\x0E\x04\x00\x00
