MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nIst da jemand?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nNiemand? Ob das... ein Geist war?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08アイビー\nBitte sei kein Geist. Bitte sei kein Geist.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x02\x0E\x0Cディアマンド\nPrinzessin Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nAaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nSchon gut. Ihr seid in Sicherheit, ich verspreche\nes Euch. Die Schatten im Gebüsch sind einfach\nnur... Schatten.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08アイビー\nIch habe mich buchstäblich vor den Schatten\ngefürchtet?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nIhr habt recht. Es ist kein einziger Geist\nzu sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cディアマンド\nEs passt nicht zu Euch, ein einfaches Blattwerk\nals Bedrohung anzusehen. Ist alles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nBitte erzählt niemandem etwas davon.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08アイビー\nNiemand darf wissen, dass die zukünftige\nRegentin von Elusia Angst vor einem einfachen\nGestrüpp hatte.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nUnd noch schlimmer, dass der Prinz von Brodia\nzu ihrer Rettung kommen musste.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nGlaubt mir. Ich verstehe Euch. Ich werde kein\nWort sagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08アイビー\nIch stehe in Eurer Schuld.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cディアマンド\nMir scheint, Ihr tragt diese Furcht schon sehr\nlange mit Euch herum.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nHier, Prinzessin Ivy. Ich möchte Euch dies\ngeben.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08アイビー\nWas ist das? Eine Art Kristall?\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist ein Edelstein aus Brodias Minen. Man\nsagt, er gebe jenen Mut, die Mut brauchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nBehaltet Ihn als Glücksbringer. Dann müsst Ihr\nEuch vor nichts mehr fürchten.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08アイビー\nWohltätigkeit von Brodia steht meinem\nköniglichen Erscheinungsbild nicht gut.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nSeht ihn nicht als Leine an, die Euch an\nBrodia bindet. Er ist einfach nur ein simples\nGeschenk von mir für Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08アイビー\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn er Euch wirklich so viel Unbehagen\nbereitet, dann müsst Ihr ihn nicht behalten.\nMir ist das gleich. Lebt wohl, Ivy.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x02\x0A\x08アイビー\nIch danke Euch, Prinz Diamant.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0A\x08アイビー\nIch wusste nicht, dass es solche Schätze in\nBrodia zu entdecken gibt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrinz Diamant, ich möchte mich für neulich\nentschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nWovon sprecht Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08アイビー\nIch habe es versäumt, Euch angemessen zu\ndanken – für Eure Diskretion und auch für den\nEdelstein, den ich von Euch erhielt.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nBitte lasst mich dies wiedergutmachen, indem\nich Euch nun meinen Dank ausspreche.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nIch danke Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cディアマンド\nOh! Bitte macht Euch darüber keine Gedanken.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nBrodia muss sich für so vieles verantworten.\nEuch etwas wie diesen Edelstein zu geben,\nist das absolut Mindeste, was ich tun kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nEs ist wahr. Brodia ist viele Male in unsere\nGebiete eingefallen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nIch frage mich oft, wie es meinem Volk wohl\nohne all dieses Leid und Blutvergießen ergangen\nwäre.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nDas überrascht mich nicht. Und genau aus\ndiesem Grund schuldet Ihr mir keinerlei\nDankbarkeit. Ich hoffe, Ihr seht das ein.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nAber Ihr seid gekommen, um mir zu helfen,\nim Einklang mit Euren eigenen Werten.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nHm.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08アイビー\nDaher möchte ich Euch, im Einklang mit meinen\nWerten, danken.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0E\x0Cディアマンド\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nWenn dies Euer wahres Empfinden ist,\nPrinzessin Ivy, dann nehme ich Euren Dank\nan.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nEinem Einzelnen fällt es sehr leicht, einem\nanderen ein einfaches „Danke“ zu sagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08アイビー\nBei Entschuldigungen ist es ebenso. Nur, wenn\nes um zwei Reiche geht, wird es kompliziert.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nDas ist wirklich wahr.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cディアマンド\nMein Vater hatte nur die Belange unseres\nKönigreiches im Blick, als er anfing, unser\nTerritorium mit Gewalt zu vergrößern.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cディアマンド\nDiese einseitige Fokussierung steht für die\nArt, wie man in Brodia die Dinge angeht.\nAber damit muss Schluss sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nWie meint Ihr das?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cディアマンド\nMein Vater ist nicht mehr hier, aber sein\nEinfluss ist geblieben. Ein Wandel wird Zeit\nbrauchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cディアマンド\nSollte es einen einfacheren Weg geben, so habe\nich ihn noch nicht gefunden. Ich frage mich oft,\nob ich überhaupt bereit bin, König zu sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08アイビー\nIch weiß genau, wie Ihr Euch fühlt.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cディアマンド\nAh. Bitte entschuldigt. Ich wollte meine Last\nnicht einfach so bei Euch abladen.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アイビー\nNein, ich verstehe das. Ich bin sogar erleichtert\nzu sehen, dass Ihr die gleichen Sorgen und\nBedenken habt wie ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08アイビー\nNun bin ich viel hoffnungsvoller, wenn ich in\ndie Zukunft blicke, in der Ihr und ich König\nund Königin sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cディアマンド\x021\n\x0E\x03\x00\x0E\x08アイビー\x022\n\x0E\x03\x02\x0A\x08アイビー\nPrinz Diamant, ich möchte Euch etwas zeigen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0E\x0Cディアマンド\nIst der Edelstein an Euer Halskette der, den ich\nEuch neulich gab?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nJa. Ich entschloss mich, mit dem Edelstein\netwas zu gestalten, das ich jeden Tag tragen\nkann.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nSehr schön. Das ist wirklich umwerfend.\x0E\x04\x00\x00
