MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\n♪Hmm hmm hmm...♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nÜbst du heute Abend das Tanzen, Seadall?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セアダス\nAh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nEs ist keine Übung, sondern eine Vorstellung.\nHeute Abend tanze ich immerhin vor Publikum.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08リュール\nAber es ist niemand hier.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nDa ist der Mond.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nDer Mond?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08セアダス\nJa, genau. Das silberne Licht, das dort oben\nin der Dunkelheit scheint.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セアダス\nUnd die unzähligen Sterne ebenfalls.\nHeute gebe ich für sie alle eine Vorstellung.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, wusstet Ihr, dass man nach seinem\nTod seinen Körper hinter sich lässt und zu\neinem Stern wird?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nMein Lehrer ist oben am Himmel.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08リュール\nEuer Lehrer ist also gestorben?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nJa. Diese Tanzschritte hat er am meisten\ngeliebt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\n♪Hmm hmm hmm...♪\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nDas ist wunderschön, Seadall. Jede einzelne\nBewegung ist einfach nur... wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08セアダス\nIch habe viele Freuden des Lebens aufgegeben,\num meine Tanzkunst zu perfektionieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nDas ist nicht leicht. Ich übe meine Schritte\nsorgfältig und achte darauf, was mir die Energie\nfür den Tanz bereitstellt.\x0E\x04\x00\x00
