MID_TUT_BMAP_SilverCard_TITLE	Silberkarte
MID_TUT_BMAP_SilverCard_0	Mit dieser Karte im Besitz erhält man\n30 % Rabatt im Arsenal und im Laden.
MID_TUT_GMAP_GOD_TITLE	Weltkarte (Göttliche Kapitel)
MID_TUT_GMAP_GOD_0	Mithilfe des Weltkartenmenüs kannst du zum\nSomniel oder zu der Weltkarte der Hauptstory\nzurückkehren.
MID_TUT_GMAP_GOD_1	Auf Karten, die du bereits abgeschlossen hast,\nkönnen von Zeit zu Zeit Gefechte erscheinen.
MID_TUT_GMAP_RECOLLECTION_BATTLE_TITLE	Erinnerungen
MID_TUT_GMAP_RECOLLECTION_BATTLE_0	Sobald du eine Karte des Erweiterungspasses\nabgeschlossen hast, kannst du die Schlacht\nerneut als Erinnerung bestreiten.
MID_TUT_GMAP_RECOLLECTION_BATTLE_1	Du kannst diese Erinnerungen so oft du magst\nwiederholen, mit jeder beliebigen Kombination\naus Verbündeten.
MID_TUT_GMAP_RECOLLECTION_BATTLE_2	Für diese Art von Schlachten erhältst du jedoch\nweder Erfahrung noch Items. Items und der Ver-\nbündetenstatus werden danach zurückgesetzt.
MID_TUT_HUB_GOD_START_TITLE	Göttliche Kapitel
MID_TUT_HUB_GOD_START_0	Von der Weltkarte aus kannst du zu den\nverschiedenen Inseln der Embleme aus\nden Armringen reisen.
MID_TUT_HUB_GOD_START_1	Du kannst jederzeit zur Hauptstory\nzurückkehren.
MID_TUT_HUB_GOD_START_NOTICE	Am Aussichtspunkt wurde etwas gefunden.
MID_TUT_GOD_TIKI_TITLE	Emblem Tiki
MID_TUT_GOD_TIKI_0	Emblem Tiki verfügt über mächtige\nDrachenangriffe und kann Verbündeten\ngöttlichen Schutz gewähren.
MID_TUT_GOD_TIKI_1	Die Synchro-Fähigkeit „Sternenkugel“\nverleiht Einheiten eine erhöhte Chance auf\nStatuswertezuwachs beim Level Up.
MID_TUT_GOD_TIKI_2	Die Bündniswaffe „Atem“ fügt Gegnern in\neinem bestimmten Bereich Schaden zu. Ihre\nSchadensart ist abhängig vom Einheitentyp.
MID_TUT_GOD_TIKI_3	Die Bündnis-Fähigkeit „Drachengestalt“\nverwandelt die Einheit in einen Drachen und\nerhöht ihre Statuswerte immens.
MID_TUT_GOD_TIKI_4	Der Bündnis-Angriff „Göttlicher Segen“ verleiht\nVerbündeten Erweckungssteine, die ihnen neue\nKräfte spenden, sobald ihre KP auf 0 fallen.
MID_TUT_GOD_EDELGARD_TITLE	Emblem Edelgard
MID_TUT_GOD_EDELGARD_0	Emblem Edelgard wechselt sich zufällig mit\nDimitri und Claude ab, was dir im Kampf Zugriff\nauf völlig unterschiedliche Fertigkeiten beschert.
MID_TUT_GOD_EDELGARD_1	Die Synchro-Fähigkeit „Strategem“ verfügt je\nnach aktivem Haussprecher über verschiedene\nEffekte.
MID_TUT_GOD_EDELGARD_2	Die Bündniswaffe „Aymr“ kann Gegnern\nSchmetterschaden und Drachen zusätzlichen\nSchaden zufügen.
MID_TUT_GOD_EDELGARD_3	Die Bündnis-Fähigkeit „Kampftechniken“\ngewährt Zugriff auf einen von drei Angriffen,\nauf Kosten der verbleibenden Bündniszüge.
MID_TUT_GOD_EDELGARD_4	Der Bündnis-Angriff „Hauskombo“ wird mit Axt,\nLanze und Bogen ausgeführt. Erhöht Chance auf\nBrechen des Gegners. Effektiv gegen: Flieger.
MID_TUT_TIPS_Tiki	Emblem Tiki
MID_TUT_TIPS_Edelgard	Emblem Edelgard
MID_TUT_TIPS_Dimitri	Emblem Dimitri
MID_TUT_TIPS_Claude	Emblem Claude
MID_TIPS_SKILL_30	Zu Beginn der Spielerphase schließt sich ein Emblem der Rivalen nach einem\nZufallsprinzip dem Kampf an.
MID_TIPS_SKILL_31	Initiiert die Einheit den Kampf und verwendet dabei den gleichen Waffentyp des\nsynchron. Emblems, erhält sie Agr. +5. Im Bündnis: Agr. +5, unabhängig vom Waffentyp.
MID_TIPS_SKILL_32	Axt von Emblem Edelgard mit Schmetterkraft. Initiiert die Einheit den Kampf:\nKein Erstangriff. Effektiv gegen: Drachen.
MID_TIPS_SKILL_33	Erlaubt der Einheit, die Kampftechnik von Edelgard, Dimitri oder Claude zu verwenden,\nauf Kosten einiger verbleibender Bündniszüge.
MID_TIPS_SKILL_39	Die Bündnis-Fähigkeit „Kampftechniken“ beendet in dem Zug, in dem sie verwendet\nwird, das bestehende Bündnis nicht – selbst wenn sich dadurch die Bündniszüge der\nEinheit auf 0 reduzieren.
MID_TIPS_GOD_24	Eine Wyrmgöttin, die seit Urzeiten auf dem Kontinent Akaneia in einer anderen Welt lebt.
MID_TIPS_GOD_25	Eine Manakete, die menschliche Gestalt annahm. Nennt Marth liebevoll „Mar-Mar“.
MID_TIPS_GOD_26	Erbin des Kaiserreichs Adrestia in Fódlan, einem Land in einer anderen Welt. Eine\nwürdevolle junge Frau, die sich im Umgang mit Äxten versteht.
MID_TIPS_GOD_27	Kronprinz des Heiligen Königreichs Faerghus, einem Land in einer anderen Welt. Ein\ngewitzter junger Mann, der gekonnt Lanzen führt.
MID_TIPS_GOD_28	Erbe der Leicester-Allianz in Fódlan, einem Land in einer anderen Welt. Ein mysteriöser\njunger Mann, der Bögen geschickt einzusetzen weiß.
