MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x02\x08\x06カゲツ\nOch nee...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06カゲツ\nWie konnte ich nur so dumm sein und meinen\nOnigiri fallen lassen – meinen einzigen zum\nMittagessen? Was soll ich nur tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06カゲツ\nIch hatte so viel für heute geplant... Nun fürchte\nich, vor Hunger umfallen zu müssen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06メリン\nDu siehst aus, als könntest du was zu futtern\nvertragen. Wie wär's mit etwas Süßem?\nIch habe da was dabei.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06カゲツ\nMerrin?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06カゲツ\nDu würdest mir in Zeiten der Not aushelfen?\nMeine Dankbarkeit kennt keine Grenzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06カゲツ\nIch danke dir von ganzem Herzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06メリン\nKein Thema. Lass es dir schmecken.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06カゲツ\nSüß... Und delikat! Aaah, jetzt sprühe ich\nvor Energie!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06メリン\nHui, hast du die aber verschlungen.\nDa war wohl jemand ganz schön hungrig.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06カゲツ\nJa! Das war genau, was ich brauchte.\nVielen Dank!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06カゲツ\nJetzt kann ich unbesorgt Prinzessin Timerra zu\neinem Duell herausfordern!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06メリン\nBitte was?!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06メリン\nDu willst meine Prinzessin zu einem Kampf\nherausfordern? Nein. Nein, das wirst du ganz\nsicher nicht!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06カゲツ\nWarum nicht? Es macht Spaß, gegen starke\nGegner zu kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06カゲツ\nIch verfüge selbst über gewisse Fähigkeiten,\ndaher denke ich, dass Prinzessin Timerra unser\nDuell als Herausforderung betrachten wird.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06メリン\nJa. Aber als Getreue von Prinzessin Timerra\nwerde ich nicht zulassen, dass du sie in Gefahr\nbringst.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06カゲツ\nDu machst dir zu viele Sorgen!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06メリン\nAllein der Gedanke, dass ich jemandem geholfen\nhabe, der meine Prinzessin angreifen will. Welch\nunverzeihlicher Fehler.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06メリン\nWenn du darauf bestehst, gegen sie zu kämpfen,\nmusst du zunächst mich besiegen!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06カゲツ\nDie Herausforderung nehme ich gerne an.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06カゲツ\nNormalerweise jedenfalls. Aber es fühlt sich\nnicht richtig an, dir deine Güte so rau zu\nvergelten.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06カゲツ\nNun gut, Merrin. Du hast mich überzeugt, die\nSache auf sich beruhen zu lassen. Im Moment\njedenfalls.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x08\x06メリン\nHrmpf...\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x08\x06カゲツ\nDu bleibst kampfbereit. Aber ich lüge nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x08\x06カゲツ\nMein Wettstreit mit Prinzessin Timerra wird\neinfach ein anderes Mal stattfinden müssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06カゲツ\x021\n\x0E\x03\x00\x0C\x06メリン\x022\n\x0E\x03\x02\x08\x06カゲツ\nMerrin. Habe ich inzwischen deine Erlaubnis,\nPrinzessin Timerra meine Herausforderung zu\nüberbringen?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06メリン\nIch bitte dich. Diese Erlaubnis wirst du niemals\nbekommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06カゲツ\nWirklich? Das bedrückt mich sehr.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06カゲツ\nUnd doch stehe ich in deiner Schuld, Merrin.\nAus gebotenem Respekt werde ich daher\nwarten, bis du deine Meinung änderst.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06メリン\nDu machst mich aggressiv, weißt du das?\nWarum bestehst du so sehr darauf, gegen\nmeine Prinzessin zu kämpfen?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06カゲツ\nVon der Weißen Wüste aus bin ich weit\ngereist, um starken Gegnern im Kampf\ngegenüberzutreten.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06メリン\nWeiße Wüste... Du meinst diese abgelegene\nRegion in Solm? Die geheimnisumwitterte?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06カゲツ\nFür mich ist alles außerhalb der Weißen Wüste\ngeheimnisumwittert.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06カゲツ\nDeswegen bin ich zu meiner Reise\naufgebrochen – um die seltsame Welt jenseits\nmeiner Heimat zu erkunden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06カゲツ\nAuf meiner Reise habe ich viele starke Gegner\ngetroffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06カゲツ\nIch habe auch gesehen, wie die Sitten, die\nKultur und die Geschichte jedes Reichs\nseine Kämpfer formen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06カゲツ\nDeswegen wünsche ich ein Duell mit Prinzessin\nTimerra. Weil ich mehr über Solm erfahren will!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06メリン\nDarum also geht es.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06メリン\nIn diesem Fall werde ich gegen dich kämpfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06カゲツ\nDu?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06メリン\nIch bin eine königliche Ritterin – und eine fähige\nnoch dazu. Bezweifelst du, dass ich eine\nwürdige Gegnerin bin?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06カゲツ\nDas bezweifle ich nicht. Doch sollte ich dich\nbesiegen, so werde ich als Nächstes Prinzessin\nTimerra herausfordern.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06カゲツ\nErhebst du dagegen irgendwelche Einwände?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06メリン\nSoll mir recht sein. Aber sei gewarnt... Du wirst\nmich nicht besiegen.\x0E\x04\x00\x00
