MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x02\x0C\nエーティエ\nWieder gibt's lecker aussehenden Aufstrich\nzum Abendessen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nエーティエ\nOooh, und es gibt heute Abend auch gebackene\nKartoffeln! Zum Glück ist noch eine übrig.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nIch brauche schließlich meine Kohlenhydrate!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nエーティエ\nEs läuft mal wieder perfekt für mich!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh! Entschuldigung, darf ich kurz mal...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nエーティエ\nHast du gerade... Das war meine gebackene\nKartoffel!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nDann hättest du sie nehmen sollen, statt sie\nnur anzustarren.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nHmpf. Das ist genau, was ich von einer\nElusianerin erwarten würde.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNur, wenn Firenerinnen im Weg rumstehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nDu solltest den Bogen nicht überspannen, Lady.\nGib mir die gebackene Kartoffel.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch muss dieses Ansinnen höflich ablehnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\n„Ablehnen“? Für eine Kartoffeldiebin nimmst\ndu den Mund ganz schön voll!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch kann nicht von dir stehlen, was dir gar nicht\ngehört hat. Da würde mir jeder zustimmen.\x0E\x04\x00\x00
