MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06モーヴ\x024\n\x0E\x03\x02\x08\x06モーヴ\nUnser Schiff hat angelegt.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08リュール\nDanke für die Begleitung.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nMauvier! Alles ist bereit, genau wie du es\nwolltest! Du darfst mir gerne sagen, wie toll ich\nbin-- Moment mal.\x0E\x04\x02\x00
MID_OP1_#004	Was macht \x0E\x0A\x008\x18der Wyrmgott\x1Cdie Wyrmgöttin hier?!\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08リュール\nMarni?\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x08\x06マロン\nWas willst du?! Wir haben keine Ringe mehr!\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x08\x06モーヴ\nGewisse Umstände erfordern, dass wir\ngemeinsam nach Lythos reisen.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x08\x06マロン\nWas?!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x08\x06モーヴ\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Marni und ich hatten die Ringe\nverloren, Zephia bestrafte uns – auf unfaire,\nübertriebene Art.\x0E\x04\x02\x00
MID_OP1_#010	Bei meiner Ehre, ich werde Euch nicht hinter-\ngehen, sobald wir auf See sind. Ich werde Euch\nsicher nach Lythos bringen.\x0E\x04\x02\x00
MID_OP1_#011	Werdet Ihr mir Euer Vertrauen schenken?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08リュール\nDas werde ich. Bring uns nach Lythos.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06マロン\nWas?! Warum solltest du ihnen helfen?! Sie sind\nnicht unsere Freunde. Sie sind unsere Feinde!\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x08\x06モーヴ\n\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin soll Milady Veyle treffen.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nWir haben keinen Grund zu kämpfen... solange\nihr keinen Ärger macht.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x08\x06マロン\nIch erkenne eine Drohung, andere nicht zu\nbedrohen, wenn ich sie höre. Mauvier! Was\ngeht hier vor?\x0E\x04\x00\x00
