MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nDen größten Teil meiner Kindheit verbrachte ich\nverborgen in einem Schloss. Wenn ich mal\nhinauskam, fühlte sich alles so frisch an.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nDas kann ich nachvollziehen. Es klingt, als seien\nunsere Lebensumstände gar nicht so\nunterschiedlich.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nEs passiert mir im Kampf sehr oft, dass die\nTragweite meiner Entscheidungen mich\ngeradezu lähmt.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06カムイ\nDas kenne ich. Manchmal frage ich mich, was\ngeschehen wäre, hätte ich mich anders\nentschieden.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0A\x08リュール\nHinterfragst du dich manchmal selbst, nachdem\ndu eine wichtige Entscheidung getroffen hast?\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06カムイ\nEs gibt eine Entscheidung, über die ich immer\nwieder nachdenke. Doch so oder so, am Ende\nverletze ich stets jene, die mir am Herzen liegen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06カムイ\nAber ich bereue sie nicht. Ich traf meine\nEntscheidung für diejenigen, denen ich am\nmeisten vertraute.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nDanke. Daran zu denken, wem ich vertraue,\nwird mir als guter Wegweiser künftiger\nschwieriger Entscheidungen dienen.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nEuer Kampfstil ist beeindruckend. Doch ich\nstelle fest, dass ich mir Sorgen um Eure\nmenschliche Form mache.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06カムイ\nOh? Du erinnerst mich an meinen alten\nKampflehrmeister. Er hat auch immer gut auf\nmich aufgepasst.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch genieße es, an deiner Seite zu kämpfen,\nVander. Es fühlt sich an, als sei ich diejenige,\ndie beschützt wird.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nWelch eine Ehre, dies von Euch zu hören,\nMilady Corrin. Mögen wir einander stets\nbeschützen, jetzt und immerdar.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nDu bist stets beschäftigt. Wenn du müde bist,\nkann ich dir die Schultern massieren. Oder das\nGesicht. Was auch immer hier so üblich ist.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nWas? Ich dachte, Embleme können niemanden\nanfassen. Und mein Gesicht massieren? Ist das\nin Eurer Welt normal?\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x08\x06カムイ\nAh! Nun, nicht normal. Nein. Nur manchmal.\nJe nachdem, wo man wohnt...\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0C\nヴァンドレ\nHaha, Milady Corrin, die Freude, die Euer\nAngebot mir bereitet, hat meine Müdigkeit\nim Nu verfliegen lassen.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nIn Eurer Nähe zu sein fühlt sich fast so an, wie\nneben \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin zu stehen. Als wärt Ihr...\nmehr als ich.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06カムイ\nVielleicht, weil Drachenblut in meinen Adern\nfließt. Oh. Wusstest du, dass ich mich in einen\nDrachen verwandeln konnte?\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nÄhm, Milady Corrin, wie fühlte es sich an, wenn\nIhr Euch in einen Drachen verwandelt habt?\nWar es komisch? Prickelte es?\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06カムイ\nAm stärksten spüre ich die Blicke der anderen.\nIhre Überraschung, Angst, Ehrfurcht...\nDaran habe ich mich noch nicht gewöhnt.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06クラン\nIch bin immer bei Euch, aber ich habe noch nie\ngesehen, wie Ihr Euch in einen Drachen\nverwandelt. Könntet Ihr das einmal tun?\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06カムイ\nEine vollständige Transformation ist jetzt nicht\nmöglich. Ich kann nur Teile meines Körpers\nverwandeln. Tut mir leid, dich zu enttäuschen.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nNein. Mir tut es leid, dass ich so eine egoistische\nBitte gestellt habe. Ich wollte einfach mehr über\nmeine neue Freundin wissen.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06カムイ\nEs freut mich zu hören, dass du uns als Freunde\nsiehst. Oh, und ich habe ja noch gar nicht\ngefragt... Kannst du dich in etwas verwandeln?\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06フラン\nIch kümmere mich um \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin. Aber\nauch Euch könnte etwas Aufmerksamkeit\nnicht schaden, Milady Corrin.\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06カムイ\nDas ist sehr freundlich von dir, Framme, doch\ndu bist so jung. Vielmehr habe ich das Gefühl,\nich müsste mich um dich kümmern.\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06フラン\nBitte zögert nicht, mir Aufträge zu erteilen.\nIch bin zwar jung, aber sehr zuverlässig!\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06カムイ\nIm Kampf bist du tatsächlich sehr zuverlässig,\nFramme. Doch bei alltäglichen Aufgaben wirkst\ndu ein wenig... äh... tollpatschig.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x08\x06カムイ\nIch hoffe, dass du früher oder später dein\nVertrauen in mich setzt, Framme. Oder meinst\ndu, dass du das nicht kannst?\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06フラン\nDoch, doch! Es ist nur... Ich wünschte, wir\nhätten so etwas wie ein Geheimsignal...\nEine besondere Mimik oder Geste.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06カムイ\nEin Geheimsignal sagst du? Das gefällt mir!\nWie wäre es denn hiermit... Blickkontakt\nherstellen und...\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nHihihi, ja! Milady Corrin, das ist das perfekte\nGeheimsignal für uns! Ihr seid die Beste!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06カムイ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr habt eine große Familie, nicht wahr? Wie ist\nes denn so, ältere Geschwister oder einen\njüngeren Bruder zu haben?\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x08\x06カムイ\nDie älteren Geschwister waren unerschütterlich,\nwährend meine jüngeren Brüder zwar durchaus\narrogant, aber trotzdem süß waren.\x0E\x04\x00\x00
