MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nEs ist seltsam... Auch wenn wir noch nicht lange\ngemeinsam kämpfen, so verstehen wir einander\ndoch schon gut.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08リュール\nIch bin froh, dass es dir genauso geht. Ich hoffe,\nunsere Bande werden noch fester, je länger wir\nzusammenarbeiten.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルフレ\x022\n\x0E\x03\x02\x08\x06ルフレ\nIch wollte gerne mit Euch sprechen. Unsere\nBande sind irgendwie der Wille des Schicksals,\nwie mir scheint.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08リュール\nSchicksal... Welch Glück für mich, Bande mit\neinem Strategen wie dir zu knüpfen. Ich freue\nmich auf weitere Gespräche.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x00\x0C\x06ルフレ\x023\n\x0E\x03\x02\x0A\x08リュール\nIch bin froh, dass ihr beide heute kommen\nkonntet. Es ist schön, gemeinsam Zeit zu\nverbringen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x08\x06クロム\nDaraen unterbricht selten seine Lesestunde oder\nseine Patrouillen. Er muss Euch wirklich mögen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルフレ\nEs fühlt sich an, als hätten wir drei durch\nunsere gemeinsamen Kämpfe eine sehr\nmächtige Verbindung aufgebaut.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nIch spüre es auch. Ich hoffe, diese Verbindung\nwird den Verlauf des Schicksals und des\nKrieges zum Besseren verändern.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nEure Präsenz im Kampf ist höchst beruhigend,\nSir Chrom. Ich verlasse mich auf Euch.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x08\x06クロム\nUnd ich werde da sein, wann immer Ihr mich\nbraucht.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVander, ist es Teil Eurer Pflicht, von dem Pfad\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin Unkraut und Kieselsteine zu\nentfernen?\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nWas? Nein. So stark mein Wille als Behüter auch\nsein mag, das ginge dann doch zu weit. Wieso\nfragt Ihr?\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06クロム\x022\n\x0E\x03\x02\x08\x06クロム\nVerzeiht, wenn meine Frage kürzlich etwas\nseltsam klang. Der Ritter, der mir einst diente,\nwar überaus dienstbeflissen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch verstehe. Ihr habt Euch gefragt, ob ich das\nGleiche täte. Ich muss sagen, ich kann die\nHingabe Eures Ritters nachvollziehen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nUnser Wunsch, mit Körper und Geist zu dienen,\nist mächtig. Vielleicht sollte auch ich mich am\nUnkrautjäten versuchen.\x0E\x04\x00\x00
