MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nFertig... Es ist geschafft. Verflucht, was soll ich\nnun tun? Wie kann ich nun... weiterleben?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x02\x0C\nシトリニカ\nStimmt etwas nicht, Zelkov? Ich höre dir\ngerne zu, wenn du darüber reden möchtest,\negal, was es ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nDas ist sehr nett von dir. Aber ich bezweifle,\ndass du mich wirklich... verstehen... würdest.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nシトリニカ\nVersuch es mal.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nEine meiner... Betätigungen... hat ein Ende\ngefunden.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh. Du verzweifelst über ein... Hobby? Ich\nnahm an, es sei etwas Ernsteres.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nDas Wort... Hobby... reicht nicht aus, um zu\nbeschreiben, was für mich absolute... Priorität...\nbesitzt.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nIch... ich verstehe. Verzeih. Bitte, fahr fort.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ゼルコバ\nIch habe ein Vogeljunges... aufgezogen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nSeine Eltern hatten es... verlassen. Es konnte\nnoch nicht einmal fliegen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nIch übernahm die Aufgabe, für das Kleine... zu\nsorgen... und wurde so zu einer Art Pflegevater.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nOooh, wie bezaubernd.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nAber das ist nun vorbei. Es ist weg.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nシトリニカ\nIst es geflüchtet?\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nEs hat das Nest verlassen. Seinen... recht-\nmäßigen... Platz in den Wolken eingenommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nシトリニカ\nVerzeih, aber ist das nicht eine gute Sache?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nJa. Das war von Anfang an meine... Intention.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nUnd in der Tat war ich als sein Lehrer... stolz...\nzu sehen, wie es ganz von allein fortflog.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nAber als Vater... verspüre... ich den Verlust.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0A\x08ゼルコバ\nVerstehst du nun mein Problem, Citrinne?\nHast du eine... Lösung... für mich?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nHmm... Ich könnte dir einen Vogel kaufen, der\nso ähnlich aussieht. Oder eine Suche danach\norganisieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0A\x08ゼルコバ\nNein... das... reicht nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0C\nシトリニカ\nIn dem Fall gibt es vermutlich nicht viel, was\nich tun kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#025	\x0E\x03\x02\x0A\x08ゼルコバ\nIch verstehe. Dann werde ich deine Zeit nicht\nweiter in Anspruch nehmen. Es ist an mir,\ndie... Last... zu tragen.\x0E\x04\x00\x00
MID_RELIANCE_C_#026	\x0E\x03\x02\x0C\nシトリニカ\nEs tut mir leid, Zelkov. Ich wünschte, ich\nkönnte dir irgendwie helfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov, wie geht es dir?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nTrotz meiner Bemühungen, mich in andere\nBetätigungen zu versenken... frisst... mich der\nVerlust weiterhin auf.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nシトリニカ\nAh. Das ist so schade.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nシトリニカ\nEs tut mir leid, dich zu belästigen, während\nes dir nicht gut geht, aber könntest du mir\nbei etwas helfen?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nWelche Hilfe... benötigst... du?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nHier. Lies dir das mal durch.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\n„Mein Sohn ist ein Faulpelz. Wie kann ich ihn\ndavon überzeugen, einer Arbeit nachzugehen?“\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08ゼルコバ\n„Sie sagen mir immer, ich solle wieder fröhlich\nsein, aber sie verstehen es nicht. Meine große\nLiebe ist fort. Wie soll ich nur weitermachen?“\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nWas... genau... habe ich da gelesen?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nシトリニカ\nEine Liste junger Brodianer, die Hilfe be-\nnötigen. Briefe von ihnen oder ihren Eltern.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nWieso zeigst du sie... mir?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nシトリニカ\nManchmal unterstütze ich die königliche\nFamilie, indem ich diejenigen berate, die\nProbleme haben.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nDieses Mal sind es aber... recht viele. Daher\nkönnte ich deine Hilfe brauchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08ゼルコバ\nCitrinne... Du zeigst... außergewöhnliches...\nMitgefühl.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nシトリニカ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08ゼルコバ\nDiese Leute zu... beraten... könnte für mich die\nBetätigung sein, die mir über meinen Verlust\nhinweghilft.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nDas war doch deine... Intention... nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nHahaha, du traust mir zu viel zu. So weit habe\nich gar nicht gedacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nシトリニカ\nWie dem auch sei. Wie wäre es, wenn du dir\njemanden aussuchst, dem du helfen möchtest,\nund ihm dann einen Brief schreibst?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nSie würden von dem Rat eines Erwachsenen\nsicher profitieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nJa. Ja, sicher. Ich... fange... sofort damit an.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nZelkov! Ich kann es kaum glauben!\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nシトリニカ\nHast du wirklich jedem einzelnen, der einen\nRat benötigte, geholfen?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nJa, das... habe... ich. Das war kein Problem.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nシトリニカ\nGut gemacht. Sie waren alle sehr dankbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nDas freut mich zu hören – auch wenn diese\nAufgabe meine... Trauer... nicht vertreiben\nkonnte.\x0E\x04\x00\x00
