MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08リュール\nIch habe unsere Teestunde heute wirklich\ngenossen. Danke für die Einladung, Céline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nDas Vergnügen war ganz meinerseits,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08セリーヌ\nUnsere Konversation hat dem bereits\nvorzüglichen Tee zusätzliche Würze\nverliehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nDer Tee war ausgezeichnet, nicht wahr?\nDiese blumige Note schien beinahe zu gut,\num wahr zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nEs freut mich, dass er Euch geschmeckt hat.\nIhr müsst wissen, die Teeblätter stammen\naus Firene.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セリーヌ\nIhr feiner, dezenter Geschmack verkörpert\nden Geist unseres Königreichs.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セリーヌ\nMein absoluter Lieblingstee.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nJa, ich hörte bereits, dass die Firener das\nidyllische Leben deutlich mehr zu schätzen\nwissen als jedwede Art des Konflikts.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08リュール\nUnd genau das vermittelt auch dieser Tee.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セリーヌ\nEs existiert eine Firener Volkssage, die Ihr\nwomöglich interessant finden könntet.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セリーヌ\nUnser Königspalast beherbergt einen Geist,\nder allen Rechtschaffenen Glück bescheren soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nDiebe oder Eindringlinge jedoch schlägt er mit\nhinterlistigen Tricks in die Flucht.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nHahaha, stellt Euch das nur vor! Vertrieben\ndurch die neckischen Mätzchen eines Geistes!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nOhne jegliche Konsequenzen. Wie soll ein\nsolcher Geist denn nur zur Abschreckung\nbeitragen?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08リュール\nDennoch ist es eine hübsche Geschichte.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nEs ist genau die Art von gutherziger Sage, die\nden Charakter der Firener perfekt widerspiegelt,\nwie ich finde.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nJa... Das ist sie wohl. Nun denn. Wir müssen\nbald wieder gemeinsam Tee trinken, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIhr seht verstimmt aus, Céline.\nAlles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nAh, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Erinnert Ihr Euch noch an\nden Tee, den wir neulich zusammen genossen\nhaben?\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08リュール\nEinen derart vorzüglichen Tee werde ich so\nschnell sicher nicht vergessen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セリーヌ\nWie es scheint, sind die Lieferungen dieser\nTeeblätter in letzter Zeit zu einem beliebten\nZiel für Wegelagerer geworden.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nObschon wir die Handelsrouten änderten,\ngibt es täglich neue Opfer zu beklagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nWie schrecklich.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08セリーヌ\nEs kommt nicht häufig vor, dass ich darum\ngebeten werde, mich derlei Angelegenheiten\nanzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セリーヌ\nDoch dies stellt einen Notfall dar, und in ganz\nFirene gibt es niemanden, der mehr Kenntnisse\nüber Tee besitzt als ich.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08セリーヌ\nDeshalb bat mich Mutter, mich persönlich\ndieses Problems anzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nUnd was denkt Ihr darüber?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セリーヌ\nNun, vermutlich soll dies meiner Erziehung\ndienen.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAuch wenn mein Bruder der erste Thronerbe\nsein mag, so bin ich doch noch immer\nPrinzessin von Firene.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nWas wollt Ihr also gegen sie unternehmen?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セリーヌ\nIch hatte mir überlegt, sie mit Streichen\nzu vertreiben.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08セリーヌ\nAch, wäre es nicht herrlich, wenn die Dinge\nso simpel wären wie in den Volkssagen?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08セリーヌ\nDoch das wahre Leben ist selten so...\nidyllisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nNein, das ist es wohl nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08セリーヌ\nIch werde jenen, die den Bewohnern Firenes\nLeid zufügen, keine Gnade zeigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セリーヌ\nUnd ich werde alles nur Erdenkliche tun,\ndamit mein Volk weiterhin den gewohnten\nFrieden genießen kann.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セリーヌ\nSeht mich nicht so an, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Dies ist eine\nPflicht, die ich erfüllen muss.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セリーヌ\nBitte entschuldigt mich nun. Ich werde mich\ndieser Angelegenheit annehmen. Umgehend.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nSollte ich Euch neulich beunruhigt haben,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche, so bitte ich Euch aufrichtigst\num Vergebung.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nWas ist mit den Wegelagerern passiert, die es\nauf die Teelieferungen abgesehen hatten?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セリーヌ\nWir stellten Mittel zur Verfügung, um die\nSicherheit der Karawane zu erhöhen.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セリーヌ\nDann ließen wir die Diebe entkommen, und sie\nführten unsere neuen Sicherheitstruppen\ngeradewegs in ihren Unterschlupf.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08セリーヌ\nIch ordnete soeben an, ihre Basis dem\nErdboden gleichzumachen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08リュール\nVerstehe.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セリーヌ\nAuch wenn es sich um Banditen handeln mag,\nso sind es noch immer Firener – und ich habe\nnun ihr Todesurteil unterzeichnet.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08セリーヌ\nIch würde ohne Zögern jederzeit wieder\nso handeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セリーヌ\nNiemand – nicht eine einzige Seele – darf\nungestraft den Frieden in Firene gefährden.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nDies muss eine schmerzliche Entscheidung\nfür Euch gewesen sein.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セリーヌ\nMitnichten.\x0E\x04\x00\x00
