MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIch spüre die Wärme, die du deinem jüngeren\nBruder entgegenbringst. Wir zwei werden uns\nbestimmt gut verstehen.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x06\x04エル\nDu verfügst über eine sonderbar mächtige Gabe,\ndies zu erkennen. Aber ja, auch ich kann fühlen,\ndass wir gut miteinander auskommen werden.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x08\x06ミカヤ\nIch hatte einst auch jemanden, der für mich wie\nein kleiner Bruder war. Er bedeutete mir sehr\nviel. Aber wir sahen nicht wie Geschwister aus.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x06\x04エル\nUnd doch war er dein Bruder, auch wenn ihr\neuch nicht ähnlich saht. Oder habe ich deine\nAussage vielleicht falsch interpretiert?\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x06\x04エル\nWie ich hörte, sollst du über ein ungewöhnlich\nlanges Leben verfügen. Das wird wohl auch der\nGrund sein, weshalb dein Bruder älter aussah.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x08\x06ミカヤ\nIm Prinzip schon, ja. Mein „kleiner“ Bruder ist\nurplötzlich in die Höhe geschossen.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x06\x04エル\nFür uns Drachen ist das nichts Neues.\nEs fällt immer schwer, den Kleinen beim\nAltwerden zuzusehen.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x08\x06ミカヤ\nIch weiß dein Mitgefühl zu schätzen. Wie du\nsiehst lag ich mit meiner Annahme, wir zwei\nwürden uns gut verstehen, durchaus richtig.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nWas soll dieser fürsorgliche Blick, mit dem du\nmich ansiehst? Wage es ja nicht, mich wie ein\nKind zu behandeln!\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x08\x06ミカヤ\nOh, bitte verzeih. Ich hatte nicht vor, dich zu\nverärgern. In mir kam nur gerade das Gefühl\nauf, auf dich aufpassen zu wollen.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x0C\x06ミカヤ\x022\n\x0E\x03\x02\x0C\nラファール\nSoll dies etwa mein Los sein? Ewig gestraft mit\nälteren Schwestern, die so viel Aufhebens um\nmich machen? Ich sagte doch, ich bin kein Kind!\x0E\x04\x00\x00
