MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0A\x08リュール\nVielen Dank, dass du mit mir trainiert hast,\nMadeline.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nマデリーン\nNein, ich habe zu danken. Es war mir eine Ehre\nmit jemanden mit Eurem Talent zu trainieren.\x0E\x04\x02\x00
MID_RELIANCE_C_#003	Dürfte ich wohl noch etwas anmerken? Bevor\nsich unsere Wege trennen?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nNatürlich. Was gibt es denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nマデリーン\nIch wollte Euch nur sagen, wie sehr ich\nEuch bewundere. Ihr seid so ernsthaft und\noptimistisch.\x0E\x04\x02\x00
MID_RELIANCE_C_#006	Davon, wie großherzig Ihr uns, die wir aus einer\nanderen Welt kommen, aufgenommen habt,\nganz zu schweigen.\x0E\x04\x02\x00
MID_RELIANCE_C_#007	Was Euch zu \x0E\x0A\x00@\x1Ceinem Anführer einer Anführerin macht, sind\nnicht Eure Wurzeln als \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin, sondern\nEuer gütiges Herz.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nOh! Ich weiß deine netten Worte zu schätzen,\naber das sind schon sehr viele Komplimente,\ndie du mir da mit auf den Weg gibst.\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Meiner Meinung nach bist du ebenfalls bemer-\nkenswert. In der Schlacht zeigst du dich\nloyal und furchtlos.\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Ich bin dankbar dafür, dass du in unsere Welt\ngekommen bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nマデリーン\nBitte. Es ist doch die Aufgabe eines Ritters,\nsich mutig in die Schlacht zu stürzen.\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Ihr müsst mich nicht dafür loben, dass ich\nmeine Pflicht erfülle. Immerhin ist es nicht\nAnerkennung, was zählt.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Was zählt, ist die Tatsache, dass ich meinem\nZweck diene und Euch helfe, den Sieg zu\nerringen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nEs beruhigt mich sehr, das zu hören.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nマデリーン\nNun denn, ich muss zu meinem nächsten\nÜbungskampf aufbrechen.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Sollte Euch jemals ein Trainingspartner fehlen,\ngebt mir gerne wieder Bescheid.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nEin schneller Hieb und die Sache ist erledigt!\nIch muss nur näher herankommen... Aaaaaaah!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nMadeline, du hast deine Waffe gezogen! Was\nist passiert?\x0E\x04\x02\x00
MID_RELIANCE_B_#003	Oh, ein Marienkäfer! Wie niedlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nマデリーン\nNIEDLICH? Diese Kreatur wagt es, das Somniel\nzu durchkrabbeln!\x0E\x04\x02\x00
MID_RELIANCE_B_#005	Ich muss sie eliminieren, oder sie wird Euch\nund all unseren Verbündeten Verderben\nbringen!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08リュール\nAha. Du hast Angst vor Käfern.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nマデリーン\nDas habe ich nicht gesagt! Eine Ritterin gibt\nihre Angst niemals zu, egal, wie stark ihr\nGegner auch sein mag!\x0E\x04\x02\x00
MID_RELIANCE_B_#008	Hmpf. Na schön, ja. Ich habe so etwas wie...\neine Abneigung gegen Käfer.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nDas ist doch nicht schlimm. Jeder hat etwas,\nwovor er sich fürchtet. Wie wäre es, wenn du\ndeine Waffe wieder wegstecken würdest?\x0E\x04\x02\x00
MID_RELIANCE_B_#010	Dieser Käfer wird dir nichts tun. Versprochen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nマデリーン\nWie könnt Ihr da so sicher sein?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nHier, sieh mal. Husch! Husch!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nマデリーン\nIiiiihiii. Die Bestie bewegt sich!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nIst doch gut so. Sieh nur, er fliegt nach draußen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nマデリーン\nIhr habt ihn entkommen lassen... Und was,\nwenn er auf einem mörderischen Feldzug\nist?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08リュール\nUnwahrscheinlich. Abgesehen davon ist es\nbesser, Probleme ohne Gewalt zu lösen, sofern\ndies möglich ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nマデリーン\nHm... Ja, das erscheint mir sinnig. Vielen Dank,\ndass Ihr die Sache in die Hand genommen habt.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08リュール\nKeine Ursache. Ich muss aber sagen, dass ich\nüberrascht bin, dich so zu sehen.\x0E\x04\x02\x00
MID_RELIANCE_B_#019	Auf dem Schlachtfeld bist du so mutig. Wär\nhätte gedacht, dass der Anblick eines Käfers\ndich zum Herumzappeln bringt?\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nマデリーン\nHerumzappeln? Ritter zappeln nicht herum!\nBitte, hört auf zu grinsen!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nマデリーン\x022\n\x0E\x03\x02\x0C\nマデリーン\nPuuuh. Zeit für eine Pause, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
