MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nNa, wenn das nicht Mylord Rafal ist.\nWas für ein Zufall, in dem großen, weiten\nSomniel ausgerechnet auf Euch zu stoßen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nGrrr.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nグレゴリー\nWas soll denn die Kalte-Schulter-Nummer?\nWir waren doch immer so gute Verbündete.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nAh, jetzt erinnere ich mich. Du bist einer von\ndiesen winselnden Vier Winden.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nグレゴリー\nAh! Der scharfe Blick, die garstigen Worte...\nIhr seid wirklich völlig anders als damals, als\nIhr noch Mylord Nil wart.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nWenn deine Lungen weiterhin Wert auf Luft\nlegen, Gregory, wirst du ihnen verbieten, diesen\nNamen noch einmal auch nur zu atmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nグレゴリー\nDann hatte ich wohl recht. Früher, als Ihr noch\nnett zu uns wart... Das war alles nur gespielt,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nNatürlich war es nur gespielt. Kann man deinen\njämmerlichen Verstand bereits mit so flachen\nPlattitüden einlullen?\x0E\x04\x02\x00
MID_RELIANCE_C_#009	Oh, Gregory, ich habe dich so vermisst.\nDein Anblick erfüllt mein Herz mit Freude.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nグレゴリー\nAutsch. Kein Grund, so gemein zu sein. Worte\nschneiden mindestens so tief wie Klingen,\nwisst Ihr?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nDann sag, was du willst, und verschwende\nmeine Zeit nicht länger. Was führt dich zu mir?\nRache?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nグレゴリー\nWas? Nein. So einer bin ich nicht. Ich glaube\nnicht an Rache.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Ich will gar nichts Besonderes von Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nDann verschwinde. Du bist mir nicht länger\nvon Nutzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nグレゴリー\nGut, gut. Ist ja nicht so, als wollte ich noch mal\nvon Euch benutzt werden.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Aber eine Frage habe ich an Euch.\x0E\x04\x02\x00
MID_RELIANCE_C_#017	Ihr seid grausam. Aber das fühlt sich an wie\neine Maske, genau wie es Eure Güte tat.\nAlso... was seid Ihr in Wirklichkeit?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nラファール\nDeine Naivität ist überwältigend.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x10\nグレゴリー\x022\n\x0E\x03\x02\x0C\nグレゴリー\nAh, Mylord Rafal! Heute muss mein Glückstag\nsein.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Ist das nicht ein herrliches Wetter? Ich könnte\nglatt ein Nickerchen halten... wenn das hier\nnicht gerade ein Schlachtfeld wäre.\x0E\x04\x00\x00
