MID_WU_C_1_IN_#001	Ich war überrascht...
MID_WU_C_1_IN_#002	von der Pflicht des Aufweckens\n\x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin zu erfahren.
MID_WU_C_1_SOON_#001	Würdet Ihr öfter früher aufstehen...
MID_WU_C_1_SOON_#002	könnte das Euren Verbündeten Zeit sparen.
MID_WU_C_1_SOON_#003	Egal.
MID_WU_C_1_SOON_#004	Guten Morgen.
MID_WU_C_1_WAKEUP_#001	\x0E\x0A\x00\x0E\x04Er\x06Sie schläft noch.
MID_WU_C_1_WAKEUP_#002	Das könnte ein Problem sein.
MID_WU_C_1_WAKEUP_#003	\x0E\x0A\x00N"Ein Anführer, der(Eine Anführerin, die ständig verschläft...
MID_WU_C_1_WAKEUP_#004	könnte den Kleinen Ärger bereiten.
MID_WU_C_1_HELLO_#001	Endlich wach.
MID_WU_C_1_HELLO_#002	Sehr gut.
MID_WU_C_1_HELLO_#003	Raus aus den Federn!
MID_WU_C_1_HELLO_#004	Ich lasse nicht zu, dass\nIhr wieder einschlaft.
MID_WU_C_2_IN_#001	Weitaus schwieriger, als Embleme\nschlafen zu schicken.
MID_WU_C_2_SOON_#001	Danke, dass Ihr so rasch aufgestanden seid.
MID_WU_C_2_SOON_#002	Da meine Pflicht erfüllt ist,\nwerde ich nun gehen.
MID_WU_C_2_WAKEUP_#001	Schläft tief und fest.
MID_WU_C_2_WAKEUP_#002	Ich frage mich schon, ob\nIhr ewig schlafen würdet...
MID_WU_C_2_WAKEUP_#003	wenn wir nicht über Euch\nwachen würden.
MID_WU_C_2_WAKEUP_#004	So also muss sich Rafal gefühlt haben...
MID_WU_C_2_HELLO_#001	Guten Morgen.
MID_WU_C_2_HELLO_#002	Ihr habt ein wenig verschlafen.
MID_WU_C_2_HELLO_#003	Aber noch ist Zeit.
MID_WU_C_2_HELLO_#004	Dennoch solltet Ihr nicht trödeln.
MID_WU_B_1_IN_#001	Zeit zum Aufstehen.
MID_WU_B_1_IN_#002	Seid Ihr wach?
MID_WU_B_1_SOON_#001	Ihr wacht ja doch recht leicht auf.
MID_WU_B_1_SOON_#002	Vielleicht bittet Ihr nur deshalb dabei\num Hilfe, weil Ihr einsam seid.
MID_WU_B_1_WAKEUP_#001	Die Wunde, die Ihr bei meinem Schutz\nerlitten habt, scheint verheilt zu sein.
MID_WU_B_1_WAKEUP_#002	Doch seitdem habt Ihr weitere\nVerletzungen davongetragen.
MID_WU_B_1_WAKEUP_#003	Das war vermutlich zu erwarten.
MID_WU_B_1_WAKEUP_#004	Dennoch...
