MID_FOOD_RESULT	\x0E\x01\x01\x00 \x0E\x01\x00\x00
MID_FOODRANK_Superb	(erstklassig)
MID_FOODRANK_Delicious	(köstlich)
MID_FOODRANK_Growling	(lecker)
MID_FOODRANK_Melt	(appetitlich)
MID_FOODRANK_HighKing	(herrisch)
MID_FOODRANK_HolyMother	(heilig)
MID_FOODRANK_Courage	(beherzt)
MID_FOODRANK_Wisdom	(weise)
MID_FOODRANK_Chalk	(göttlich)
MID_FOODRANK_Mens	(solide)
MID_FOODRANK_ForBoys	(unwiderstehlich)
MID_FOODRANK_Woman	(gewagt)
MID_FOODRANK_ForGirls	(delikat)
MID_FOODRANK_Adult	(geschmackvoll)
MID_FOODRANK_Child	(modern)
MID_FOODRANK_Your	(individuell)
MID_FOODRANK_Discerning	(für Feinschmecker)
MID_FOODRANK_Whimsical	(sonderbar)
MID_FOODRANK_Rich	(vollmundig)
MID_FOODRANK_Refreshing	(erfrischend)
MID_FOODRANK_Sharp	(ausgewogen)
MID_FOODRANK_Friendly	(mild)
MID_FOODRANK_BrodiaStyle	(nach Brodia-Art)
MID_FOODRANK_FileneStyle	(nach Firene-Art)
MID_FOODRANK_SolumStyle	(nach Solm-Art)
MID_FOODRANK_IrcionStyle	(nach Elusia-Art)
MID_FOODRANK_LithosStyle	(nach Lythos-Art)
MID_FOODRANK_Wild	(deftig)
MID_FOODRANK_Exciting	(herzhaft)
MID_FOODRANK_CarefullySelected	(erlesen)
MID_FOODRANK_Fresh	(frisch)
MID_FOODRANK_Spicy	(extrem scharf)
MID_FOODRANK_Hot	(scharf)
MID_FOODRANK_Bitter	(bitter)
MID_FOODRANK_Bittersweet	(bittersüß)
MID_FOODRANK_SuperSweet	(extrem süß)
MID_FOODRANK_Sweet	(süß)
MID_FOODRANK_Chewy	(knusprig)
MID_FOODRANK_Hard	(recht zäh)
MID_FOODRANK_Habit	(anregend)
MID_FOODRANK_Smart	(recht seltsam)
MID_FOODRANK_Normal	(mittelmäßig)
MID_FOODRANK_Mistake	(so lala)
MID_FOODRANK_Shortage	(fade)
MID_FOODRANK_DifferentStar	(undefinierbar)
MID_FOODRANK_DefinitelySuffer	(ungenießbar)
MID_FOODRANK_Carbonization	(verbrannt)
MID_FOOD_OnionSoup	Zwiebelsuppe
MID_FOOD_H_OnionSoup	Eine einfache, aber schmackhafte\nSuppe, zubereitet aus Zwiebeln,\nWasser und Gewürzen.
MID_FOOD_ConsommeSoup	Bohnen- und Gemüsebrühe
MID_FOOD_H_ConsommeSoup	Eine Suppe mit geschmorter Wurst,\nBohnen und Gemüse. Ihre Basis\nvariiert je nach Koch.
MID_FOOD_DumplingsOfMeat	Hackfleischklößchen
MID_FOOD_H_DumplingsOfMeat	Mit Kräutern gewürztes Hackfleisch,\nGemüse und Brotkrumen, in Teig\ngehüllt und anschließend gekocht.
MID_FOOD_PotatoSoup	Kartoffelsuppe
MID_FOOD_H_PotatoSoup	Eine sämige, wohltuende Suppe\naus weichen Kartoffeln.
MID_FOOD_WhiteSausage	Weißwürste
MID_FOOD_H_WhiteSausage	Würste aus Lammfleisch und\nfrischem Speck, mit Kräutern\nverfeinert für zusätzliches Aroma.
MID_FOOD_StewedSaltedMeat	Eintopf mit Pökelfleisch
MID_FOOD_H_StewedSaltedMeat	Gesalzene Schweinehachse, mit\nKräutern und Gemüse für mehrere\nStunden im Topf geschmort.
MID_FOOD_CreamCroquette	Sahnekroketten
MID_FOOD_H_CreamCroquette	Knusprige Kroketten, gefüllt mit\neiner cremigen Soße.
MID_FOOD_SmokedEel	Geräucherter Aal
MID_FOOD_H_SmokedEel	Aal, der ausgenommen und am\nStück geräuchert wurde. Sogar\ndie Haut ist essbar!
MID_FOOD_PickledPicklesHerringRoll	Eingelegte Heringsröllchen
MID_FOOD_H_PickledPicklesHerringRoll	Eingelegte Zwiebeln und Tomaten,\numwickelt von einem Hering, der\nebenfalls in Essig eingelegt wurde.
MID_FOOD_FriedCarp	Frittierter Karpfen
