MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nKann ich kurz mit Euch sprechen, Ivy?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アイビー\nSicher, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIch wollte nur sagen, dass es mir wirklich leid\ntut.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ヴェイル\nEs tut mir leid, dass mein Papa Euren Vater...\nin den Wahnsinn getrieben hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アイビー\nTut das nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ヴェイル\nIch habe gehört, er war ein gütiger König\ngewesen, der sich gut um sein Volk und seine\nFamilie gekümmert hat, bevor...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ヴェイル\nWäre mein Vater nicht gewesen, wäre er immer\nnoch bei seiner Familie – bei Euch.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アイビー\nBitte, hört auf.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08アイビー\nDie Vergangenheit ist vergangen. Es nutzt\nnichts, darüber zu brüten.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß, dass Ihr so fühlt, aber...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08アイビー\nIhr schuldet mir keine Entschuldigung. Eures\nVaters Sünden sind nicht die Euren.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ヴェイル\nEs kommt mir nicht so vor, als ob das wahr sei.\nBitte, ich muss etwas tun.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08アイビー\nIhr seid ganz schön stur, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08アイビー\nIn diesem Fall werde ich mir überlegen, wie Ihr\nbei unserem nächsten Treffen angemessen\nBuße tun könnt.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ヴェイル\nVielen Dank. Ich werde tun, was immer Ihr\nverlangt.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08アイビー\nDiese Worte könntet Ihr noch bereuen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nIvy, das ist nicht...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08アイビー\nZu spät, um es zurückzunehmen. Ihr sagtet,\nIhr würdet tun, was immer ich als Buße\nverlange.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ヴェイル\nJa, aber...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08アイビー\nKeine Ausreden.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08アイビー\nUm zu büßen, müsst Ihr dieses scharfe Gericht\naufessen. Und ich erwarte, dass der Teller\nblitzeblank leer ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08アイビー\nHat Euch die Furcht die Sprache verschlagen?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08アイビー\nVielleicht war ich zu hart. Nun gut – ich vergebe\nEuch, wenn Ihr einen einzigen Bissen ertragen\nkönnt.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08アイビー\nDas war Euer eigener Wunsch, wenn Ihr Euch\nerinnert. Ich meine weiterhin, dass es nichts\ngibt, wofür Ihr Buße tun müsstet.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08アイビー\nWartet...\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08アイビー\nWie kann Euch das denn schmecken? Ich habe\ndafür gesorgt, dass es weit über die Maßen\nscharf gewürzt ist!.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08ヴェイル\nIch liebe scharfes Essen!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08アイビー\nAch wirklich?\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08アイビー\nVater hatte mir gesagt, Ihr könntet es nicht\nausstehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0A\x08アイビー\nVielleicht habe ich ihn missverstanden?\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0A\x08ヴェイル\nOh, ist das lecker. Ich kann nicht aufhören\nzu essen!\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08ヴェイル\nAber das ist doch keine Strafe. Das ist vielmehr\neine Belohnung!\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0A\x08ヴェイル\nIch liebe dieses Essen so sehr. Aber ich hasse\nes, nicht für die Vergangenheit Buße tun zu\nkönnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08アイビー\nAuch egal.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08アイビー\nWenn es ihr so gut schmeckt, umso besser.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08アイビー\nSie ist wirklich zu Tränen gerührt...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08アイビー\nEure Buße endet hier, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08ヴェイル\nWas?! Nein!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0A\x08ヴェイル\nDas kann noch nicht alles sein. Ich werde sofort\naufhören, diese unglaublich leckere Speise zu\nessen. Das werde ich!\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0A\x08アイビー\nNein, bitte, esst auf. Es wäre schade, das\nwegzuwerfen.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0A\x08アイビー\nEuch in Schmerzen zu sehen, spendet mir auch\nkeinen Trost, wisst Ihr.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0A\x08アイビー\nWenn überhaupt... dann ist dies eher dadurch zu\nerreichen, Euch fröhlich erleben zu dürfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08アイビー\x021\n\x0E\x03\x00\x0E\x08ヴェイル\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nOh, Ivy. Ich muss mit Euch über meine Buße\nvon neulich reden.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nEs tut mir leid, dass ich das ganz leckere\nEssen aufgegessen habe. Ich konnte mich nicht\nzurückhalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08アイビー\nWarum käut Ihr das jetzt noch mal wieder?\nIch dachte, wir hätten das Thema geklärt.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nAber...\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08アイビー\nHört mal, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0A\x08アイビー\nMein Vater wurde von dem Dämonendrachen\nkorrumpiert. Er wurde einen dunklen Pfad\nentlang gezwungen.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08アイビー\nAber nichts davon ist auch nur annähernd Eure\nSchuld!\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08ヴェイル\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08アイビー\nIhr seid noch immer nicht überzeugt.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08アイビー\nOffen gestanden... verstehe ich das. Mir wurde\noft gesagt, ich sei für meines Vaters Taten\nnicht verantwortlich.\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08アイビー\nDas macht es aber nicht leichter, es zu\nakzeptieren.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0A\x08ヴェイル\nIch weiß genau, wie Ihr Euch fühlt.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08アイビー\nEs ist schon ein bisschen lächerlich, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08アイビー\nHier stehe ich und sage Euch, dass Eures Vaters\nSünden nicht die Euren sind...\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08アイビー\nDoch war ich nicht in der Lage, genau dieselben\nWorte zu akzeptieren, als sie mir gesagt wurden.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08アイビー\nGleichwohl... Wir beide müssen diese Worte\nhören. Und wir beide müssen sie, so gut es uns\nmöglich ist, glauben.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08ヴェイル\nOh, Ivy...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08ヴェイル\nIch werde bei Euch nicht mehr darauf drängen,\nBuße zu tun.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08ヴェイル\nAber es gibt etwas, das ich mir wünsche.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0A\x08ヴェイル\nIch wünsche mir, dass Ihr und ich diese Welt\nzu einem Ort machen, an dem niemand mehr\neine solch grässliche Bürde tragen muss.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0A\x08アイビー\nIch könnte es nicht besser ausdrücken.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08ヴェイル\nWirklich, ich werde nie wieder über Buße reden.\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0A\x08ヴェイル\nIch dachte nur, wir könnten einander helfen...\nda wir ja beide wissen, wie es ist, zu leiden.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0A\x08ヴェイル\nDas könnten wir, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0A\x08アイビー\nNatürlich! Absolut!\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08アイビー\nVielen Dank, Milady Veyle.\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0A\x08ヴェイル\nVielen Dank, Ivy.\x0E\x04\x00\x00
