MID_TUT_BMAP_FireBall_TITLE	Vulkanbomben
MID_TUT_BMAP_FireBall_0	Herabstürzende Vulkanbomben fügen bei\nEinschlag Schaden zu.
MID_TUT_BMAP_FireBall_1	Halte deine Verbündeten von verbranntem\nBoden fern, denn dort herrscht stets die Gefahr,\nvon ihnen getroffen zu werden.
MID_TUT_BMAP_FireBall_2	Einheiten auf Kratern erleiden ebenfalls\nSchaden.
MID_TUT_BMAP_Smoke_TITLE	Rauch
MID_TUT_BMAP_Smoke_0	Gelände, das in Rauch gehüllt ist, verringert\nAusweichen (Aw.), Verteidigung (Ver.) sowie\nResistenz (Res.) der Einheiten.
MID_TUT_BMAP_Smoke_1	Der Rauch auf dieser Karte breitet sich zudem\nmit der Zeit aus, sei also lieber vorsichtig.
MID_TUT_HUB_REFRESH_TITLE	Freizeit
MID_TUT_HUB_REFRESH_0	Wähle im Somniel zwei Verbündete aus,\num sie gemeinsam etwas von ihrer Freizeit an\nverschiedenen Orten verbringen zu lassen.
MID_TUT_HUB_REFRESH_1	Während ihrer gemeinsamen Zeit erhalten beide\nVerbündete womöglich Unterstützungspunkte.
MID_TUT_HUB_REFRESH_2	Du kannst deine Verbündeten zwischen den\nKämpfen je einmal im Schwimmbad, im Obst-\ngarten oder beim Stall Zeit verbringen lassen.
MID_TUT_HUB_REFRESH_NOTICE	Du kannst ab sofort die Option „Freizeit“ im\nSchwimmbad sowie an weiteren Orten wählen.
MID_TUT_HUB_REFRESH_OPEN	Du kannst deine Verbündeten ab sofort\ngemeinsam ihre Freizeit verbringen lassen.
MID_TUT_GOD_HECTOR_TITLE	Emblem Hector
MID_TUT_GOD_HECTOR_0	Emblem Hector verfügt über einen hohen\nVerteidigungswert. Er schützt Verbündete\nund kann gegnerische Angriffe kontern.
MID_TUT_GOD_HECTOR_1	Die Synchro-Fähigkeit „Flinke Riposte“\nermöglicht Folgeangriffe, solange die KP der\nEinheit über einem bestimmten Wert liegen.
MID_TUT_GOD_HECTOR_2	Die Bündniswaffe „Wolfbeil“ fügt berittenen und\ngepanzerten Gegnern zusätzlichen Schaden zu.
MID_TUT_GOD_HECTOR_3	Die Bündnis-Fähigkeit „Uneinnehmbar“ erhöht\nden Verteidigungs- und den Resistenzwert der\nEinheit, sobald sie angegriffen wird.
MID_TUT_GOD_HECTOR_4	Der Bündnis-Angriff „Auge des Sturms“ verhin-\ndert „Bruch“ sowie Folgeangriffe des Gegners.\nEigene Konter ermöglichen Folgeangriffe.
MID_TUT_GOD_SENERIO_TITLE	Emblem Soren
MID_TUT_GOD_SENERIO_0	Emblem Soren ist auf Kampfmagie spezialisiert\nund vermag mit ihrer Hilfe das Blatt in so\nmanch einer Schlacht zu wenden.
MID_TUT_GOD_SENERIO_1	Die Synchro-Fähigkeit „Lockvogel“ erlaubt es,\neinen Verbündeten zum bevorzugten Ziel des\nGegners zu machen.
MID_TUT_GOD_SENERIO_2	Die Bündniswaffe „Gewitter“ verfügt über eine\ngroße Reichweite und kann weit entfernten\nGegnern mit Donnermagie Schaden zufügen.
MID_TUT_GOD_SENERIO_3	Die Bündnis-Fähigkeit „Schein“ verringert\nbei Angriffen mit Büchern den Resistenzwert\ndes Gegners und heilt die eigene Einheit.
MID_TUT_GOD_SENERIO_4	Der Bündnis-Angriff „Kataklysmus“ fügt\nGegnern in einem bestimmten Gebiet Schaden\nmit Feuer-, Donner- und Windmagie zu.
MID_TUT_GOD_CAMILLA_TITLE	Emblem Camilla
MID_TUT_GOD_CAMILLA_0	Emblem Camilla besitzt die Macht,\nGeländeeffekte zu verändern und aus der Luft\nEinfluss auf das Kampfgeschehen zu nehmen.
MID_TUT_GOD_CAMILLA_1	Die Synchro-Fähigkeit „Drachenader“ fügt dem\nGelände je nach Einheitentyp Effekte hinzu und\ntilgt Flammen und Miasma.
MID_TUT_GOD_CAMILLA_2	Die Bündniswaffe „Donneraxt“ kann selbst\nentfernten Gegnern mit Magie Schaden zufügen.
MID_TUT_GOD_CAMILLA_3	Die Bündnis-Fähigkeit „Überflieger“ erhöht die\nBewegung (Bew.) und ermöglicht einer Einheit\nzu fliegen.
MID_TUT_GOD_CAMILLA_4	Der Bündnis-Angriff „Dunkles Inferno“ fügt\nGegnern in einem großen Bereich Schaden zu\nund lässt das Gelände in Flammen aufgehen.
MID_TUT_TIPS_Hector	Emblem Hector
MID_TUT_TIPS_Senerio	Emblem Soren
MID_TUT_TIPS_Camilla	Emblem Camilla
MID_TIPS_OTHER_35	Du kannst zwischen den Schlachten jeden der drei Freizeitorte im Somniel jeweils\nein Mal nutzen.
MID_TIPS_SKILL_36	Greift die Einheit mit Feuer-, Donner- oder Windbüchern an, wird einer der gegnerischen\nStatuswerte für 1 Zug verringert. Welcher Wert genau hängt von der Art des Buches ab.
