MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nDanke für die Hoffnung, die du mir in jenem\nMoment gezeigt hast. Ohne dich hätte ich\nwomöglich aufgegeben.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x08\x06ルキナ\nIch habe dir nur einen kleinen Schubser\ngegeben. Du wirst deine Zukunft mit deinen\neigenen Händen gestalten.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0A\x08リュール\nManchmal mache ich mir Sorgen, ob wir\nwirklich in der Lage sind, diesen Krieg zu\ngewinnen.\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x08\x06ルキナ\nIch weiß, die Dinge können manchmal düster\nerscheinen. Doch solange du die Hoffnung\nbewahrst, kannst du die Finsternis vertreiben.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nVor langer Zeit wurde ich aus meiner Heimat\nvertrieben. Doch wäre ich geblieben, hätte man\nmich getötet, und alles wäre verloren gewesen.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08リュール\nIch verstehe, was du meinst. Manchmal muss\nman den Weg des Rückzugs wählen... Aber\nwarst du am Ende siegreich?\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x08\x06ルキナ\nJa. Ich habe eine neue Zukunft geschaffen, und\ndu kannst das auch. Also gib niemals auf, bis zu\ndeinem letzten Atemzug.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08リュール\nVerstanden. Ganz gleich, wie schwer es für uns\nauch wird, ich werde daran glauben, dass sich\nalles zum Guten wendet.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIch hörte, Ihr könnt gut stricken. Ich selbst\nkomme mit solch filigraner Arbeit gar nicht\nzurecht, daher bin ich richtig neidisch.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0C\nヴァンドレ\nHm. Die meisten sind überrascht, dass ein\ngroßer Mann wie ich so etwas... Delikates\nzustande bringt.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nMan kann ja auch Pullover stricken. Zum\nBeispiel einen mit Eurem Gesicht ganz groß\ndarauf.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0C\nヴァンドレ\nIch... Ich meine... Ja. Aber es wird wohl kaum\njemand freiwillig solche Kleidung tragen wollen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nWenn ich Euch beim Stricken zusehe, erinnere\nich mich an meine Mutter, die das ebenfalls\ngetan hat, als ich noch klein war.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0C\nヴァンドレ\nOh? Sie muss eine außergewöhnliche Frau\ngewesen sein. Übrigens, der Pullover, um den\nIhr gebeten hattet...\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nJener, der mit meinem Gesicht verziert ist?\nEr ist fertig. Wem soll ich ihn geben?\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x08\x06ルキナ\nOh, hervorragend! \x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wyrmgöttin wird ihn\nbestimmt lieben. Ich kann mir kein besseres\nGeschenk vorstellen.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nIst es wahr, dass Ihr mit Mylord Marth verwandt\nseid? Ich wusste gar nicht, dass Embleme\nmiteinander verwandt sein können.\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06ルキナ\nJa, ich bin seine Nachfahrin. Daher versuche\nich, mich dieser Blutlinie würdig zu erweisen.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nIch bin wie Ihr und Mylord Marth! Wir Behüter\ndes Drachen dienen Generation für Generation.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x08\x06ルキナ\nDas heißt, dass deine Vorfahren vor tausend\nJahren mit \x0E\x0A\x008\x18dem Wyrmgott\x1Cder Wyrmgöttin gekämpft haben\nmüssen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06クラン\nIch habe über Familienstammbäume\nnachgedacht. Und darüber, wie meine Linie\nweitergehen wird, wenn ich nicht mehr da bin.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x08\x06ルキナ\nAuch die Behüter werden fortbestehen. Du wirst\nTeil ihrer Geschichte sein, und sie werden\ndanach streben, ebenso heroisch zu sein wie du.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06ルキナ\nEbenso, wie ich versuchte, jemand zu werden,\nauf den König Marth stolz sein kann.\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x08\x06クラン\nIhr habt mich inspiriert, Milady Lucina.\nIch werde allen künftigen Behütern zeigen,\nwie man ein Held zu sein hat.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06フラン\nLady Lucina! Wenn ich irgendetwas für Euch\ntun kann, lasst es mich nur wissen! Ob Haus-\narbeiten, Botengänge... überlasst alles miAAAH!\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x08\x06ルキナ\nFramme?! Alles in Ordnung? Du bist vor\nAufregung glatt umgefallen!\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06フラン\nJedes Mal, wenn ich versuche, jemandem zu\nhelfen, werde ich so aufgeregt, dass ich alles\nvermassele. Das ist total frustrierend.\x0E\x04\x00\x00
MID_GR_Fram_B_#002	\x0E\x03\x02\x08\x06ルキナ\nKeine Sorge, wir machen alle mal Fehler. Das\nWichtigste ist, dass du dich nicht verletzt.\x0E\x04\x00\x00
MID_GR_Fram_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06フラン\nIch wünschte, ich könnte mehr wie Ihr sein,\nLady Lucina. Ihr seid so erwachsen und habt\nimmer alles unter Kontrolle.\x0E\x04\x00\x00
MID_GR_Fram_A_#002	\x0E\x03\x02\x08\x06ルキナ\nNicht wirklich. Ich habe sogar ein paar Mal\nÄrger dafür bekommen, dass ich beim Trai-\nning Sachen kaputt gemacht habe.\x0E\x04\x00\x00
MID_GR_Fram_A_#003	\x0E\x03\x02\x08\x06ルキナ\nAußerdem, Framme, ist dein Enthusiasmus Teil\ndeines Charmes. Ich hoffe, das ändert sich nie.\x0E\x04\x00\x00
MID_GR_Fram_A_#004	\x0E\x03\x02\x08\x06フラン\nEs macht mich froh, das von Euch zu hören,\nLady Lucina. Wenn Euch gefällt, dass ich so\nenergiegeladen bin, dann will ich so bleiben!\x0E\x04\x00\x00
MID_GR_Alfred_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nIhr seid der Prinz von Firene, ja? Im Kampf vor\ntausend Jahren war es mein Ring, der Eurer\nNation anvertraut worden war.\x0E\x04\x00\x00
MID_GR_Alfred_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nWirklich?! Ihr wart damals in Firene? Hm.\nNun, ich bin echt froh, Euch wiederzuhaben.\x0E\x04\x00\x00
MID_GR_Alfred_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn Ihr vor tausend Jahren ein Ring Firenes\nwart, wie kam es dann dazu, dass Ihr in ein\nanderes Land gebracht wurdet?\x0E\x04\x00\x00
MID_GR_Alfred_B_#002	\x0E\x03\x02\x08\x06ルキナ\nLumera hat es so gewollt. Ihre Absichten sind\nmir unbekannt, doch sie muss etwas vorher-\ngesehen haben, das sie dazu veranlasste.\x0E\x04\x00\x00
MID_GR_Alfred_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nIhr habt die Firener Königsfamilie vor tausend\nJahren gekannt. Waren meine Vorfahren...\nstark?\x0E\x04\x00\x00
MID_GR_Alfred_A_#002	\x0E\x03\x02\x08\x06ルキナ\nSie waren in der Tat stark. Doch damals...\nkonnte ihre Stärke sie nicht retten.\x0E\x04\x00\x00
MID_GR_Alfred_A_#003	\x0E\x03\x02\x08\x06ルキナ\nIch werde nicht zulassen, dass es erneut so\nausgeht. Ich werde euch alle beschützen.\x0E\x04\x00\x00
MID_GR_Alfred_A_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch werde Euch so etwas auch nicht noch\neinmal durchmachen lassen. Wir werden bis\nzum bitteren Ende standhaft bleiben!\x0E\x04\x00\x00
MID_GR_Boucheron_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nSag, was muss man eigentlich den ganzen Tag\nlang machen, um so muskulös wie du zu\nwerden?\x0E\x04\x00\x00
MID_GR_Boucheron_C_#002	\x0E\x03\x02\x0C\nブシュロン\nNa ja, was mich betrifft, ich lese und angle. Ist\ndas die Antwort, auf die Ihr gehofft habt?\x0E\x04\x00\x00
MID_GR_Boucheron_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x08\x06ルキナ\nMir ist nie in den Sinn gekommen, dass Lesen\nund Angeln zum perfekten Körperbau führen\nkönnten.\x0E\x04\x00\x00
MID_GR_Boucheron_B_#002	\x0E\x03\x02\x0C\nブシュロン\nDas sind bloß meine Hobbys. Die Muskeln\nkommen für jemanden von meiner Beschaffen-\nheit ganz von allein.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x021\n\x0E\x03\x00\x0C\x06ルキナ\x022\n\x0E\x03\x02\x0C\nブシュロン\nSelbst Embleme trainieren also. Aber müsst Ihr\ndas denn wirklich die ganze Zeit tun?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#002	\x0E\x03\x02\x08\x06ルキナ\nIch muss stets danach streben, besser zu\nwerden. Mein Körper muss perfekt gestählt sein,\nwenn ich die Welt retten will.\x0E\x04\x00\x00
MID_GR_Boucheron_A_#003	\x0E\x03\x02\x0C\nブシュロン\nAber wenn Ihr es übertreibt, werdet Ihr bloß\nmüde statt stärker zu werden. Wie wäre es mit\neiner Pause?\x0E\x04\x00\x00
MID_GR_Boucheron_A_#004	\x0E\x03\x02\x08\x06ルキナ\nWenn es das ist, wozu du mir rätst, dann von\nmir aus. Würdest du mir vielleicht eine deiner\nLieblingsgeschichten vorlesen?\x0E\x04\x00\x00
