MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ルイ\x021\n\x0E\x03\x00\x0C\x06クロエ\x022\n\x0E\x03\x02\x08\x06クロエ\nLouis! Hast du mich schon wieder beobachtet?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ルイ\nIn der Tat, das habe ich. Dich und deine\nweibliche Gefolgschaft.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ルイ\nDer Anblick eures anmutigen Beisammenseins\nwar mir eine wahre Freude.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クロエ\nSo, wie du dich ausdrückst, könnte man meinen,\ndu betrachtest gehobene Kunst in einer Galerie.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x06\x04ルイ\nFür mich gibt es keine größere Kunst.\nVerglichen damit verblassen selbst die besten\nGalerien.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ルイ\nEs gibt dabei so viele Feinheiten und Nuancen\nzu sehen, dass ich es den ganzen Tag tun\nkönnte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クロエ\nDas ist wirklich der einzige Grund für dich?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x06\x04ルイ\nFür mich ist es der Betrachtung einer schönen\nLandschaft nicht unähnlich. Ich sitze ruhig da\nund lasse die Szenerie auf mich einwirken.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x06\x04ルイ\nIch sehe nichts Verwerfliches daran, andere zu\nbetrachten, und ich bin mir sicher, gerade du\nwürdest dem zustimmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クロエ\nJa. Nun, da du es so ausdrückst, tue ich das\nwohl.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ルイ\nMir fiel auf, dass auch du gelegentlich\ninnehältst, wenn du besonders malerische\nSzenen erblickst.\x0E\x04\x00\x00
