MID_FRIENDLIST_Vandre_TextD	Startklasse: Rittmeister\nGeburtstag: 26. November\nBasisinfo: 32. Behüter des\nDrachen. Wacht über\n\x0E\x06\x03\x00, \x0E\x0A\x00\x10\x06der\x06die auf der\nschwebenden Insel namens\nSomniel schläft.
MID_FRIENDLIST_Vandre_TextC	Mag: Stricken, Putzen, Obst,\nruhige Orte, Garnknäuel,\nSchreiben.\n\nMag nicht: Ablenkungen, die\nseine Arbeit stören, starke\nGerüche, Verschlafen,\nPartys, Imbissbudengerichte.
MID_FRIENDLIST_Vandre_TextB	Hobbys: Ruhe genießen.\nTalente: Stricken, Marmelade.\nHintergrund: Vanders Kleri-\nkerfamilie dient \x0E\x0A\x00\x10\x06dem\x06der Wyrm-\n\x0E\x0A\x00\x18\x08gott\x0Cgöttin bereits seit Jahrhun-\nderten im Schloss Lythos.\nVander wurde dank seiner\nTalente der 32. Behüter.
MID_FRIENDLIST_Vandre_TextA	Größe: 190 cm\nRingumfang: 63 mm\nCharakter: Ernst, streng, aber\nherzlich. Stellt seine Behüter-\npflichten über alles. Widmet\nsein Leben \x0E\x0A\x00\x10\x06dem\x06der Wyrm\x0E\x0A\x00\x18\x08gott\x0Cgöttin.\nTrägt Siegelwachs hübscher\nauf als alle anderen.
MID_FRIENDLIST_Vandre_TextS	Das Leben mit Vander:\nVermischt Privates nicht mit\nseiner Arbeit, hat \x0E\x0A\x00\x10\x06dem\x06der Wyrm-\n\x0E\x0A\x00\x18\x08gott\x0Cgöttin gegenüber ein weiches\nHerz. Trägt den Paktring nur\nselten, um ihn zu schonen,\nund putzt ihn jede Nacht\nsehr sorgfältig.
MID_FRIENDLIST_Clan_TextD	Startklasse: Magier\nGeburtstag: 10. März\nBasisinfo: Frammes Zwilling.\n33. Behüter des Drachen.\nNahm sich Vander zum\nVorbild und war anwesend,\nals \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\n\x0E\x06\x03\x00 erwachte.
MID_FRIENDLIST_Clan_TextC	Mag: \x0E\x0A\x008\x18Den Wyrmgott\x1CDie Wyrmgöttin, Putzen,\nLernen, Kochen, Lesen,\nGewürzgurken, Philosophie.\n\nMag nicht: Käfer, Sport,\nSpukgeschichten, Reisen in\nFahrzeugen, sich selbst mit\nschlechter Laune.
MID_FRIENDLIST_Clan_TextB	Hobbys: \x0E\x0A\x008\x18Dem Wyrmgott\x1CDer Wyrmgöttin\nhelfen.\nTalente: Gurken einlegen,\nGedichte auswendig lernen.\nHintergrund: Stammt aus\neiner Familie von Geistlichen.\nVerdiente seine Position durch\nHingabe \x0E\x0A\x008\x18zum Wyrmgott\x1Czur Wyrmgöttin.
MID_FRIENDLIST_Clan_TextA	Größe: 160 cm\nRingumfang: 49 mm\nCharakter: Umsichtig und\nvoller Begeisterung. Kluger\nund eifriger Arbeiter. Gründete\nmit Framme einen Verein für\n\x0E\x0A\x008\x18den Wyrmgott\x1Cdie Wyrmgöttin. Bester Brett-\nspieler der ganzen Armee.
MID_FRIENDLIST_Clan_TextS	Das Leben mit Clanne:\nEr trägt den Paktring, wann\nimmer er allein ist, sieht ihn\nsich an und träumt davon,\neines Tages groß genug zu\nsein, um \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\nauch im Kampf zur Seite\nstehen zu können.
MID_FRIENDLIST_Fram_TextD	Startklasse: Kampfmönch\nGeburtstag: 10. März\nBasisinfo: Clannes Zwilling.\n33. Behüterin des Drachen.\nNahm sich Vander zum\nVorbild und war anwesend,\nals \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin\n\x0E\x06\x03\x00 erwachte.
