MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nOh, zum Kuckuck! Gesteh's dir ein, Jean.\nDu hast dich verlaufen...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ジャン\nDas gibt was, wenn ich nich' bald zurückfind...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x02\x08\x06クラン\nJean? Alles in Ordnung?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nOh... Äh, hallo, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nHast du geweint? Ist irgendetwas vorgefallen?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ジャン\nIch... Ich hab nich' geweint! Mir war nur 'n\nbisschen bange, weil ich mich verlaufen hab,\ndas is' alles.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nIn letzter Zeit gibt's 'ne Menge Verletzte in\nunsren Truppen. Deshalb bin ich los, um\nHeilkräuter zu sammeln.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nAch, wirklich? Das ist ja zuvorkommend von dir!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ジャン\nHab die nötigen Kräuter auch flott gefunden,\naber am Ende war ich so vertieft in die Sache,\nund eh ich mich's versah...\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nDarum hast du dich also verlaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nUnd du, Clanne? Was machst du denn hier?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nIch bin auch auf der Suche nach Kräutern!\nIch brauche welche zur Herstellung von\nGewürzgurken.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nAh. Das heißt... du weißt, wie man von hier aus\nzurückkommt?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06クラン\nKlar! Ich komm oft her zum Kräutersammeln.\nIch kann dich zurückbringen, wenn du willst.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ジャン\nDas wär echt nett von dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06クラン\nWenn man allein in den Wald aufbricht, sollte\nman immer genau auf seine Umgebung achten.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ジャン\nDu hast natürlich recht... Nächstes Mal pass ich\nbesser auf.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06クラン\nMan kann ja von Glück sprechen, dass ich dich\nzufällig getroffen hab, was? Gut, dann gehen\nwir mal zurück.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ジャン\nDanke, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nSag mal, Clanne, weißt du noch, wie du\nmir geholfen hast, als ich mich beim\nKräutersammeln verlaufen hab?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nMhm.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ジャン\nDas hat sich glatt ausgezahlt! Wie's der Zufall\nso wollte, bin ich nach unsrem letzten Kampf\nnämlich auf 'n verletztes Kind gestoßen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nUnd dank der Heilkräuter, die ich dabeihatte,\nkonnt ich sofort was unternehmen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nNa, das sind doch tolle Neuigkeiten!\x0E\x04\x00\x00
