MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\n♪Hmmm-hm-hmmm...♪\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nArgh!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nGute Güte! Seadall, was soll das Geschrei?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セアダス\nDas war nicht Teil der Vereinbarung, Prinzessin\nTimerra! Ihr brecht Euer Versprechen!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nÄh, nein. Ich habe keine Ahnung, wovon Ihr\nsprecht.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08セアダス\nDie Vereinbarung besagte, dass Ihr keine Eurer\ngegrillten Fleischspezialitäten mehr in meiner\nGegenwart grillen würdet.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08セアダス\nDoch seht her! Riecht! Eure Gerichte verströmen\nviel mehr Aroma, als es ein Gericht tun sollte!\nDenkt an Euer Versprechen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nOh. Ja. Jetzt, wo Ihr es erwähnt, erinnere ich\nmich.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nEs ging glaube ich um... starke Aromen, die Euch\nablenken? Ähm, und zwar vornehmlich um die\nmeiner Grillspeisen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08セアダス\nIhr habt geschworen, Eure Gerichte nicht mehr\nin meinem Beisein zu kochen. Und doch seid Ihr\nhier. Ihr und Euer Fleisch!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08セアダス\nAlles, was ich zu mir nehme, tue ich im Einklang\nmit meiner Tanzkunst. Doch was ich jetzt will,\nist, mir das dort in den Mund zu schaufeln.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nOh, sicher! Haut rein.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セアダス\nArgh!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セアダス\nGeist der Karten! Lasse dein göttliches Licht\nleuchten und zeige mir, wie ich der Falle dieses\nDämons entkommen kann!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nDämon? Ich habe versucht, höflich zu sein!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nWenn Euch das so sehr stört, warum geht Ihr\nnicht einfach weg und lasst mich in Ruhe\nessen?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セアダス\nOh, ich werde schon noch gehen. Weit, weit,\nweit weg! Ich werde dieser Prüfung standhalten,\nIhr werdet schon sehen!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セアダス\nMond und Sterne, ich flehe euch an...\nBewahrt mich vor den Verlockungen des\nFleisches!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x01\x0A\x08セアダス\n\x0E\x03\x02\x0C\nミスティラ\nMann. Das war aber ziemlich schräg.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\nHmm-hm-hmmm! ♪Leeeckeres Fleisch,\nsaaaftiges Fleisch...♪\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nArgh!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nミスティラ\nOh nein. Jetzt geht DAS wieder los.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08セアダス\nSchon wieder? Ihr brecht Euer Versprechen\nschon wieder?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08セアダス\nIch kann es riechen. Ihr habt wieder eine Eurer\nviel zu köstlichen Gerichte auf dem Grill. Oh,\ndiese brutzelnden Geräusche!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nEntspannt Euch, ja? Ihr seid schon wieder so\nkomisch drauf.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nミスティラ\nIch meine, Ihr seid ein weltbekannter Tänzer.\nUnd nicht zu vergessen ein berühmter\nWahrsager!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nミスティラ\nMan sagt von Euch, Ihr seiet so distinguiert, so\nbeherrscht. Was hatte ich mir gewünscht, ein\nMal den großen Seadall zu treffen.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08セアダス\nSeid Ihr enttäuscht?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nNein. Zu 90 Prozent werdet Ihr Eurem Ruf ja\nauch gerecht. Nur, wenn es um, äh, Aromen\ngeht, verhaltet Ihr Euch anders.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08セアダス\nIch bitte um Vergebung, Prinzessin Timerra.\nDas liegt am Fleisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08セアダス\nDie Art, wie Ihr es zubereitet, diese kräftigen\nAromen sind mehr als köstlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nDas ist ja mal ganz was Neues.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08セアダス\nPrinzessin Timerra...\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08セアダス\nWarum grillt Ihr Euer Fleisch immer genau dann,\nwenn ich in der Nähe bin?\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nDas entspricht jetzt nicht ganz den Tatsachen,\nkann das sein? Kommt schon. Denkt mal\ngaaanz scharf nach.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nミスティラ\nIn Wirklichkeit ist es doch so: Wann immer ich\ngerade gepflegt grille, findet Ihr mich und\nstürmt herein.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0A\x08セアダス\nIhr sagt also... ich selbst sei dafür\nverantwortlich?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nミスティラ\nGenau!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0A\x08セアダス\nAh...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0A\x08セアダス\nBitte nehmt meine Entschuldigung an,\nPrinzessin Timerra. Ihr habt Euer Versprechen\nnicht gebrochen.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0A\x08セアダス\nEs fehlt mir schlicht an Willenskraft. Die Schuld\nliegt bei mir, nicht bei Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0A\x08セアダス\nIch werde niemals wieder nach Euch suchen,\nwenn Ihr beim Kochen so viel Elan und Aromen\nversprüht.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0A\x08セアダス\nWenn Ihr mich dann bitte entschuldigt.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x01\x0A\x08セアダス\n\x0E\x03\x02\x0C\nミスティラ\nSeadall, wartet!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nミスティラ\x021\n\x0E\x03\x02\x0C\nミスティラ\n♪Du bist knuuusprig. Ich will dich so richtig\nschön bruuutzeln... Brutzeln, brutzeln, brutzeln,\nbrutzeln!♪\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x00\x0E\x08セアダス\x022\n\x0E\x03\x02\x0A\x08セアダス\nOh... oh nein.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0A\x08セアダス\nDie Düfte fanden mich und zogen mich\nabermals hierher.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0A\x08セアダス\nIch konnte einfach nicht widerstehen.\nVerzeiht, Prinzessin Timerra!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nミスティラ\nNur die Ruhe, Seadall.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x0C\nミスティラ\nIch habe Euch absichtlich hierhergelockt.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08セアダス\nIhr habt mich... gelockt?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0C\nミスティラ\nJa. Ich habe recherchiert und dabei\nherausgefunden, dass Ihr Euer Fleisch lieber\nscharf angebraten mögt.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0A\x08セアダス\nWarum tut Ihr mir das an?\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nミスティラ\nOh oh! Vorsicht, Seadall! Das ist Brot mit scharf\nangebratenem Fleisch!\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0A\x08セアダス\nNein! Meine Leibspeise!\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nIch weiß!\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0C\nミスティラ\nOh, und hier ist noch eins. Mit Honigglasur und\nwürziger Käsesoße.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0A\x08セアダス\nAaah! Meine zweite Leibspeise!\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08セアダス\nPrinzessin Timerra, warum?\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0A\x08セアダス\nWarum bereitet Ihr genau jene Speisen zu,\ndenen ich besonders schlecht widerstehen\nkann? Was denkt Ihr Euch denn dabei?\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nミスティラ\nIch denke, Ihr solltet Euch etwas mehr als ständig\nnur fades Essen gönnen!\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08セアダス\nWas?\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x0A\x08セアダス\nBegreift Ihr denn nicht? Mein ganzes Leben ist\ngeprägt von Disziplin. Meine Tanzkünste im und\naußerhalb des Kampfes fußen darauf!\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nミスティラ\nSchaut mal. Als künftige Königin vom Solm\nwünsche ich vor allem, dass mein Volk glücklich\nist.\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x0C\nミスティラ\nAlso lasst mich Euch fragen... Was würde Euch\nglücklich machen?\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0A\x08セアダス\nWas mich jetzt gerade glücklich machen würde,\nwäre... die Speisen vor mir zu essen. Alle auf\neinmal!\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nミスティラ\nWarum dann zögern? Tut, was Euch glücklich\nmacht!\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nミスティラ\nGenießt einfach diese leckere Mahlzeit mit mir,\nund danach...\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x0C\nミスティラ\nGönne ich mir ein entzückendes Tänzchen mit\nEuch. Klingt das nach einem Kompromiss?\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x0A\x08セアダス\nAber Prinzessin Timerra...\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nミスティラ\nIch verspreche Euch, ein wenig Genuss hat noch\nniemandem geschadet. Habe ich recht oder\nhabe ich recht?\x0E\x04\x00\x00
MID_RELIANCE_A_#028	\x0E\x03\x02\x0A\x08セアダス\nJa, Ihr habt recht.\x0E\x04\x00\x00
MID_RELIANCE_A_#029	\x0E\x03\x02\x0A\x08セアダス\nDanke. Mmmm... Schau sich einer nur dieses\nunglaubliche Essen an, das Ihr für mich\nzubereitet habt...\x0E\x04\x00\x00
MID_RELIANCE_A_#030	\x0E\x03\x02\x0A\x08セアダス\nDann mal guten Appetit! Es ist höchste Zeit,\ndass ich mir auch mal etwas gönne!\x0E\x04\x00\x00
MID_RELIANCE_A_#031	\x0E\x03\x02\x0C\nミスティラ\nGenau so! Haut rein, bevor es kalt wird!\x0E\x04\x00\x00
MID_RELIANCE_A_#032	\x0E\x03\x02\x0A\x08セアダス\nLasst den Festschmaus der Aromen beginnen!\x0E\x04\x00\x00
