MSID_Hp_5	KP +5
MSID_H_Hp_5	Verleiht max. KP +5.
MSID_Hp_7	KP +7
MSID_H_Hp_7	Verleiht max. KP +7.
MSID_Hp_10	KP +10
MSID_H_Hp_10	Verleiht max. KP +10.
MSID_Hp_12	KP +12
MSID_H_Hp_12	Verleiht max. KP +12.
MSID_Hp_15	KP +15
MSID_H_Hp_15	Verleiht max. KP +15.
MSID_Str_1	Stärke +1
MSID_H_Str_1	Verleiht Stä. +1.
MSID_Str_2	Stärke +2
MSID_H_Str_2	Verleiht Stä. +2.
MSID_Str_3	Stärke +3
MSID_H_Str_3	Verleiht Stä. +3.
MSID_Str_4	Stärke +4
MSID_H_Str_4	Verleiht Stä. +4.
MSID_Str_5	Stärke +5
MSID_H_Str_5	Verleiht Stä. +5.
MSID_Str_6	Stärke +6
MSID_H_Str_6	Verleiht Stä. +6.
MSID_Tec_1	Behändigkeit +1
MSID_H_Tec_1	Verleiht Beh. +1.
MSID_Tec_2	Behändigkeit +2
MSID_H_Tec_2	Verleiht Beh. +2.
MSID_Tec_3	Behändigkeit +3
MSID_H_Tec_3	Verleiht Beh. +3.
MSID_Tec_4	Behändigkeit +4
MSID_H_Tec_4	Verleiht Beh. +4.
MSID_Tec_5	Behändigkeit +5
MSID_H_Tec_5	Verleiht Beh. +5.
MSID_Spd_1	Ges. +1
MSID_H_Spd_1	Verleiht Geschwindigkeit +1.
MSID_Spd_2	Ges. +2
MSID_H_Spd_2	Verleiht Geschwindigkeit +2.
MSID_Spd_3	Ges. +3
MSID_H_Spd_3	Verleiht Geschwindigkeit +3.
MSID_Spd_4	Ges. +4
MSID_H_Spd_4	Verleiht Geschwindigkeit +4.
MSID_Spd_5	Ges. +5
MSID_H_Spd_5	Verleiht Geschwindigkeit +5.
MSID_Lck_2	Glück +2
MSID_H_Lck_2	Verleiht Glk. +2.
MSID_Lck_4	Glück +4
MSID_H_Lck_4	Verleiht Glk. +4.
MSID_Lck_6	Glück +6
MSID_H_Lck_6	Verleiht Glk. +6.
MSID_Lck_8	Glück +8
MSID_H_Lck_8	Verleiht Glk. +8.
MSID_Lck_10	Glück +10
MSID_H_Lck_10	Verleiht Glk. +10.
MSID_Lck_12	Glück +12
MSID_H_Lck_12	Verleiht Glk. +12.
MSID_Def_1	Verteidigung +1
MSID_H_Def_1	Verleiht Ver. +1.
MSID_Def_2	Verteidigung +2
MSID_H_Def_2	Verleiht Ver. +2.
MSID_Def_3	Verteidigung +3
MSID_H_Def_3	Verleiht Ver. +3.
MSID_Def_4	Verteidigung +4
