MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nGegrillt und essbereit. Dieses Fleisch ist so\nlecker, da feiern die Geschmacksknospen eine\nZungenparty.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nUff. Das sieht nach einer Menge Fleisch für uns\nbeide aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nOh, keineswegs. Das ist meine Portion. Um Eure\nwollte ich mich als Nächstes kümmern.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08リュール\nWas? Wie könnt Ihr denn so viel essen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nAch, Ihr wisst schon. Mund öffnen, abbeißen,\nkauen... Ich erspare Euch die weiteren Details.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nIhr seid wirklich etwas Besonderes, Timerra.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nJAAA! ICH BIN WIRKLICH ETWAS\nBESONDERES!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nミスティラ\nICH BIN DIE KRONPRINZESSIN VON SOLM!\nUND ICH TRAGE VIELE! UNBEZAHLBARE!\nJUWELEN!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08リュール\nBitte, seid doch leiser!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08リュール\nIch habe gehört, dass diese Gegend hier nicht\nsehr sicher sein soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nDas könnt Ihr laut sagen. Es wimmelt hier nur\nso von Banditen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nGenau deswegen bin ich ja hier draußen, wie\nein verlockendes, gebratenes Lamm am Spieß.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08リュール\nAugenblick mal... Das war Euer Plan? Ihr wolltet\nhier den Köder spielen?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nミスティラ\nHat funktioniert, oder? Schaut. Diese Schurken\nbeobachten uns schon, seit wir eingetroffen\nsind.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0A\x08リュール\nEs sieht aus, als würden sie... Als würden sie\nuns gleich angreifen!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nミスティラ\nNicht, wenn wir ihnen zuvorkommen. Los jetzt.\nFür Euch und mich zusammen ist das doch\nein Zuckerschlecken!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08リュール\nHrm! Na gut. Aber ein kleiner Hinweis vorher\nwäre sehr willkommen gewesen, wisst Ihr?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nDanke, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Ihr habt mir den Hals\ngerettet.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08リュール\nIch helfe gern.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nWobei ich nicht damit gerechnet hatte, dass\nunser Picknick sich zu einem Zwei-Personen-\nAnsturm auf ein Diebesnest entwickeln würde.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nミスティラ\nEcht nicht? So enden ehrlich gesagt die meisten\nmeiner Picknicke.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nAls Ihr mich eingeladen hattet, sagtet Ihr, wir\nwürden gemeinsam Fleisch essen.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nミスティラ\nWar doch auch so. Ihr habt eine ordentliche\nPortion bekommen, oder etwa nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nJa, satt bin ich geworden. Aber warum habt Ihr\nnicht einfach gleich so was gesagt wie...\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08リュール\n„Ich habe das Banditennest gefunden. Stürmen\nwir rein, räuchern es aus und feiern den Sieg\ndann mit leckerem Fleisch!“\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08リュール\nDas wäre einfach, Ihr wisst schon... akkurater\ngewesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nミスティラ\nHahaha, aber viel zu schwatzhaft. Meine Version\nwar konziser.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08リュール\nSo kann man es auch sagen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08リュール\nIhr verblüfft mich stets aufs Neue. Ihr zieht\npersönlich los, um dabei zu helfen,\nBanditennester auszumerzen...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nミスティラ\nWas? Ist das nicht normal?\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nミスティラ\nIch schütze nur mein Volk. Das ist doch die\nAufgabe der Königsfamilie.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08リュール\nIhr sprecht solch radikale Thesen aus, als wären\nsie die natürlichste Sache der Welt.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nミスティラ\nHahaha, das macht mich so sympathisch!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nHey, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche, es ist Fleisch Uhr.\nSeid Ihr dabei?\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0A\x08リュール\nKommt darauf an. Gibt es diesmal wieder eine\nüberraschende Banditenjagd als Beilage?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nミスティラ\nHahaha, nein. Ich verspreche Euch, es gibt nur\nEuch, mich, und frisch gegrilltes Fleisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nミスティラ\nBei der letzten Jagd habe ich einen ordentlichen\nTreffer erzielt, und ich will die Beute teilen!\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0A\x08リュール\nAlso gut. In diesem Fall bin ich gerne dabei.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x04\x03\x04
MID_RELIANCE_A_#007	\x0E\x03\x02\x0A\x08リュール\nUff... Ich bin so satt. Ich kann mich kaum\nrühren...\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x0A\x08リュール\nIch muss sagen, das war absolut lecker.\nHervorragende Arbeit am Grill.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nミスティラ\nOh-oh.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0A\x08リュール\nWas ist?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nミスティラ\nBevor Ihr wütend werdet... Ich hatte wirklich\ngeplant, dass dieses Picknick ganz friedlich\nbleibt.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nミスティラ\nAber die Schurken, die unser Lager umzingelt\nhaben, hegen vermutlich andere Pläne.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x0A\x08リュール\nWas? Ich dachte, wir hätten sie vertrieben!\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nミスティラ\nDachte ich auch. Offenbar habe ich auf meinen\nErkundungen ein Diebesnest noch übersehen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0A\x08リュール\nAh... Es sind viele...\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nミスティラ\nIch schlage uns eine Öffnung. Ihr rennt hindurch\nund bringt Euch in Sicherheit.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0A\x08リュール\nHm, guter Plan. Aber ich habe einen anderen.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0A\x08リュール\nWir besiegen sie alle auf einmal und beseitigen\ndamit die Banditenbedrohung ein für alle Mal.\x0E\x04\x00\x00
