MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08ゼルコバ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nAh. Habe ich dich endlich... gefunden... Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nWaaah!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06クラン\nH-h-habt IHR mich erschrocken! ...Ähm, Ihr seid\nZelkov, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDas ist richtig. ...Hm, interessant. Wovor hast du\ndich denn so genau... erschrocken?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06クラン\nÄh, hauptsächlich vor Eurem Gesicht,\nschätze ich...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nSoll das etwa heißen, du findest mein...\nGesicht... verstörend?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nOh, ähm, also... Wolltet Ihr etwas Bestimmtes\nvon mir?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nJa. Ich werde dich etwas fragen. Und du wirst\nmir... sofort... antworten.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06クラン\nWah!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nHab... hab ich irgendwas angestellt?!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nNoch nicht. Aber das wird sich bald... ändern.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06クラン\nW-was soll das denn heißen?\x0E\x04\x00\x00
