MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x023\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDa ist das Schloss!\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08セリーヌ\nEs ist so still... Wo sind unsere Ritter? Oder\ndie elusianischen Soldaten?\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu sagtest, sie seien Richtung Schloss\nmarschiert, als du gegangen bist.\x0E\x04\x02\x00
MID_OP1_#004	Womöglich sind sie bereits ins Schloss\nvorgedrungen.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08セリーヌ\nAber... was ist dann mit den Anwohnern?\nWas ist mit Mutter?!\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nBeeilen wir uns.\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x00\x06\x04PP\n\x0E\x03\x00\x1C\x16M005_Irc_ボス\x021\n\x0E\x03\x00\x0A\x04イヴ\x022\n\x0E\x03\x02\x06\x04イヴ\n...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x02\x18\x16M005_Irc_ボス\nTut mir leid, dass zu sagen, Schnuckelchen. Wir haben\ndas Schloss eingenommen. Wo hast du den Ring versteckt?\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x02\x06\x04イヴ\nWer weiß?\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x02\x18\x16M005_Irc_ボス\nIst er im Schloss? Auf dem Schlossgelände etwa?\nKommt schon, noch frag ich ganz lieb.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x02\x06\x04イヴ\nIch rede nicht mit niederem Ungeziefer.\nDas ist es nämlich, was ihr seid. Ihr alle.\x0E\x04\x00\x00
MID_OP2_#006	\x0E\x03\x02\x18\x16M005_Irc_ボス\nDie hat vielleicht ein Mundwerk. Denkt Ihr,\nich wär nicht bereit, Euch auf der Stelle zu töten?!\x0E\x04\x00\x00
