MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0C\nミスティラ\nPrinz Alfred, wartet!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHallo, Prinzessin Timerra. Braucht Ihr etwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nミスティラ\nHahaha! Brauchen wäre zu viel gesagt. Ich\ndachte nur, dass Ihr Euch einen Imbiss\ngenehmigen wolltet.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh nein. Ich wollte mein Training beginnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nミスティラ\nWas? Und warum habt Ihr dann so ein breites\nGrinsen auf Eurem Gesicht?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nWeil das Training für mich der schönste Teil\ndes Tages ist!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nミスティラ\nHm. Ja, das passt. Dann hatte ich das falsch\nverstanden.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nミスティラ\nZu schade. Ich wollte nämlich fragen, ob ich\nmit Euch zusammen essen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, tut mir leid, Euch zu enttäuschen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nミスティラ\nAndererseits klingt auch ein Training mit Euch\ngut. Vielleicht komme ich doch mit!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, Ihr wollt mit mir zusammen trainieren?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nミスティラ\nJa, sicher, warum nicht? Wenn Ihr darauf\nbesteht!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nミスティラ\nUnd danach nehmen wir ein ordentliches,\nleckeres Mahl zu uns. Ihr zahlt!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nAaah, jetzt verstehe ich, wo das hinführen soll.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nMeinetwegen gerne. Ich werde nicht die Chance\nverpassen, die künftige Königin von Solm besser\nkennenzulernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nミスティラ\nAber nichts Schweres besprechen, ja? Ich will\nmir mein Essen nicht durch geschäftliche\nKonversation ruinieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nKeine Sorge, Prinzessin Timerra. Das Einzige,\ndas für Gewicht sorgen wird, ist die\nSchlagsahne!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nミスティラ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHe, Prinzessin Timerra. Ich habe gehört, Ihr\nreitet auf Wölfen. Ist das wirklich wahr?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nミスティラ\nJa!\x0E\x04\x00\x00
