MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08リュール\nIrgendetwas fühlt sich an diesem Ort...\nunnatürlich an.\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x0A\x08シグルド\nIhr spürt es ebenfalls? Ich habe keine Erklärung\ndafür, doch dieser Ort besitzt große Ähnlichkeit\nmit Chalphy.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x0A\x08リュール\nChalphy? Davon habe ich noch nie gehört.\nIst das ein Ort in Eurer Welt?\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x0A\x08シグルド\nJa, genau. Das ist mein Heimatland.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x0A\x08シグルド\nIch hatte einst gedacht, ich würde dort in\nChalphy ein ruhiges Leben führen, zusammen\nmit meiner Frau, Deirdre.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x0A\x08リュール\nWas ist passiert?\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x0A\x08シグルド\nDeirdre wurde von den Anhängern eines\ndunklen Glaubens entführt. Ihr Leben wurde\nnach den Begierden ihrer Entführer verzerrt.\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x02\x0A\x08シグルド\nSie sollte bei der Wiedererweckung eines dunk-\nlen Gottes helfen, welche ein neues Zeitalter\nvon Schrecken und Zerstörung verkündete.\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x02\x0A\x08リュール\nW-wie? Was? Das ist furchtbar!\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x0A\x08シグルド\nAh, doch es gab ein Licht... Eine Hoffnung\nfür unsere Zukunft.\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x0A\x08リュール\nWie das?\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x0A\x08シグルド\nIch glaube, ich werde diesen Teil der Geschichte\nnach der Prüfung mit Euch teilen.\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x0A\x08シグルド\nNehmt Eure Waffe. Denn ich bin die Prüfung,\nder Ihr Euch stellen müsst, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_OP1_#014	\x0E\x03\x02\x0A\x08シグルド\nBesteht diese Prüfung, und unser Band wird\nstärker werden. Meine Macht wird die Eure\nwerden.\x0E\x04\x00\x00
MID_OP1_#015	\x0E\x03\x02\x0A\x08リュール\nUnd wir müssen an diesem Ort kämpfen, der\naussieht wie Eure Heimat... Das muss von\nBedeutung sein.\x0E\x04\x00\x00
MID_OP1_#016	\x0E\x03\x02\x0A\x08シグルド\nGanz genau. Nun, verdient Euch den Sieg. Zeigt\nmir, dass Eure Fähigkeiten ausreichen, um die\nmeinen zu übertreffen!\x0E\x04\x00\x00
MID_OP1_#017	\x0E\x03\x02\x0A\x08リュール\nIch werde Euch besiegen, Sigurd. Ich werde\nalles geben, was ich habe!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02b\n\x0E\x05\x01\x16\x08シグルド\nAngry\n\x0E\x03\x02\x0A\x08シグルド\nDie Prüfung verlangt Folgendes von Euch:\nBahnt Euch einen Weg zu mir und beansprucht\nden Sieg für Euch!\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nUm Sigurd zu erreichen, müssen wir die Brücke\ndort überqueren.\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x03\x02\x0A\x08リュール\nUnd wenn wir die Festung dort einnehmen\nkönnen, wären wir in der Lage, sie zu nutzen.\x0E\x04\x00\x00
MID_EV3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x02t\n\x0E\x03\x02\x0E\x0Cアルフレッド\nDer Kommandant der Festung ist gefallen! Die\nBrücke gehört uns! Lasst uns hier etwas rasten,\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin.\x0E\x04\x00\x00
MID_BT1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08シグルド\x02b\n\x0E\x05\x01\x16\x08シグルド\nRelax\n\x0E\x03\x02\x0A\x08シグルド\nWoran setzt Ihr Euer Leben? Sagt mir, wie\nIhr Euch die Welt vorstellt, nachdem Euer Krieg\nvorüber sein wird.\x0E\x04\x00\x00
