MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nHey, Yunaka. Kannst du mir einen Gefallen tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nWas brauchst du denn, Schnuckelchen?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nHalt still. Ich muss dich absuchen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nWarte mal... was? Warum? Wonach suchst du?\nUnd was wirst du tun, wenn du es gefunden\nhast?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nSo viele Fragen. Schau her, es dauert nur eine\nSekunde.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ユナカ\nHey, von einer Leibesvisitation war keine Rede.\nDu durchsuchst mich ja, als hätte ich was\ngestohlen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nTreffer. Woher wusstest du das?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\nErnsthaft? Das war nur ein Witz. Ich habe nichts\ngestohlen. Gar nichts!\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nエーティエ\nIch weiß aber ganz genau, dass du es doch\ngetan hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nAch? Und du meinst, deine Grabschehändchen\nwären Beweis genug dafür? Verschwinde!\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nBeruhige dich. Niemand steckt hier in\nSchwierigkeiten.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nOh, niemand steckt in Schwierigkeiten?\nHeißt das, ich kann als freie Frau gehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nGut. Dann bin ich raus!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x01\x08\x06ユナカ\n\x0E\x03\x02\x0C\nエーティエ\nHey, warte! Yunaka!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nエーティエ\nTut mir leid wegen neulich, Yunaka. Ich glaube,\ndu hast mich missverstanden.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nIch soll dich missverstanden haben?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nIch meine, du hast schon was gestohlen. Dieser\nTeil ist wahr.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nエーティエ\nAber was genau du gestohlen hast, nun...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nWas habe ich denn gestohlen?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nDu hast mein Interesse gestohlen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nWas?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nエーティエ\nDu hast meine Traumfigur. Ich konnte nicht\nwegschauen, weil du so perfekt aussiehst.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nエーティエ\nDeswegen wollte ich dich genauer untersuchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nWas für ein vermeidbares Missverständnis.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nエーティエ\nDu hast recht. Es war unhöflich von mir. Es tut\nmir wirklich leid.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nSehen wir mal kurz darüber hinweg, wie\nverrückt das Ganze ist: Wie kommst du denn\ndarauf, dass ich eine Traumfigur hätte?\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ユナカ\nDeine Statur ist doch weitaus beeindruckender\nals meine.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nエーティエ\nDas ist nett, dass du das sagst, aber ganz unter\nuns: Ich denke, du bist die Stärkere von uns\nbeiden.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0C\nエーティエ\nKlar, ich habe definierte Bauchmuskeln, aber\ndas kommt nur, weil ich nie mit dem Training\naufhöre.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nエーティエ\nDu dagegen hast die Art von Muskeln, die sich\nnur auf natürlichem Weg entwickeln.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x0C\nエーティエ\nDein Metabolismus muss sich bereits früh\ndarauf eingestellt haben. Wahrscheinlich schon,\nals du noch klein warst.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nエーティエ\nSolche Muskeln bekommt man nur, wenn man\nkonstant schweren Widrigkeiten ausgesetzt ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nエーティエ\nDas kann ich natürlich nicht beweisen, aber\nmein Bauchgefühl sagt mir, dass ich da\nrichtigliege.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x08\x06ユナカ\nÄhm...\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x0C\nエーティエ\nWas genau hast du durchgemacht?\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x08\x06ユナカ\nOh Mann...\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nエーティエ\nSiehst du, das ist genau die Art von\nUnhöflichkeit, die ich in Zukunft vermeiden\nmöchte.\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x08\x06ユナカ\nOh! Bist du... sicher?\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0C\nエーティエ\nKlar. Mach dir keine Sorgen.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x0C\nエーティエ\nIch bewundere dich, das ist alles. Ich wollte nur,\ndass du das weißt.\x0E\x04\x00\x00
MID_RELIANCE_B_#027	\x0E\x03\x02\x0C\nエーティエ\nUnd wenn du einverstanden bist, wäre ich gerne\nmit dir befreundet.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x08\x06ユナカ\nWeißt du, das ist sogar supersüß von dir.\nWarum nicht? Ab heute sind wir Kumpelinen,\nKumpeline!\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nエーティエ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nOooh, ist dieser Ort friedlich. Hier könnte\nich umfallen und tausend Jahre lang\nschnarchen.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x0C\nエーティエ\nDas ist mein Geheimplatz. Manchmal komme ich\nallein hierher, um ein bisschen einzunicken.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x08\x06ユナカ\nIch hatte dich eigentlich nicht für eine große\nBlumenliebhaberin gehalten.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x0C\nエーティエ\nIch bin in einem Dorf voller Blumen\naufgewachsen. Wenn ich welche um mich habe,\nheitert mich das also auf.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ユナカ\nDas ist wirklich wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x0C\nエーティエ\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06ユナカ\nVon Blumen umgeben aufzuwachsen.\nErinnerungen, die dich aufheitern. Ehrlich\ngesagt bin ich gerade etwas neidisch.\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x08\x06ユナカ\nMein Leben als Kind war überhaupt nicht damit\nvergleichbar.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x0C\nエーティエ\nNicht?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x08\x06ユナカ\nNein. Aber ich wünschte, es wäre so. Ein Leben\nwie deines... Das wäre mein Traum gewesen.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nエーティエ\nArme Yunaka...\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06ユナカ\nNur ein Scherz! Du hättest dein Gesicht sehen\nsollen.\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nエーティエ\nIch kann mir die Art Leben, die du geführt\nhaben musst, nicht mal annähernd vorstellen.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x0C\nエーティエ\nDeine Muskeln erzählen eine sehr aufwühlende\nGeschichte.\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nエーティエ\nDaher habe ich großen Respekt davor, wie du\ndich letztlich entwickelt hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x08\x06ユナカ\nAch Mann...\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x0C\nエーティエ\nSiehst du diese Blumen? Sie stammen aus\nmeinem Heimatdorf.\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06ユナカ\nSie sind wunderschön.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nエーティエ\nDiese hier steht für Bewunderung. Klingt\nperfekt für uns, hm?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06ユナカ\nHahaha, in der Tat, ja!\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nエーティエ\nWarum flechten wir nicht gemeinsam\nBlütenkronen für uns, als gegenseitiges\nGeschenk?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x0C\nエーティエ\nWo ich herkomme, machen echte Freundinnen\ndas so.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nエーティエ\nSie flechten Blütenkronen und beten für ein\nlanges und fröhliches Leben zusammen.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06ユナカ\nDas klingt zauberhaft! Lass uns unsere Kronen\nso groß flechten, dass man uns für die\nKöniginnen der Welt hält!\x0E\x04\x00\x00
