MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x12\x0Cセレスティア\x022\n\x0E\x03\x02\x0E\x0Cセレスティア\nKann ich kurz mit dir sprechen?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06モーヴ\nWas gibt es denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cセレスティア\nNichts Bestimmtes. Ich dachte nur, dass ein\nkleines Pläuschchen recht nett wäre.\x0E\x04\x02\x00
MID_RELIANCE_C_#004	Deine Stimme und deine Art... Beides erinnert\nmich so sehr an den Mauvier, den ich kannte.\x0E\x04\x02\x00
MID_RELIANCE_C_#005	Schluchz...\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06モーヴ\nWeshalb weinst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cセレスティア\nEs tut mir leid. Ich... Ich wollte mich bloß\nentschuldigen...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06モーヴ\nWofür denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cセレスティア\nDafür, dass ich dich habe sterben lassen!\nDu warst für mich wie Familie!\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Hätte ich damals doch nur etwas mehr getan.\nIch hätte dich nicht allein lassen sollen!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06モーヴ\nSeufz...\x0E\x04\x02\x00
MID_RELIANCE_C_#012	Sieh mich an.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cセレスティア\nJa...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06モーヴ\nIch kann deine Entschuldigung nicht annehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cセレスティア\nOh...\x0E\x04\x00\x00
