MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08アンバー\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHast du eine Sekunde Zeit, Amber?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08アンバー\nSicher doch, Prinz Alfred. Was gibt's?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nDie Leute sagen mir, du wüsstest über so\neiniges Bescheid.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nInsbesondere, wenn es sich um Gerüchte\nund Mythen dreht.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08アンバー\nOh, absolut! Jede Legende ist wahr, wenn\nman nur an sie glaubt... und ich glaube eine\nganze MENGE davon.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun, es gibt da etwas, das ich mich schon\nimmer gefragt habe... Womöglich kannst du\nmir ja dabei helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHast du schon mal von einer Legende über eine\nArt von Medizin gehört, die einen ultramuskulös\nmachen kann?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08アンバー\nMuskulös?\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein, ULTRAmuskulös.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08アンバー\nHm. Nnnein, ich glaube nicht, dass ich von\ndieser Legende schon mal gehört habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nVerdammt. Ich dachte mir, wenn einer mehr\ndarüber wissen könnte, dann du.\x0E\x04\x00\x00
