MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh nein... Was soll ich nur tun?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nWas ist denn?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNun... Meine Eltern leiten einen Gasthof neben\neiner der besten heißen Quellen in Elusia.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEs tut mir leid, wenn du deswegen neidisch bist.\nIch kann nichts dafür, dass ich als Einzelkind im\nÜberfluss aufgewachsen bin.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ラピス\nÄh, hui! Klingt herrlich!\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nJa, aber meine Eltern haben mich gerade\ninformiert, dass sie Probleme mit Bären am\nGasthof haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nBären, hm? Uff, der Umgang mit ihnen kann\nschwierig sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nEs ist keine Zeit zu verlieren. Wir schreiben\ndeinen Eltern besser sofort einen Brief und\nerklären ihnen, was zu tun ist.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cゴルドマリー\nAber ich weiß doch gar nichts über Bären.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch habe viele Talente, aber der Umgang mit\nfürchterlichen Raubtieren gehört nicht dazu.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nÜberlass das mir. Ich komme aus einem Dorf,\nin dem wir immer mit ihnen zu tun hatten, daher\nkenne ich mich damit aus.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEhrlich?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ラピス\nNehmen wir einmal dieses Beispiel: Sagen wir,\ndu entdeckst einen Bären, der dein Getreide\nfrisst.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nDu sagst dann: „HEY! Hau ab, Fellgesicht, oder\nes wird dir noch sehr leidtun.“\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nUnd der Bär dann so: „Oh, ja, klar“, und holt\nsich dann woanders sein Mittagessen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOooh...\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ラピス\nErnsthaft! Ich spreche hier aus Erfahrung. Ich\nhabe das schon dutzende Male gemacht.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNun, du bist die Expertin, ich vertraue dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nIch kenne viele Techniken, mit einem Bären\numzugehen. Von Einschüchterung bis hin zum\nguten alten Kampf.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cゴルドマリー\nBitte bring mir alles bei, was du weißt.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x12\x0Cゴルドマリー\x022\n\x0E\x03\x02\x0E\x0Cゴルドマリー\nVielen Dank für all deine Hilfe, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cゴルドマリー\nMeine Eltern haben mir geschrieben, dass die\nBären nun keine Probleme mehr machen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nDas ist großartig, da bin ich erleichtert.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cゴルドマリー\nSie haben ein Dankeschön für dich dazugelegt.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nHm? Moment. Ist das...?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cゴルドマリー\nEine Einladung, in unserem Gasthof eine Weile\nzu entspannen – sobald der Krieg vorüber ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch mag voreingenommen sein, aber ich denke\nwirklich, dass du schnell feststellen wirst, dass\nunsere heiße Quelle die beste der Welt ist.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nOh, das klingt wirklich herrlich! Danke!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nIch muss zugeben, Goldmary, dass ich über-\nrascht war, zu hören, dass du aus einem kleinen\nDorf kommst. Du bist so weltgewandt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cゴルドマリー\nOh, sei nicht albern. Aber du hast ja recht.\nFahr fort.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nLass mich raten. Du wurdest auf dem Lande\ngeboren und bist in einer großen Stadt aufge-\nwachsen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cゴルドマリー\nNein, bis vor ein paar Jahren lebte ich noch\nin meinem Heimatdorf.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch verließ den Ort erst, um die Akademie zu\nbesuchen.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x08\x06ラピス\nHm. Dein Dorf muss wirklich sehr verschieden\nvon meinem sein.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cゴルドマリー\nIch bin gespannt, die Unterschiede zu hören.\x0E\x04\x00\x00
