MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nHui, sieht ganz schön geschwollen aus.\nIs' bestimmt so 'ne Art Insektenstich.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x06\x04ボネ\nNun, in meiner Freizeit fröne ich der\nGärtnerei. Womöglich hat mich etwas\ngestochen, als ich im Garten war.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ジャン\nIch kann dir 'n paar Kräuter gegen die\nSchwellung geben. Pass aber auf, dass\ndu die Wunde nich' berührst.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nDies wird sicher nicht nötig sein. Bewahre\ndeine Kräuter lieber für jemanden auf, der\nihrer dringender bedarf.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06ジャン\nNix da.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ジャン\nKeine Ahnung, was für 'n Insekt dich da\ngestochen hat. Unbehandelt kann so was\nschnell hässlich werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x06\x04ボネ\nIch verstehe... Vergib mir. Ich schätze, du bist\nin dieser Hinsicht bewanderter als ich.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ジャン\nKein Ding, jetzt weißt du ja Bescheid. Lass mich\nnur eben kurz den Verband anlegen, und...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ジャン\nFertig. Eine Sorge weniger. Und Finger weg,\nauch wenn's juckt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nSehr wohl. Ich werde versuchen, nicht daran\nherumzunesteln.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x06\x04ボネ\nBitte, nimm dies als kleines Zeichen meiner\nDankbarkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ジャン\nBoah... Was is' denn das für 'ne\nhübsche Blume?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x06\x04ボネ\nEtwas Kamille aus meinem Garten.\nEin angenehm wohltuendes Aroma,\nnicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ジャン\nDanke schön. Echt lieb von dir.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nDu solltest meinem Garten bei Gelegenheit\neinen Besuch abstatten. Er wird dir sicher\ngefallen.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nWas macht der Insektenstich, Bunet?\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x06\x04ボネ\nDie Schwellung ist abgeklungen. Zweifelsohne\nein Effekt deiner Kräuter.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nEs fiel mir jedoch äußerst schwer, nicht von\nihnen zu kosten.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ジャン\nHahaha! Ein geduldiger Patient ist 'n\nguter Patient.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ジャン\nDer Stich sieht doch ganz gut aus.\nNoch mal Glück gehabt.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x06\x04ボネ\nIch danke dir, Jean.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ジャン\nOh, da fällt mir ein, dass ich dich noch was\nfragen wollte.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nWas denn?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ジャン\nErinnerst du dich noch an die Kamille, die du\nmir gegeben hast? Ich hab rausgefunden, dass\nsie medizinische Eigenschaften besitzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ジャン\nSie soll Schmerzen lindern und manchmal\nauch gegen Entzündungen helfen. Hast du\nvielleicht noch was davon?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x06\x04ボネ\nInteressant.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nNun, viel ist nicht mehr davon übrig. Aber was\nich noch habe, will ich dir gerne geben.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ジャン\nDanke schön. Jedes Fitzelchen hilft.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nZu wissen, dass meine kleinen Blümchen den\nLeuten Linderung verschaffen, erfüllt mich mit\nFreude.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x06\x04ボネ\nAuch wenn es mir schwerfällt, mich nach all\nder sorgsamen Pflege von ihnen zu trennen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ジャン\nKeine Sorge, Bunet. Ich werd keine einzige\nBlume verschwenden.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04ボネ\x021\n\x0E\x03\x00\x0C\x06ジャン\x022\n\x0E\x03\x02\x08\x06ジャン\nDu hast mir neulich 'nen echt großen\nGefallen getan.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06ジャン\nMit der Blume, die du mir gegeben hast,\nkonnt ich viele unserer Leute behandeln.\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x06\x04ボネ\nSchön. Ich bin sicher, meine lieben Blümelein\nwaren ganz entzückt, dass sie helfen konnten.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06ジャン\nHier. Als kleines Dankeschön.\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x06\x04ボネ\nHm. Blumensamen.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06ジャン\nDie Blume, die du mir gegeben hast,\nschien dir echt viel bedeutet zu haben.\x0E\x04\x00\x00
