MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nWarum? Warum machen sie so was nur?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nDas ist einfach... nicht fair!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHey. Boucheron, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nJa. Und du... bist Framme, richtig?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nブシュロン\nWas... Was willst du? Brauchst du... mich für\nirgendwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nÄh, nein. Bei mir ist alles in Ordnung.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nIch habe nur gehört, dass sich jemand die\nAugen ausweint, und habe mir Gedanken\ngemacht. Das ist alles.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nブシュロン\nAh. Ja. Tut mir leid, dass ich dir Sorgen bereite.\nMir geht's gut.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nJa, aber... Wieso dann all das Schluchzen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nIch habe nur dieses Buch gelesen und war von\nder Geschichte so mitgerissen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nEin Buch hat dir das angetan?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nブシュロン\nDie Leute sagen immer, ich sei zu nah am\nWasser gebaut. Dass ich schon bei Kleinigkeiten\nlosheule.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nIch verstehe. Worum geht es denn in dem Buch?\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nEs geht um zwei Geschwister, die während\neines Krieges voneinander getrennt werden und\nsich später als Gegner gegenüberstehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06フラン\nHm. Das klingt interessant.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0C\nブシュロン\nSobald ich fertig bin, kann ich es dir gerne\nausleihen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nDanke für das Angebot, aber da muss ich\nablehnen. Ich... Nun, ich bin keine große\nLeseratte.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nブシュロン\nOh, wie schade.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\nUnd wenn ich es dir stattdessen vorlese?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nWas? Das ist ja lieb und alles, aber ich kann\ndoch nicht verlangen, dass du mir wie einem\nkleinen Kind was vorliest!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nブシュロン\nMacht mir nichts aus. Ich bin sicher, dir wird die\nGeschichte genauso gefallen wie mir.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nWenn das so ist... Klar, warum eigentlich nicht?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\n„Und so endete der lange Krieg, und die beiden\nGeschwister erfreuten sich endlich des\nFriedens.“\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\n„Nun konnten sie einfach und glücklich und\nvor allem miteinander leben. Ende.“\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nWAAAH!\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06フラン\nEndlich sind sie... wieder vereint!\nDen Himmeln sei Dank!\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nIch weiß. Erleichternd, nicht wahr? Wenn ich\nnur daran denke, steigen mir schon wieder die\nTränen in die Augen.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06フラン\nEhrlich gesagt... hast du zwischendurch so sehr\ngeweint, dass ich... einige Stellen aus der Mitte\nverpasst habe.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nAber trotzdem – so gut!\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nブシュロン\nDas ist großartig. Ich wusste, es würde dir\ngefallen!\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06フラン\nJetzt kann ich total verstehen, warum du bei\nBüchern weinst.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06フラン\nWer konnte denn auch ahnen, dass sie so...\nbezaubernd sein können? Wahrscheinlich\nhabe ich bisher nur die langweiligen gelesen.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0C\nブシュロン\nNun, es gibt da draußen fesselnde Exemplare\nin Hülle und Fülle, wenn du interessiert bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nブシュロン\nWenn dir die Geschichte eben gefallen hat, kann\nich dir noch ein gutes Werk empfehlen. Es\nspielt an einer Militärakademie.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nDie Serie ist beliebt für ihre politischen Intrigen\nund tiefgründigen Charaktere. Bisher gibt es\nschon 30 Bände davon.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06フラン\nOh. Das ist ganz schön viel.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nブシュロン\nIch würde mich mit dir gerne darüber\nunterhalten, sobald du die ganze Reihe\ngelesen hast.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06フラン\nHm... Ich glaube nicht, dass ich es allein durch\n30 Bücher schaffe.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06フラン\nUnd ich kann dich auch nicht bitten, mir alle\nnacheinander vorzulesen. Also erwarte nicht\nzu viel, ja?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06フラン\nIch bin eine sehr langsame Leserin, und ich will\ndich ja nicht warten lassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nブシュロン\nOh... Gut. Wenn du das für das Beste hältst.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x08\x06フラン\nJedenfalls danke. Du hast mir definitiv gezeigt,\nwie spannend Bücher sein können!\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0C\nブシュロン\nGut. Ich bin froh, dir das Licht gezeigt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0C\nブシュロン\nFramme? Ich habe ein Geschenk für dich.\x0E\x04\x00\x00
MID_RELIANCE_A_#002	\x0E\x03\x02\x08\x06フラン\nFür mich?\x0E\x04\x00\x00
MID_RELIANCE_A_#003	\x0E\x03\x02\x0C\nブシュロン\nHier. Es wird dir gefallen, denke ich.\x0E\x04\x00\x00
MID_RELIANCE_A_#004	\x0E\x03\x02\x08\x06フラン\nHuch. Ist das noch ein Buch, das ich lesen soll?\x0E\x04\x00\x00
MID_RELIANCE_A_#005	\x0E\x03\x02\x0C\nブシュロン\nÖffne es einfach.\x0E\x04\x00\x00
MID_RELIANCE_A_#006	\x0E\x03\x02\x08\x06フラン\nNa gut...\x0E\x04\x00\x00
MID_RELIANCE_A_#007	\x0E\x03\x02\x08\x06フラン\nAugenblick mal.\x0E\x04\x00\x00
MID_RELIANCE_A_#008	\x0E\x03\x02\x08\x06フラン\nDa stehen ja gar keine Wörter drin. Die Seiten\nsind alle leer!\x0E\x04\x00\x00
MID_RELIANCE_A_#009	\x0E\x03\x02\x0C\nブシュロン\nDas stimmt.\x0E\x04\x00\x00
MID_RELIANCE_A_#010	\x0E\x03\x02\x08\x06フラン\nBoucheron, soll das ein Witz sein?\x0E\x04\x00\x00
MID_RELIANCE_A_#011	\x0E\x03\x02\x0C\nブシュロン\nNein, nein. Es gibt einen guten Grund, warum\ndieses Buch leer ist.\x0E\x04\x00\x00
MID_RELIANCE_A_#012	\x0E\x03\x02\x0C\nブシュロン\nDamit du deine eigene Geschichte schreiben\nkannst.\x0E\x04\x00\x00
MID_RELIANCE_A_#013	\x0E\x03\x02\x08\x06フラン\nSchreiben? Ich?\x0E\x04\x00\x00
MID_RELIANCE_A_#014	\x0E\x03\x02\x0C\nブシュロン\nJa. Da es nicht viele Bücher gibt, die dich\ninteressieren, dachte ich, du möchtest lieber\neines schreiben.\x0E\x04\x00\x00
MID_RELIANCE_A_#015	\x0E\x03\x02\x08\x06フラン\nIch kann doch niemals ein ganzes Buch selbst\nschreiben!\x0E\x04\x00\x00
MID_RELIANCE_A_#016	\x0E\x03\x02\x0C\nブシュロン\nDu musst ja keine ausführliche Geschichte\nschreiben. Vielleicht benutzt du es ja als\nTagebuch, wenn du magst.\x0E\x04\x00\x00
MID_RELIANCE_A_#017	\x0E\x03\x02\x0C\nブシュロン\nIch denke einfach, es wird dir leichterfallen,\netwas zu lesen, das du selbst geschrieben hast.\x0E\x04\x00\x00
MID_RELIANCE_A_#018	\x0E\x03\x02\x08\x06フラン\nHm...\x0E\x04\x00\x00
MID_RELIANCE_A_#019	\x0E\x03\x02\x08\x06フラン\nNa gut. Dann beginne ich mal mit dem Tag, an\ndem wir uns begegnet sind.\x0E\x04\x00\x00
MID_RELIANCE_A_#020	\x0E\x03\x02\x0C\nブシュロン\nWas? Ausgerechnet damit?\x0E\x04\x00\x00
MID_RELIANCE_A_#021	\x0E\x03\x02\x08\x06フラン\nSicher. Ich finde, es war ein süßer Moment.\x0E\x04\x00\x00
MID_RELIANCE_A_#022	\x0E\x03\x02\x0C\nブシュロン\nWas, weil ich rumgeheult habe?\x0E\x04\x00\x00
MID_RELIANCE_A_#023	\x0E\x03\x02\x08\x06フラン\nEs war bemerkenswert. Ich kann mich noch\nan jede einzelne Träne auf deinen Wangen\nerinnern.\x0E\x04\x00\x00
MID_RELIANCE_A_#024	\x0E\x03\x02\x0C\nブシュロン\nNa gut, solange ich es eines Tages selbst\nlesen darf.\x0E\x04\x00\x00
MID_RELIANCE_A_#025	\x0E\x03\x02\x08\x06フラン\nEinverstanden. Sobald es fertig ist, darfst du als\nErstes einen Blick auf mein Meisterwerk werfen.\x0E\x04\x00\x00
MID_RELIANCE_A_#026	\x0E\x03\x02\x08\x06フラン\nAber Vorsicht. Es werden Tränen fließen!\x0E\x04\x00\x00
MID_RELIANCE_A_#027	\x0E\x03\x02\x0C\nブシュロン\nDann halte ich besser mal ein trockenes\nTaschentuch bereit, nur für den Fall.\x0E\x04\x00\x00
