MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06アンナ\x022\n\x0E\x03\x02\x08\x06アンナ\nHallo, Zelkov! Ich bin Anna, aber du kannst\nmich Lady Anna nennen. Schön, dich kennen-\nzulernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nWas für ein entzückendes... Kind... du doch bist.\nWas kann ich denn für dich tun, Kind? Benötigst\ndu irgendetwas?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06アンナ\nHm?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nKann ich dir irgendetwas... holen?\nBekommst du genug zu essen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06アンナ\nIch habe keinen Hunger, wenn es das ist,\nwas du meinst.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08ゼルコバ\nIch hoffe, ich... ängstige... dich nicht. Das ist\nkeinesfalls meine Intention.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06アンナ\nWer sagt denn, dass ich mich ängstige? Wahre\nHändler wie ich sehen bei ihrer Arbeit alles\nMögliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06アンナ\nWenn ich Süßes haben möchte, dann kaufe\nich es bei mir ein.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08ゼルコバ\nAch... so. Nun gut.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06アンナ\nDas bringt mich auch gleich zurück zu dem\nGrund, warum ich hier bin: Du solltest etwas\nbei mir kaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08ゼルコバ\nJa, natürlich. Zeig... mir doch mal deine Waren.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06アンナ\nAber sicher!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08ゼルコバ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06アンナ\nIch bin mir nicht sicher, ob ich den Klang dieses\nSeufzers mag.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nIch fürchte, ich muss dir... sagen... dass es hier\nnichts gibt, das es wert wäre zu kaufen.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06アンナ\nWas?!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08ゼルコバ\nAuch wenn es mich schmerzt, so harsch zu\neinem Kind zu sprechen, so sind diese Waren\nfür mich doch... wertlos.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06アンナ\nJetzt warte mal! Wo liegt denn das Problem\nbei den Waren, die ich verkaufe?!\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0A\x08ゼルコバ\nWenn ich mein Herz stählen muss, um dies\nzu... sagen... dann soll es so sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0A\x08ゼルコバ\nIn deinen Waren liegt keine... Leidenschaft.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06アンナ\nWas soll das denn heißen?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0A\x08ゼルコバ\nIch erkenne, wie dein... Unverständnis... dazu\nführt, dass du diese Dinge überhaupt erst zum\nVerkauf anbietest.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06アンナ\nEntschuldigung?!\x0E\x04\x00\x00
MID_RELIANCE_C_#024	\x0E\x03\x02\x0A\x08ゼルコバ\nEin Produkt muss das unauslöschliche...\nZeichen... der Leidenschaft seines Erzeugers\ntragen. Andernfalls ist es nicht von Wert.\x0E\x04\x00\x00
