MID_WU_C_1_IN_#001	Morgen!\x0E\x04\x00\x00
MID_WU_C_1_IN_#002	Lady Anna ist hier –\nMorgenstund hat Gold im Mund!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#001	Du bist schon wach? Das ging flott!\x0E\x04\x00\x00
MID_WU_C_1_SOON_#002	So flott, dass ich mich fast schon fragen muss,\x0E\x04\x00\x00
MID_WU_C_1_SOON_#003	ob du in Wirklichkeit nicht auch\nohne einen Weckdienst auskommen würdest.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#001	Immer noch am Pennen.\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#002	Sag mal, wenn du einen Nachteil gegen Morgen hast,\nhast du dann einen Vorteil gegen Abende?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#003	Und wenn Abende dir gegenüber im Nachteil sind,\nhaben sie dann einen Vorteil gegen Morgen?\x0E\x04\x00\x00
MID_WU_C_1_WAKEUP_#004	Wir haben es hier mit einem Dreieck zu tun.\nIch spüre es.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#001	Hallo, \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin!\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#002	Wenn du deine Effektivität gegen Morgen\nerhöhen willst,\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#003	kann ich die Spezialwaffe „Früh-ins-Bett-gehen“\nwärmstens empfehlen.\x0E\x04\x00\x00
MID_WU_C_1_HELLO_#004	Viel Erfolg!\x0E\x04\x00\x00
MID_WU_C_2_IN_#001	Lady Annas Aufweckservice – zu Diensten!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#001	Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche!\x0E\x04\x00\x00
MID_WU_C_2_SOON_#002	Na, hab ich das gut hingekriegt?\x0E\x04\x00\x00
MID_WU_C_2_SOON_#003	Wenn dir mein Service gefallen hat,\x0E\x04\x00\x00
MID_WU_C_2_SOON_#004	dann empfiehl mich gerne deinen Freunden!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#001	Schläfst du noch?\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#002	Na toll.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#003	Aber da habe ich genau das Richtige parat.\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#004	Nämlich mein brandneues Weckplüschtier!\x0E\x04\x00\x00
MID_WU_C_2_WAKEUP_#005	Einfach hinhalten, Alarm aktivieren... und dann:\nbereit machen für ganz grausigen Lärm!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#001	Du bist wach!\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#002	Meine Produkte enttäuschen eben nie.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#003	Diese Dinger werden\nweggehen wie warme Semmeln.\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#004	Äh...\x0E\x04\x00\x00
MID_WU_C_2_HELLO_#005	Wenn ich sie einmal so weit habe,\ndass sie nicht beim ersten Einsatz kaputtgehen.\x0E\x04\x00\x00
MID_WU_B_1_IN_#001	Hey, aufstehen! Das Fest geht gleich los!\x0E\x04\x00\x00
MID_WU_B_1_SOON_#001	Ha! Mein Plan hat gezogen.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#002	Hier gibt's heute gar kein Fest.\x0E\x04\x00\x00
MID_WU_B_1_SOON_#003	Aber zu Hause feiern wir jeden Tag ein Fest!\nIch hab also nicht gelogen!\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#001	Dich legt man nicht so schnell rein, was?\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#002	Rein technisch stimmt das aber. Denn\nwo ich herkomme, gibt es jeden Tag Feste.\x0E\x04\x00\x00
MID_WU_B_1_WAKEUP_#003	Hoffentlich geht es den Leuten da gut.\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#001	Morgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche...\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#002	Was? Nein, mir geht's super! Ehrenwort!\x0E\x04\x00\x00
MID_WU_B_1_HELLO_#003	Ein guter Verkäufer ist IMMER gut drauf!\x0E\x04\x00\x00
