MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x0A\x08リュール\nIn diesem Armring befindet sich ein Emblem.\nDoch... Die Präsenz im Inneren ist... verworren.\x0E\x04\x02\x00
MID_OP1_#002	Aber ich glaube, ich habe die richtige Anrufung\ndafür.\x0E\x04\x02\x00
MID_OP1_#003	Leite uns, Emblem der Rivalen!\x0E\x04\x00\x00
MID_OP1_2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x00\x10\nディミトリ\x023\n\x0E\x03\x00\x0E\x08クロード\x024\n\x0E\x03\x02\x10\x0Eエーデルガルト\nEndlich sind wir frei. Ich bin Emblem Edelgard.\x0E\x04\x00\x00
MID_OP1_2_#002	\x0E\x03\x02\x0C\nディミトリ\nFreut mich, Euch kennenzulernen. Ich bin\nEmblem Dimitri.\x0E\x04\x00\x00
MID_OP1_2_#003	\x0E\x03\x02\x0A\x08クロード\nDann bin ich wohl Emblem Claude. Tagchen.\x0E\x04\x00\x00
MID_OP1_2_#004	\x0E\x03\x02\x0A\x08リュール\nDas muss aber eng im Armring gewesen sein...\x0E\x04\x02\x00
MID_OP1_2_#005	Oh, Verzeihung. Ich sollte mich vorstellen. Ich\nbin \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_OP1_2_#006	Ihr seid ganz offensichtlich nicht aus Elyos.\nDürfte fragen, was ihr hier macht?\x0E\x04\x00\x00
MID_OP1_2_#007	\x0E\x03\x02\x10\x0Eエーデルガルト\nBis vor Kurzem waren wir die Beschützer einer\nanderen Welt. Irgendwie sind wir wohl... umge-\nzogen.\x0E\x04\x02\x00
MID_OP1_2_#008	\x0E\x03\x02\x0A\x08リュール\nIch habe das Gefühl, ihr seid hier, um mich\nauf die ein oder andere Art auf die Probe zu\nstellen.\x0E\x04\x00\x00
MID_OP1_2_#009	\x0E\x03\x02\x10\x0Eエーデルガルト\nNein, dafür gibt es keinen Grund. Ihr konntet\nuns beschwören. Das ist ausreichend.\x0E\x04\x02\x00
MID_OP1_2_#010	Und das zum passenden Zeitpunkt. Wir wurden\nes langsam leid, uns gegenseitig zuhören zu\nmüssen.\x0E\x04\x00\x00
MID_OP1_2_#011	\x0E\x03\x02\x0A\x08クロード\nHalt mich daraus. Ich finde, Dimitris\nGeschichten wurden mit jedem Male, da er sie\nerzählt hat, besser und besser.\x0E\x04\x00\x00
MID_OP1_2_#012	\x0E\x03\x02\x0C\nディミトリ\nAuch die sarkastischen Zwischenkommentare\nnahmen zu. Zufall, nehme ich an.\x0E\x04\x00\x00
MID_OP1_2_#013	\x0E\x03\x02\x0A\x08リュール\nIhr drei scheint euch... wohl miteinander zu\nfühlen.\x0E\x04\x00\x00
MID_OP1_2_#014	\x0E\x03\x02\x10\x0Eエーデルガルト\nDas könnte auch nur so erscheinen.\x0E\x04\x00\x00
MID_OP1_2_#015	\x0E\x03\x02\x0C\nディミトリ\nWirklich, Edelgard?\x0E\x04\x00\x00
