MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x10\nザフィーア\x022\n\x0E\x03\x02\x0C\nザフィーア\nGut, gut. Das war heute eine erfolgreiche Jagd.\nTolle Leistung.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nザフィーア\nSo eine große Beute hätten wir ohne Euch nicht\ngemacht, Prinz Alcryst. Danke, dass Ihr mitge-\nkommen seid.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nOh, aber ich habe doch so gut wie gar nicht\ngeholfen. Dies ist allein deinem Geschick zu\nverdanken, Saphir.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nザフィーア\nHahaha, bescheiden wie immer, wie ich sehe!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nザフィーア\nDa wir nun für eine ganze Weile genug Fleisch\nhaben werden, denke ich, dass ich nächstes\nMal zum Fischen gehen werde.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nザフィーア\nMögt Ihr mitkommen?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nスタルーク\nIch? Ich habe nicht viel Erfahrung im Fischen...\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nザフィーア\nDas wird schon werden. Ich werde Euch zeigen,\nwie man das macht.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nスタルーク\nIch fühle mit dem Fisch. Stell dir vor, wie es für\nihn sein muss, von jemand so Nutzlosem wie\nmir aus dem Wasser gezogen zu werden.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nザフィーア\nHahaha!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nザフィーア\nIch bin mir ziemlich sicher, dass es das Letzte\nist, woran ein Fisch in dem Moment denken\nwürde. Das wird schon.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nIch bezweifle außerdem, dass ich irgendetwas\nfangen würde. Jeder Köder, den ich anbiete,\nwäre minderwertig, und keinen Biss wert.\x0E\x04\x00\x00
