MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm... Schööön.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nブシュロン\nUff... Uff...\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nAuf die Gefahr hin, mich zu wiederholen:\nIch bewundere deine Muskeln, Boucheron.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nブシュロン\nHngh. Oh. Danke für das Kompliment.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nDein Trizeps ist so definiert. Darf ich ihn\nanfassen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nブシュロン\nÄh... Alles, was Ihr wünscht, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm, ja. Unglaublich.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas ist ja praktisch ein firener Nationalschatz.\nWie perfekt modelliert der Unterarm ist!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch wünschte, meiner wäre das auch.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nブシュロン\nSeid Ihr fertig?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh! Ich war wohl etwas überschwänglich.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu musst zugeben, deine Muskeln sind wirklich\neine Klasse für sich.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch frage mich, welches Geheimnis hinter\nsolchen Schönheiten stecken mag.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nブシュロン\nEigentlich nichts Besonderes.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nAch, das sagst du doch immer.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDa muss es doch einen Trick geben. Oder\nwillst du mir erzählen, das sei alles Natur?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nWie ist das denn möglich?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nHm. Hm, hm, hm. Hmmmmmmmmmmm.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x0C\nブシュロン\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nブシュロン\nDas ist ein wenig, ähm...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cアルフレッド\n„Ein wenig“ was? Ist an dem hier etwa\nirgendetwas Besonderes?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nブシュロン\nNein, Prinz Alfred. Ich bin nur etwas kitzelig.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh! Warum sagst du das nicht gleich?\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nブシュロン\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nAufgewacht, Boucheron! Die Sonne geht auf!\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0C\nブシュロン\nPrinz Alfred? Guten... guten Morgen. Seid Ihr so\nfrüh schon auf Patrouille?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNein. Keine Patrouille für mich heute.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nブシュロン\nWarum seid Ihr dann so früh wach?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch will sicherstellen, dass ich jede Minute\ndeines Tages miterlebe.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nブシュロン\nIhr wollt meinen Tag miterleben? Aber warum\ndenn nur?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nNatürlich um das Geheimnis deiner Muskeln zu\nlüften!\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0C\nブシュロン\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu hast mir gesagt, du machst nichts\nBesonderes, um so stahlhart zu werden.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nSprich, deine Muskeln kommen ganz von selbst,\nwenn du einfach nur dein Leben lebst. Und\ngenau das will ich mir jetzt anschauen!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nブシュロン\nIn Ordnung. Das ergibt Sinn... zumindest\nirgendwie.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nSchön, dass du meiner Meinung bist. Legen wir\nlos!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nFang einfach an und tu, was du immer tust.\nAchte gar nicht darauf, dass ich jede deiner\nBewegungen genau beobachte.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nブシュロン\nGut. Wenn es den Prinzen nicht stört, beginne\nich meinen Tag damit, noch ein wenig zu\nschlafen.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nMach ruhig. Ich sitze hier und mache mir\nNotizen.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x04\x03\x04
MID_RELIANCE_B_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nMittagszeit. Boucheron liest ein Buch. Relevanz\nfür den Muskelaufbau noch immer unklar.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs handelt sich nicht einmal um sonderlich\nschwere Lektüre.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0C\nブシュロン\nNein... Nein! Arme kleine Fifi!\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmm, jetzt weint er auch noch. Was für ein\nSoftie!\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x04\x03\x04
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch glaube, ich bin ihm auf der Spur. Diese\ngewölbten Muskeln müssen vom Angeln\nherrühren!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0C\nブシュロン\nHa! Jetzt hab ich dich!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nAber das ergibt keinen Sinn. Ich schwitze beim\nTraining weitaus mehr als er, wie er hier mit\nder Rute sitzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x0E\x0Cアルフレッド\nSieht allerdings durchaus spaßig aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x04\x03\x04
MID_RELIANCE_B_#027	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch verstehe das einfach nicht.\x0E\x04\x00\x00
MID_RELIANCE_B_#028	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch habe dich den ganzen Tag beobachtet –\ndu kamst kein einziges Mal ins Schwitzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#029	\x0E\x03\x02\x0C\nブシュロン\nEs tut mir leid, dass Ihr nicht auf Eure Kosten\ngekommen seid. Ihr habt Euren gesamten Tag\nmit mir verschwendet.\x0E\x04\x00\x00
MID_RELIANCE_B_#030	\x0E\x03\x02\x0E\x0Cアルフレッド\nOh, verschwendet würde ich das nicht nennen.\nUnd ich bin sehr wohl auf meine Kosten\ngekommen.\x0E\x04\x00\x00
MID_RELIANCE_B_#031	\x0E\x03\x02\x0E\x0Cアルフレッド\nDer Tag hat mich daran erinnert, wie schön es\nist, Zeit mit einem alten Freund zu verbringen.\x0E\x04\x00\x00
MID_RELIANCE_B_#032	\x0E\x03\x02\x0C\nブシュロン\nDas ist sehr freundlich von Euch, Prinz Alfred.\x0E\x04\x00\x00
MID_RELIANCE_B_#033	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas Einzige, was ich bereue, ist, dass ich nur\nbeobachtet habe, anstatt selbst teilzunehmen!\x0E\x04\x00\x00
MID_RELIANCE_B_#034	\x0E\x03\x02\x0C\nブシュロン\nHahaha, nun, Ihr dürft meiner Tagesroutine\njederzeit beitreten. Ihr habt recht, das wäre\nspaßig.\x0E\x04\x00\x00
