MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHupp! Eh... Hupp! Eh... Hupp! Eh...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08セリーヌ\nGuten Morgen, Alfred.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nMorgen, Céline!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08セリーヌ\nWie ich sehe, trainierst du wieder fleißig.\nNur habe ich dich dabei nie zuvor eine\nSchaufel verwenden sehen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08セリーヌ\nEin ziemlich tiefes Loch, das du da gegraben\nhast. Glaubst du nicht, dass es vielleicht eine\nGefahr für andere darstellen könnte?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa! Ach, Céline. Das ist doch kein Training.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd wenn überhaupt, so muss ich noch viel\nTIEFER graben!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nHepp! Äh...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08セリーヌ\nWas um alles in der Welt bezweckst du damit?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nNa ja, heute Morgen hörte ich, wie sich das\nKüchenpersonal über einen Mangel an Wasser\nbeschwerte.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nAlso grabe ich nun einen Brunnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08セリーヌ\nVerzeihung?!\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08セリーヌ\nAlfred. Sollte das Wasser zur Neige gehen,\ngibt es ganz in der Nähe einen Fluss, aus\ndem wir es schöpfen können.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08セリーヌ\nWas hat dich bloß veranlasst zu glauben,\ndas Graben eines Brunnens würde zur\nLösung dieses Problems beitragen?!\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, du hast recht. Ganz schön schlaues\nKöpfchen!\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nDann suche ich mir mal einen Krug und\nmache mich gleich auf zum Fluss. Danke\nfür den Tipp, Céline!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0A\x08セリーヌ\nMir scheint, du hast dich kein bisschen\ngeändert.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08セリーヌ\nVielleicht solltest du dich lieber in Felle und\nPelze kleiden, um deine barbarische Einstellung\ndirekt zur Schau zu tragen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0E\x08セリーヌ\x022\n\x0E\x03\x02\x0A\x08セリーヌ\nWeißt du, was du bist, Alfred?\nEin Barbar im Gewand eines Prinzen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nHa! Nett, dass du das sagst. Danke, Céline!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08セリーヌ\nWie kommst du darauf, dass das als\nKompliment gemeint war?!\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu wolltest andeuten, dass ich vor Muskeln\nnur so strotze, wie ein Barbar. Stimmt's?\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nEin waschechtes Lob – auch wenn du\ndas wahrscheinlich bloß sagst, weil ich\ndein Bruder bin.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08セリーヌ\nSo habe ich das nicht im Geringsten gemeint!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHey, hey... Schon gut, Céline.\x0E\x04\x00\x00
