MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x08\x06ユナカ\nIch habe an deinem idiotischen Spielchen kein\nInteresse, Zelkov. Sag mir einfach, was du\nvon mir willst.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ゼルコバ\nNun, Yunaka, welches... Spielchen... spiele ich\ndenn da wohl? Was meinst du?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ユナカ\nDas Spiel des Nachstellens und Anpirschens.\nTu bloß nicht so, als würdest du die Regeln\ndafür nicht auswendig kennen!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDu hast es also bemerkt? Wie... seltsam.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nDu hast das Wahrnehmungsvermögen eines...\nJägers. Kann es sein, dass du in deiner freien\nZeit jagst... oder um Geld zu verdienen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nEndlich steht dir die Wahrheit ins Gesicht...\ngeschrieben. Ich vermutete bereits, dass du\naus Gewalt ein Geschäft machen würdest.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ゼルコバ\nDeshalb habe ich dir... nachgestellt. Verdächtige\nPersonen sind zu observieren.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ユナカ\nNa schön, ich gebe es zu. Du bist darin\nschon talentiert.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\nAber nun sollten wir mal unsere grauen Zellen\nein wenig in Gang bringen und sehen, wohin\nsie uns führen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08ゼルコバ\nOje. Aber bitte nicht zu sehr.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06ユナカ\nDu hast den gleichen Instinkt zum Töten wie\nich. Der tropft dir ja geradezu aus den Poren.\nWie Schleim!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ユナカ\nAlso, spuck's aus. Haben wir eine ähnliche\nLaufbahn hinter uns?\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0A\x08ゼルコバ\nDas... scheint... mir der Fall zu sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nWunderbar. Nun, dann werden wir von nun\nan nicht mehr darüber reden, einverstanden?\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nFür mich liegt das alles in der Vergangenheit.\nIch bin glücklich im... Ruhestand.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0A\x08ゼルコバ\nAuch ich habe meine... Hände... von diesem\nLeben gereinigt.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nDann haben wir das also gemeinsam, was?\nNa, dann lass uns mal keine große Sache draus\nmachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06ユナカ\nSiehst du. Das bin ich, wie ich keine große\nSache draus mache. Bis denne.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ゼルコバ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0A\x08ゼルコバ\nDas Thema, über das wir... neulich... sprachen,\nYunaka.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nDas ist merkwürdig! Ich habe dir doch gesagt,\nkein Ding draus zu machen. Und was tust\ndu gerade? Du machst ein Ding.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08ゼルコバ\nDen Hinweis habe ich sehr wohl verstanden.\nIch hege nur den Wunsch, bei dieser... einen...\nSache mehr ins Detail zu gehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08ゼルコバ\nDu sagtest, der Instinkt zum Töten... tropfe...\nmir aus meinen Poren. Ich glaube, du hast das\nWort „Schleim“ verwendet.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08ゼルコバ\nWas hast du damit gemeint?\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08ゼルコバ\nBitte. Für mein... Wohlbefinden... ist es\nunerlässlich, dass ich das Bild, das ich anderen\npräsentiere, kuratiere.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nNa gut.\x0E\x04\x00\x00
