MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nYunaka. Was führt Ihr hinsichtlich der\nkommenden Versammlung in Brodia im Schilde?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ユナカ\nEntschuldigt, könnt Ihr das wiederholen?\nIch hab gerade nur auf einem Ohr zugehört.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nシトリニカ\nIch weiß, dass Ihr Euch emsig umhört auf der\nSuche nach Details zur bevorstehenden\nVersammlung brodianischer Amtsträger.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ユナカ\nÄh, was?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nシトリニカ\nBrodia und sein Volk sind mir kostbar. Wenn Ihr\nirgendwelche kriminellen Absichten hegt, werde\nich Euch aufhalten.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ユナカ\nWhoa! Moment, Moment! Immer mit der Ruhe.\nIch glaube, hier handelt es sich um ein\nMissverständnis.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0C\nシトリニカ\nOh? Was genau soll das denn für ein\n„Missverständnis“ sein? Ihr lügt, was Eure\nwahre Identität betrifft, nicht wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ユナカ\nDas, äh... Nun ja, ich...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nシトリニカ\nLeugnet es gar nicht erst. Ihr habt viele hinters\nLicht geführt, doch ich weiß von Eurer wahren\nTätigkeit.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nシトリニカ\nIhr seid eine Assassine.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nシトリニカ\nIch nehme an, jemanden wie mich habt Ihr nie\nals mögliche Bedrohung wahrgenommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nシトリニカ\nAls Adlige ist es meine Pflicht, mein Volk vor\nGefahren zu schützen, und ich weiß, dass Ihr\nirgendetwas im Schilde führt.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nシトリニカ\nIch habe auch bereits alle nötigen Beweise\nzusammengetragen. Falls Ihr nicht unverzüglich\ngesteht, werde ich allen davon erzählen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ユナカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ユナカ\nJa. Es ist wahr. Ich war eine brodianische\nAssassine.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06ユナカ\nDoch dieses Leben habe ich hinter mir gelassen.\nIch bin nicht mehr die, die ich einst war, das\nkönnt Ihr mir glauben.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0C\nシトリニカ\nNetter Versuch.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ユナカ\nDas ist die Wahrheit! Hört mir zumindest bis\nzum Schluss zu. Ich werde Euch alles erzählen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nシトリニカ\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0C\nシトリニカ\nNa schön. Ich werde mir anhören, was Ihr zu\nsagen habt... aber nicht heute.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nシトリニカ\nMerkt Euch dies, Yunaka... Wenn es darum geht,\nBrodia zu beschützen, kann und werde ich mit\nvölliger Herzlosigkeit agieren. Ohne jede Gnade.\x0E\x04\x00\x00
MID_RELIANCE_C_#023	\x0E\x03\x02\x08\x06ユナカ\nJa. Ich werd's mir merken.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nシトリニカ\x021\n\x0E\x03\x00\x0C\x06ユナカ\x022\n\x0E\x03\x02\x0C\nシトリニカ\nAlso gut, Yunaka. Ich werde mir anhören, was\nIhr zu erzählen habt, doch sollte auch nur eine\nLüge Euren Lippen entweichen...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ユナカ\nIch fange ganz von vorne an. Und keine Sorge,\nich werde nicht lügen.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ユナカ\nDas Mädchen in dieser Geschichte heißt nicht\nYunaka. Sie heißt Larimar.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06ユナカ\nSie wird als Tochter einer armen Familie\ngeboren, in einer Stadt an den Klippen von\nBrodia. Ihre Eltern geben sie fort.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ユナカ\nSie ist nicht einmal alt genug, um zu verstehen,\nwas geschieht. Doch dann nimmt ein Mann sie\nauf... ein Assassine.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nシトリニカ\nOh!\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ユナカ\nEr erzählt ihr, dass er eine kleine Gehilfin will.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ユナカ\nAlso bringt er dem Mädchen das Töten bei.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nシトリニカ\nWas ist sein Ziel?\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ユナカ\nSchnelles Geld.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nシトリニカ\nDieser Mann hat seinen Beruf also auf Euch\nabgewälzt?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ユナカ\nKorrekt.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nシトリニカ\nUnd so seid Ihr zur Assassine geworden...\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nシトリニカ\nEure Geschichte ist tragisch, ja, doch verdient\nIhr trotzdem kein Mitgefühl.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ユナカ\nIch will auch kein Mitgefühl. Und ich bin noch\nnicht fertig.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x0C\nシトリニカ\nNun gut. Fahrt fort.\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ユナカ\nWartet, da kommt jemand.\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0C\nシトリニカ\nIst das ein Problem?\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ユナカ\nJa, wir werden das ein andermal fortsetzen\nmüssen.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x0C\nシトリニカ\nIn Ordnung.\x0E\x04\x00\x00
