MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nUff. Das sollte erst mal genug Training für\nheute sein.\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06クラン\nScheint, als hättest du ein anstrengendes\nWorkout gehabt, Etie!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nエーティエ\nOh, du bist es. Was machst du denn hier?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06クラン\nIch dachte mir, du möchtest vielleicht eine von\ndiesen hier haben, wenn du fertig bist.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nエーティエ\nWas hast du denn da in dem Glas?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06クラン\nHausgemachte Gewürzgurken. Die sollen bei\nder Regeneration nach einem harten Training\nhelfen!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06クラン\nHier, koste eine.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nエーティエ\nKlar, warum nicht? Danke.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0C\nエーティエ\nOh! Gar nicht schlecht. Sie schmecken genauso\nsauer, wie ich sie mag.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06クラン\nFreut mich, dass ich die richtigen für dich\ngefunden habe.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06クラン\nIch weiß, dass du dich gründlich um deinen\nKörper kümmerst, daher habe ich darauf\ngeachtet, dass sie lecker, aber gesund sind.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nエーティエ\nWirklich? Das hast du nur für mich getan?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06クラン\nJa! Und das ist noch nicht alles.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06クラン\nIch habe auch mit ihnen unter meinem Kissen\ngeschlafen. Wie eine Henne auf ihren Eiern.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0C\nエーティエ\nHast du das? Das ist... auf bizarre Art charmant.\nDu bist ein guter Junge, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06クラン\nDu kannst das ganze Glas behalten. Und\nwenn du mehr möchtest, sag einfach Bescheid!\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nエーティエ\nJa, das werde ich. Danke, dass du mir den Tag\nversüßt hast!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x10\nエーティエ\x022\n\x0E\x03\x02\x0C\nエーティエ\nDa bist du ja, Clanne.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06クラン\nHast du mich gesucht? Bist du mit den Gurken\nschon fertig?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nエーティエ\nIch schäme mich, es zu sagen, aber... ja.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06クラン\nDas ging ja schnell.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06クラン\nAber ich habe gesehen, wie hart du trainiert\nhast, da habe ich schon damit gerechnet, dass\nsie nicht lange halten würden.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nエーティエ\nIch bin beeindruckt. Dir entgeht auch nichts,\nhm?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06クラン\nHahaha, nicht der Rede wert. Für unsere hart\narbeitenden Soldaten tue ich einfach, was ich\nkann.\x0E\x04\x00\x00
