MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nIch gelobe, dich zu beschützen, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x08\x06ラピス\nPrinz Alcryst? Was redet Ihr denn da?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0C\nスタルーク\nDu hast in der Schlacht neulich für meine\nSicherheit Sorge getragen.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x08\x06ラピス\nNatürlich habe ich das. Ich bin Eure Getreue. Es\nist meine Pflicht, für Eure Sicherheit zu sorgen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0C\nスタルーク\nJa, aber ich verdiene das nicht. Ich bin nutzlos,\naber deine Persönlichkeit und deine Fähigkeiten\nsind von wahrem Wert.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nスタルーク\nUnd daher gelobe ich, DICH von nun an in\nder Schlacht zu beschützen, Lapis!\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06ラピス\nWa--\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nスタルーク\nAber vermutlich sind diese Worte nur Hülsen, da\nsie von jemandem so unzuverlässigen wie mir\nkommen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nDamit sind es drei.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0C\nスタルーク\nBitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nDies ist das dritte Mal, dass Ihr mir auf diese\nArt gelobt habt, mich zu beschützen, Prinz\nAlcryst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0C\nスタルーク\nOh. Ja. Nun, wo du es erwähnst, erinnere ich\nmich, dir das direkt nach unserer ersten\nBegegnung gesagt zu haben.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0C\nスタルーク\nUnd noch einmal am Viadukt, wenn ich mich\nrecht entsinne.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06ラピス\nStimmt. Euch diese Worte sagen zu hören,\nmachte mich...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\n...\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06ラピス\nBitte hört mit dem Versuch auf, unsere Pflichten\nzu tauschen. Ich bin nur eine Getreue. Ihr seid\nein Prinz.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nスタルーク\nE-es tut mir leid. Ich lege nur ehrlich dar, wie\nich die Dinge sehe...\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nDas weiß ich doch.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nAber ich glaube nicht, dass viele Getreue damit\neinverstanden wären, wenn ihr Herr für sie\neinen Hieb einfangen würde.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nスタルーク\nIch... bitte um Verzeihung.\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nOh, bitte nehmt es nicht so schwer. Ich weiß,\nIhr meint es gut. Ich schätze den Gedanken\ndahinter.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x0C\nスタルーク\nJa... natürlich.\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nスタルーク\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x0C\nスタルーク\nLapis? Ich möchte mich für das Gelöbnis\nneulich entschuldigen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06ラピス\nOh, aber Prinz Alcryst. Bitte, macht Euch\ndarüber keine Gedanken.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nIch muss mich für den Versuch entschuldigen,\nEuch Vorschriften gemacht zu haben, was Ihr\nsagen dürft.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0C\nスタルーク\nDu hast nichts falsch gemacht.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0C\nスタルーク\nEs war mein Fehler. Ich habe nicht bedacht, wie\ndu dich bei meinen Worten fühlen musst.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0C\nスタルーク\nDennoch – zu einer Sache stehe ich nach wie\nvor.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nスタルーク\nFür mich bist du wirklich eine unglaubliche\nPerson, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06ラピス\nDas ist nicht... Ich bin wirklich nicht so\nunglaublich.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0C\nスタルーク\nDoch, das bist du. Ich weiß, dass du das bist.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0C\nスタルーク\nMir ist bekannt, dass du einen Teil deines\nGeldes zu deiner Familie schickst, um sie zu\nunterstützen.\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0C\nスタルーク\nMir ist auch bekannt, dass du deine freie Zeit\ndamit verbringst, gefährliche Bestien zu ver-\ntreiben, die in unser Gebiet eingedrungen sind.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06ラピス\nWie habt Ihr herausgefunden, dass...\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0C\nスタルーク\nDu bist für die Welt so viel wertvoller, als\nich es bin, Lapis.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0C\nスタルーク\nDaher möchte i--\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x08\x06ラピス\nDeswegen sagt Ihr immer wieder, dass Ihr mich\nbeschützen solltet.\x0E\x04\x00\x00
MID_RELIANCE_B_#016	\x0E\x03\x02\x08\x06ラピス\nOh...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x08\x06ラピス\nPrinz Alcryst... Ihr habt keine Ahnung...\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x08\x06ラピス\nEuch so reden zu hören, bricht mir das Herz.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x08\x06ラピス\nBitte entschuldigt... Ich muss gehen.\x0E\x04\x00\x00
