MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\nHmm. Hmm...\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nNa, wer gewinnt den Anstarrwettbewerb? Du\noder das Geschichtsbuch?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06フラン\nAh! Prinz Diamant! Tut mir leid, ich hab Euch\ngar nicht hereinkommen hören!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0E\x0Cディアマンド\nKein Grund sich zu entschuldigen, Framme.\nAber du siehst frustriert aus. Woran liegt das?\nKann ich dir irgendwie helfen?\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x08\x06フラン\nIch habe erneut einen meiner Aufträge als\nBehüterin verpatzt, also hat Vander mir zur\nStrafe aufgetragen zu lernen.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06フラン\nIch zitiere: „Es mangelt dir am nötigen Ernst für\ndeine Rolle! Das Mindeste, was du tun kannst,\nist, dich ein wenig fortzubilden!“\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cディアマンド\nAh, Vander hat dir also dieses Buch gegeben.\nSieht ja nicht aus, als würde es dir sonderlich\ngefallen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06フラン\nIch finde Geschichte total langweilig! Ständig\ngeht es nur um Kriege, Grenzstreitigkeiten,\nKriege, Handel, noch mehr Kriege...\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nWozu überhaupt diese ständigen Kriege?\nWieso können sich nicht alle beruhigen\nund wie Freunde miteinander umgehen?\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist wahr, dass Geschichte oft in erster Linie\nvon der Kriegsführung handelt. Das war schon\nseit dem Krieg der Dämonendrachen so.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cディアマンド\nAber es geht nicht immer nur um Kämpfe und\nBlutvergießen. Ein Beispiel...\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cディアマンド\nDass meine Vorfahren Brodia gründen konnten,\nhaben wir keinem offenen Krieg, sondern allein\ndem Schutz von Lumera zu verdanken.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cディアマンド\nEs ist nicht von der Hand zu weisen, dass man\naus der Geschichte vieles lernen kann. Daher\nwar Vanders Ansatz gar nicht so falsch.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nHmm. Wenn Ihr das sagt...\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cディアマンド\nLies einfach weiter. Du wirst mehr als nur Daten\nund Zahlen darin finden, das verspreche ich dir.\nGeschichte erzählt uns auch viel über das Volk.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nJa, ich schätze, Ihr habt recht. Ich habe auch\nnoch nicht wirklich viel gelesen... Es ist alles\netwas ermüdend.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cディアマンド\nWohl wahr. Es ist sicher schwer, über etliche\nvergangene Kriege zu lesen, wo wir uns inmitten\neines neuen Krieges befinden. Aber keine Sorge.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cディアマンド\nDu hast mein Gelöbnis als Kronprinz von Brodia,\ndass Frieden einkehren wird, sobald ich den\nThron besteige.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06フラン\nHui. Wirklich?\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nWenn der Kronprinz von Brodia ein solches\nGelöbnis abgibt, ist das ermutigend!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x0E\x0Cディアマンド\nHahaha. Ich meine es ernst. Sei unbesorgt, ja?\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nHa! Das werde ich. Aber erst, nachdem ich\nnoch ein bisschen in diesem gar nicht mal sooo\nlangweiligen Geschichtsbuch gelesen habe!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x02\x08\x06フラン\n...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x00\x12\x0Cディアマンド\x022\n\x0E\x03\x02\x0E\x0Cディアマンド\nHallo, Framme. Hast du das Geschichtsbuch\nheute gar nicht bei dir? Oder bist du etwa\nschon fertig damit?\x0E\x04\x00\x00
