MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x021\n\x0E\x03\x00\x0E\x08ロサード\x022\n\x0E\x03\x02\x08\x06ラピス\nWeißt du was, Rosado? Das ist mir schon vor\neiner Weile aufgefallen, aber... du bist richtig\nsüß!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08ロサード\nOh, du schmeichelst mir! Danke!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x08\x06ラピス\nIch bewundere, wie du in quasi jeder Situation\nniedlich sein kannst. Was ist dein Geheimnis?\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08ロサード\nHmm... Ich glaub nicht, dass ich eins hab.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08ロサード\nIch versuche eigentlich nur, mir selbst gerecht\nzu werden. Ich überlege, wer ich innerlich\nwirklich bin und... verhalte mich entsprechend.\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nEcht?\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08ロサード\nKlar. Das eigene Erscheinungsbild ist auch\nwichtig, aber wahre Schönheit kommt halt von\ninnen.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08ロサード\nSelbst die hübscheste Aufmachung bringt dir\nnichts, wenn du dich nicht wohl darin fühlst.\nDu musst zuerst an dich selbst glauben!\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06ラピス\nHm... Das ist also der Grund dafür, dass ich\nnicht niedlich bin... Irgendwas stimmt nicht mit\nmeiner inneren Gefühlswelt.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08ロサード\nWas? Aber Lapis, du bist doch wunderschön!\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06ラピス\nNein! Ich bin nicht so selbstbewusst wie du.\nEs gibt so vieles an mir, das mich stört.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06ラピス\nNimm die Tatsache, dass ich Gras und Büsche\nesse... oder dass ich so verdammt stark bin...\x0E\x04\x00\x00
