MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nSoren, hättet Ihr einen Moment Zeit für mich?\nIch würde gerne mehr über Eure Heimatwelt\nerfahren.\x0E\x04\x00\x00
MID_GR_Lueur_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nEinen Moment habe ich. Aber mehr nicht.\x0E\x04\x00\x00
MID_GR_Lueur_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nEure Kampfstrategie ist immer so kühl und\nlogisch. Ich sollte wohl versuchen, ebenfalls\nso zu denken...\x0E\x04\x00\x00
MID_GR_Lueur_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nWir alle haben Dinge, die uns liegen oder eben\nnicht liegen. Kühle Logik liegt Euch vielleicht\nnicht.\x0E\x04\x00\x00
MID_GR_Lueur_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08リュール\nIhr wirkt in der Schlacht stets so furchtlos.\nIch wünschte, ich wäre so wie Ihr. Zu Beginn\nbin ich immer sehr nervös.\x0E\x04\x00\x00
MID_GR_Lueur_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nEin Stratege kann sich den Luxus der Nervosität\nnicht erlauben. Das gilt auch für jemanden in\nEurer Position.\x0E\x04\x00\x00
MID_GR_Lueur_A_#003	\x0E\x03\x02\x0A\x08リュール\nIhr habt recht. Ich muss mein Bestes geben,\ndamit ich mit mehr Selbstvertrauen an die\nDinge herangehe, egal, was mich erwartet.\x0E\x04\x00\x00
MID_GR_Lueur_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nKonzentriert Euch auf eine Entscheidung und\ngeht der Reihe nach vor. Ihr werdet erst im\nNachhinein wissen, ob Ihr geirrt habt oder nicht.\x0E\x04\x00\x00
MID_GR_Vandre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nSir Soren, ich freue mich schon darauf, Eure\nPläne zu sehen, die Ihr für den Kriegsrat heute\nersonnen habt.\x0E\x04\x00\x00
MID_GR_Vandre_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nIch bin nicht sicher, inwieweit ich dieser\nGruppe helfen kann, aber ich werde tun, was\nich kann.\x0E\x04\x00\x00
MID_GR_Vandre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\n\x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin ist manchmal zu höflich.\nEure ehrlichen Ausführungen sind daher\nwillkommen.\x0E\x04\x00\x00
MID_GR_Vandre_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nDanke. Es ist schon eine Weile her, dass ich\nsolche Worte gehört habe...\x0E\x04\x00\x00
MID_GR_Vandre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nヴァンドレ\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0C\nヴァンドレ\nIch muss mich dafür entschuldigen, dass ich\nEuch gebeten habe, auszusprechen, wovor\nalle anderen sich fürchteten.\x0E\x04\x00\x00
MID_GR_Vandre_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nIch habe einfach meinen Rat angeboten.\nMehr nicht.\x0E\x04\x00\x00
MID_GR_Vandre_A_#003	\x0E\x03\x02\x0C\nヴァンドレ\nNun... es ist auf jeden Fall beruhigend, einen\nBerater wie Euch unter uns zu wissen.\x0E\x04\x00\x00
MID_GR_Vandre_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nHoffen wir, dass Euer Vertrauen sich nicht\nals Irrtum herausstellt.\x0E\x04\x00\x00
MID_GR_Clan_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x0A\x08セネリオ\nDu stehst nun schon eine ganze Weile dort.\nWas genau tust du da eigentlich?\x0E\x04\x00\x00
MID_GR_Clan_C_#002	\x0E\x03\x02\x08\x06クラン\nOh, ich verehre \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin aus der Ferne.\nSeht nur! So königlich, so... erhaben.\x0E\x04\x00\x00
MID_GR_Clan_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nIch arbeite hart, um \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin zu dienen.\nEs gibt nichts Schöneres, als jemanden glücklich\nzu machen.\x0E\x04\x00\x00
MID_GR_Clan_B_#002	\x0E\x03\x02\x0A\x08セネリオ\nDiese Einstellung kann ich wohl verstehen.\x0E\x04\x00\x00
MID_GR_Clan_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06クラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06クラン\nLord Soren, mögt Ihr Fleisch? Ich meine, Euch\nneulich gesehen zu haben, wie Ihr Euch über\nFleisch erkundigt habt.\x0E\x04\x00\x00
MID_GR_Clan_A_#002	\x0E\x03\x02\x0A\x08セネリオ\nNein, ich selbst nicht.\x0E\x04\x00\x00
MID_GR_Clan_A_#003	\x0E\x03\x02\x08\x06クラン\nOh. Dann vergesst meine Frage. Ich dachte, ich\nkönnte Euch für dieses unglaubliche Rezept\nbegeistern, das ich gefunden habe...\x0E\x04\x00\x00
MID_GR_Clan_A_#004	\x0E\x03\x02\x0A\x08セネリオ\nNicht so schnell. Erzähl mir mehr.\x0E\x04\x00\x00
MID_GR_Fram_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nSieht \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin heute nicht ganz\nbesonders umwerfend aus? Wie ein Geschenk,\ndas niemals zu Ende geht...\x0E\x04\x00\x00
MID_GR_Fram_C_#002	\x0E\x03\x02\x0A\x08セネリオ\nEin Geschenk? Wovon sprichst du da? Warum\nergeben deine Worte keinen Sinn?\x0E\x04\x00\x00
MID_GR_Fram_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0E\x08セネリオ\x022\n\x0E\x03\x02\x08\x06フラン\nLord Soren, könntet Ihr mir helfen, einen\nJubelruf zu finden, der \x0E\x0A\x00\x10\x06den\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin im\nTraining anspornt?\x0E\x04\x00\x00
