MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nHa! Ja!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0C\nラファール\nIhr.\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0E\x0Cアルフレッド\nNoch etwas mehr! Uff!\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0C\nラファール\nEure Aufmerksamkeit bitte!\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nHuch? Ach, Mylord Rafal. Ihr wirkt etwas neben\nEuch. Kann ich helfen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0C\nラファール\nBeendet sofort Euer schwitzendes Gegrunze.\nEs beeinträchtigt meinen Seelenfrieden.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nKein Problem, dann trainiere ich eben etwas\nleiser. Tut mir leid, dass es Euch gestört hat.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0C\nラファール\nDas genügt nicht. Ich verlange, dass Ihr es\nvollständig abbrecht. Allein der Anblick ist mir\nschon zuwider.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch kann mein Training nicht einfach abbrechen.\nAber ich bin sicher, wir finden einen\nKompromiss. Lasst mich nachdenken...\x0E\x04\x02\x00
MID_RELIANCE_C_#010	Ha, ich weiß! Warum macht Ihr nicht einfach\nmit?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0C\nラファール\nBitte was?\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn wir zusammen trainieren, werden Euch\ndie Geräusche gar nicht mehr stören.\x0E\x04\x02\x00
MID_RELIANCE_C_#013	Kommt schon, das wird lustig!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0C\nラファール\nIch habe weder die Zeit noch die Geduld dazu,\ndiese sinnlose Farce mitzumachen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x0E\x0Cアルフレッド\nDas sagt jeder am Anfang.\x0E\x04\x02\x00
MID_RELIANCE_C_#016	Versucht es doch mal. Ich als Euer persönlicher\nTrainer werde Euch schon noch dafür\nbegeistern.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0C\nラファール\nJeder Moment, den ich mit Euch spreche, ist\nvergeudet. Wenn Ihr bleiben wollt, gehe ich\neben fort, und zwar schleunigst.\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nAch kommt, Mylord Rafal-- hui, er ist ganz\nschön in Form. Was für ein flinker Schritt!\x0E\x04\x02\x00
MID_RELIANCE_C_#019	He, wartet auf mich. Ein Wettrennen? Da bin ich\ndabei!\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0C\nラファール\nArgh! Was hat dieser Mann für ein Problem?\x0E\x04\x02\x00
MID_RELIANCE_C_#021	Was macht Ihr da? Hört sofort auf, mir\nnachzulaufen!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x10\nラファール\x022\n\x0E\x03\x02\x0E\x0Cアルフレッド\nUff... Keuch... Ihr seid ein großartiger Läufer,\nwisst Ihr das? Ein Naturtalent.\x0E\x04\x02\x00
MID_RELIANCE_B_#002	Seit unserem letzten Treffen habe ich extra\nviel trainiert, und trotzdem kann ich nicht mit\nEuch mithalten.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0C\nラファール\nIch bin ein Drache. Kein niederer Mensch kann\nmit mir mithalten.\x0E\x04\x02\x00
MID_RELIANCE_B_#004	Ich übertreffe Euch ohne Anstrengung. All Eure\nMühen sind vergebens. Wärt Ihr weise genug,\nwürdet Ihr längst aufgeben.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nTut mir leid, Mylord Rafal, aber da kann ich so\ngar nicht zustimmen.\x0E\x04\x02\x00
MID_RELIANCE_B_#006	Mein Training ist nicht nutzlos. Mein Körper ist\nder lebende Beweis dafür.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0C\nラファール\nWas meint Ihr damit?\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nIn meiner Kindheit war ich schwach und\nzerbrechlich. Niemand hätte darauf gewettet,\ndass ich ein langes Leben vor mir habe.\x0E\x04\x02\x00
