MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06フラン\x021\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x02\x08\x06フラン\nLapis! Hey, Lapis! Ich hab gehört, du hast schon\nmal Bären erlegt. Ist das wahr?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x04\x03\x04
MID_RELIANCE_C_#003	\x0E\x04\x03\x04
MID_RELIANCE_C_#004	\x0E\x04\x03\x04
MID_RELIANCE_C_#005	\x0E\x04\x03\x04
MID_RELIANCE_C_#006	\x0E\x03\x02\x08\x06ラピス\nNa ja... schon, aber bitte behalte das doch\nfür dich.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x08\x06フラン\nWarum denn? Das ist doch total beeindruckend!\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x08\x06ラピス\nÄh... Ich weiß nicht.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x08\x06フラン\nLapis, du musst mich auf eine Bärenjagd\nmitnehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x08\x06ラピス\nIrgendwie habe ich das Gefühl, dir fehlt der\nnötige Ernst, Framme. Bären sind extrem\ngefährlich, weißt du?\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x08\x06フラン\nAber ich MEINE es ernst! Todernst.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x08\x06フラン\nEs heißt, ein blutrünstiger Bär treibe sein\nUnwesen in einem nahe gelegenen Wald. Eine\nMenge Leute haben schon richtig Angst.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x08\x06フラン\nIch hab mich dafür gemeldet, ihn zu erledigen,\naber Vander hat sich sofort dagegen\nausgesprochen.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x08\x06フラン\nIch zitiere: „Zu Derartigem bist du noch nicht\nbereit, Framme.“ Ist das nicht total gemein?\nIch will doch nur helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x08\x06ラピス\nIch bin mir sicher, Vander hat das nur gesagt,\nweil er um dein Wohlergehen besorgt ist,\nFramme.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x08\x06フラン\nAch was! Er denkt bestimmt bloß, dass ich zu\nschusselig bin, um es mit einem wilden Bären\naufzunehmen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x08\x06フラン\nIch will ihm beweisen, dass ich eine würdige\nBehüterin bin. Also, hilfst du mir dabei, diesen\nBären zu erlegen, Lapis? Biiitte?\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x08\x06ラピス\nOh, Framme...\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x08\x06ラピス\nNa gut. Wenn es dir wirklich ernst ist, werde ich\ndir bei der Bärenjagd helfen.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x08\x06フラン\nEcht?!\x0E\x04\x00\x00
MID_RELIANCE_C_#021	\x0E\x03\x02\x08\x06ラピス\nAber du musst gut aufpassen und all meine\nAnweisungen befolgen. Wilde Bären sind\nwirklich gefährlich.\x0E\x04\x00\x00
MID_RELIANCE_C_#022	\x0E\x03\x02\x08\x06フラン\nDas werde ich! Ich versprech's. Danke für\ndeine... unentBÄRliche Hilfe, Lapis! Hihihi...\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ラピス\x022\n\x0E\x03\x00\x0C\x06フラン\x021
MID_RELIANCE_B_#002	\x0E\x03\x02\x08\x06フラン\nAlso, in dieser Gegend wurde der wilde Bär\nzuletzt gesichtet.\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x08\x06ラピス\nBleib stets wachsam, Framme. Der Bär könnte\njederzeit aus jeder Richtung angreifen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x08\x06フラン\nWirklich? Ähm, na gut...\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x08\x06ラピス\nDas Wichtigste ist, Ruhe zu bewahren. Mach\nkeine ruckartigen Bewegungen oder lauten\nGeräusche.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x08\x06フラン\nAlles klar. Und falls der Bär mich überrumpelt,\nstell ich mich einfach tot. So überlebt man doch\nBärenangriffe, richtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x08\x06ラピス\nNein, stell dich auf keinen Fall tot. Wenn dich\nein Bär bedroht, solltest du deinen Mann stehen.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x08\x06フラン\nOh. Hm, du weißt wirklich viel über Bären.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x08\x06ラピス\nAuf dem Land musste ich so etwas lernen.\nUnser Dorf wurde ständig von Bären attackiert.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x08\x06ラピス\nOft sind sie über unsere Felder getrampelt,\nhaben dabei die ganze Ernte entwurzelt und\nsomit Monate harter Arbeit zunichtegemacht...\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x08\x06ラピス\nIn meinem Dorf gab es ohnehin nie viel zu\nessen. Diese Angriffe wurden für uns also zu\neinem Kampf auf Leben und Tod.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x08\x06フラン\nOho, Lapis. Ich hatte ja keine Ahnung... Kein\nWunder, dass du so stark bist!\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x08\x06ラピス\nIch will auch nicht, dass die Leute wissen, dass\nich vom Land komme. Das bleibt bitte zwischen\nuns, ja?\x0E\x04\x00\x00
