MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nPrinz Alfred. Darf ich Euch um Erlaubnis für\neinen schnellen Schlecker bitten?\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nKannst du das noch mal wiederholen, Bunet?\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x06\x04ボネ\nVergebt mir, Herr. Ich kann es erklären.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x06\x04ボネ\nEs geht um die Blumen auf Eurem Haupt. Ich\nwünsche, sie mit meinen Geschmacksknospen\nbekannt zu machen.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nDu willst eine Blume essen?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x06\x04ボネ\nHm, da ging ich wohl einen Schritt zu weit.\nBitte vergesst meine Bitte.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0E\x0Cアルフレッド\nHahaha, du bist mir ja einer, Bunet.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0E\x0Cアルフレッド\nSchon gut. Ich werde schauen, ob ich dir eine\nsolche Blume besorgen kann.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0E\x0Cアルフレッド\nDie kannst du dann nach Herzenslust\nverköstigen.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x06\x04ボネ\nHabt Dank.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nApropos, Bunet, das sind aber saftige\nMuskeln, die du da hast.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x06\x04ボネ\nSaftig, sagt Ihr. Vielleicht möchtet Ihr auch\neinmal kurz schlecken?\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nÄh, nein danke. Das war nur ein einfaches\nKompliment.\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0E\x0Cアルフレッド\nIch wünschte, ich hätte Muskeln wie du. Aber\nirgendwie wachsen sie bei mir nicht so, wie sie\nsollten.\x0E\x04\x00\x00
MID_RELIANCE_C_#015	\x0E\x03\x02\x06\x04ボネ\nHm... Vielleicht würde eine Ernährungs-\numstellung Euch ein wenig aufpäppeln.\x0E\x04\x00\x00
MID_RELIANCE_C_#016	\x0E\x03\x02\x06\x04ボネ\nWenn Ihr mögt, kann ich etwas richtig\nReichhaltiges, Herzhaftes für Euch kochen.\x0E\x04\x00\x00
MID_RELIANCE_C_#017	\x0E\x03\x02\x0E\x0Cアルフレッド\nErnsthaft? Das wäre großartig!\x0E\x04\x00\x00
MID_RELIANCE_C_#018	\x0E\x03\x02\x06\x04ボネ\nVerstanden. Betrachtet es als Bezahlung für\neine dieser appetitlichen Blumen.\x0E\x04\x00\x00
MID_RELIANCE_C_#019	\x0E\x03\x02\x06\x04ボネ\nIch werde umgehend die Zutaten zusammen-\nstellen. Bitte gebt mir einen Augenblick Zeit zur\nVorbereitung.\x0E\x04\x00\x00
MID_RELIANCE_C_#020	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn es mein Muskelproblem löst, bekommst\ndu alle Zeit, die notwendig ist!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x12\x0Cアルフレッド\x021\n\x0E\x03\x00\x0A\x04ボネ\x022\n\x0E\x03\x02\x06\x04ボネ\nHmm... Ein Hauch von Süße...\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0E\x0Cアルフレッド\nIst das die Blume aus Firene? Ist sie denn so,\nähm, wohlschmeckend, wie du erhofft hast?\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x06\x04ボネ\nJa. Wie ein prächtig königlicher Tanz auf der\nZunge. Sie wird wunderbar in einen Salat\npassen.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x06\x04ボネ\nDas ist also der Geschmack der firenischen\nKönigsklasse.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0E\x0Cアルフレッド\nNun, es ist nur eine Blume.\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0E\x0Cアルフレッド\nEgal. Ich hörte, du warst fleißig.\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x06\x04ボネ\nJa.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x06\x04ボネ\nIch habe an einem Gericht gearbeitet, das Eure\nMuskeln definieren wird.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x06\x04ボネ\nEndlich ist es vollendet.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0E\x0Cアルフレッド\nDanke!\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0E\x0Cアルフレッド\nWenn ich das esse, bekomme ich die harten\nMuskeln, die ich mir schon so lange wünsche,\nrichtig?\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x06\x04ボネ\nTheoretisch ja.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0E\x0Cアルフレッド\nKlar. Eine Garantie gibt's nie. Trotzdem ist es\nden Versuch wert!\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x06\x04ボネ\nIn der Tat. Dann werde ich es Euch jetzt\nservieren.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x04\x03\x04
MID_RELIANCE_B_#016	\x0E\x03\x02\x0E\x0Cアルフレッド\nHmmm...\x0E\x04\x00\x00
MID_RELIANCE_B_#017	\x0E\x03\x02\x06\x04ボネ\nWie sieht es aus?\x0E\x04\x00\x00
MID_RELIANCE_B_#018	\x0E\x03\x02\x0E\x0Cアルフレッド\nEs sieht aus wie... Fleisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#019	\x0E\x03\x02\x0E\x0Cアルフレッド\nFleisch in Fleischsoße gegart, angerichtet auf\neinem Bett aus dünn geschnittenem Fleisch.\x0E\x04\x00\x00
MID_RELIANCE_B_#020	\x0E\x03\x02\x06\x04ボネ\nNun ja. Fleisch, also Muskel, bringt Muskeln\nhervor. Davon ging ich als Laie aus.\x0E\x04\x00\x00
MID_RELIANCE_B_#021	\x0E\x03\x02\x06\x04ボネ\nDaher folgerte ich: Je mehr Fleisch Ihr esst,\ndesto mehr Muskeln wachsen Euch.\x0E\x04\x00\x00
MID_RELIANCE_B_#022	\x0E\x03\x02\x0E\x0Cアルフレッド\nKlingt logisch. Ich sehe, du hast sehr gründlich\nüber all das nachgedacht!\x0E\x04\x00\x00
MID_RELIANCE_B_#023	\x0E\x03\x02\x0E\x0Cアルフレッド\nUnd als Dank werde ich ordentlich reinhauen!\x0E\x04\x00\x00
MID_RELIANCE_B_#024	\x0E\x03\x02\x0E\x0Cアルフレッド\nStopp meine Zeit!\x0E\x04\x00\x00
MID_RELIANCE_B_#025	\x0E\x03\x02\x06\x04ボネ\nWelch ein Appetit. Und welche Freude für mich,\ndass mein Gericht so... unmittelbar genossen\nwird.\x0E\x04\x00\x00
MID_RELIANCE_B_#026	\x0E\x03\x02\x06\x04ボネ\nSäen wir die saftigen Samen und hoffen,\ndass sie eine reiche Ernte an Muskeln tragen\nwerden.\x0E\x04\x00\x00
