MID_GR_El_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nEs ist eine Ehre, dich zu kennen, Emblem\nDimitri. Danke, dass du uns zu Hilfe eilst.\x0E\x04\x00\x00
MID_GR_El_C_#002	\x0E\x03\x02\x0C\nディミトリ\nDie Ehre ist ganz meinerseits. Ich helfe gern,\nwo immer ich kann.\x0E\x04\x00\x00
MID_GR_El_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nIch will nicht aufdringlich erscheinen, doch du\nwirkst sehr einsam – selbst inmitten deiner\nFreunde.\x0E\x04\x00\x00
MID_GR_El_B_#002	\x0E\x03\x02\x0C\nディミトリ\nIch kann dir versichern, dass das nicht der Fall\nist. Ich hoffe, ich bereite dir keine Sorgen.\x0E\x04\x00\x00
MID_GR_El_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x06\x04エル\nEmblem Claude zufolge verlässt du dich\nzuallererst sehr auf dich selbst. Vielleicht\nsogar zu sehr.\x0E\x04\x00\x00
MID_GR_El_A_#002	\x0E\x03\x02\x06\x04エル\nEr rät dir, dich mehr auf deine Verbündeten zu\nverlassen, um deiner selbst willen. Ich bin\ngeneigt, ihm zuzustimmen.\x0E\x04\x00\x00
MID_GR_El_A_#003	\x0E\x03\x02\x0C\nディミトリ\nIch schätze, das trifft zu. Das habe ich in\nmeinem Leben schon von vielen gehört.\x0E\x04\x00\x00
MID_GR_El_A_#004	\x0E\x03\x02\x0C\nディミトリ\nIch wünsche lediglich, niemandem zur Last zu\nfallen. Ich werde versuchen, mir deine Worte\nzu Herzen zu nehmen.\x0E\x04\x00\x00
MID_GR_Rafale_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0C\nラファール\nWie sehr du mich dafür verachten musst, dass\nich deinen Armreif solch lange Zeit verborgen\ngehalten hatte...\x0E\x04\x00\x00
MID_GR_Rafale_C_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nIm Gegenteil: Du tust gerade aktiv Buße dafür.\nWir haben keinen Streit mit dir.\x0E\x04\x00\x00
MID_GR_Rafale_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nIch gestehe, eine Sache an dir irritiert mich\ntatsächlich: Die Menge Zucker, die du in\ndeinen Tee gibst.\x0E\x04\x00\x00
MID_GR_Rafale_B_#002	\x0E\x03\x02\x0C\nラファール\nJe süßer, desto besser, Edelgard. In diesem\nPunkt dulde ich keinen Widerspruch.\x0E\x04\x00\x00
MID_GR_Rafale_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nラファール\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nDu stürmst zu oft allein in den Kampf. Ich bitte\ndich, denke mehr an deine Verbündeten.\x0E\x04\x00\x00
MID_GR_Rafale_A_#002	\x0E\x03\x02\x0C\nラファール\nWenn ich dir so zuwider bin, dann geh.\nNiemand zwingt dich, mich auszuhalten.\x0E\x04\x00\x00
MID_GR_Rafale_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nDas habe ich nicht gesagt. Ich bitte lediglich\ndarum, dass du zumindest einfache Strategien\nin Betracht ziehst...\x0E\x04\x00\x00
