MID_RELIANCE_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nHYAAA!\x0E\x04\x00\x00
MID_RELIANCE_C_#002	\x0E\x03\x02\x0A\x08リュール\nDas war unglaublich!\x0E\x04\x00\x00
MID_RELIANCE_C_#003	\x0E\x03\x02\x0A\x08パネトネ\nJa. Lernet, mit all Eurer Kraft zu schlagen,\nsodass Ihr jeglichen schurkischen Gestalten\nüberlegen sein möget.\x0E\x04\x00\x00
MID_RELIANCE_C_#004	\x0E\x03\x02\x0A\x08パネトネ\nIch war offen gestanden überrascht, dass Ihr\nmich um eine Lektion in Rauferei batet.\x0E\x04\x00\x00
MID_RELIANCE_C_#005	\x0E\x03\x02\x0A\x08パネトネ\nOffenbar plant Ihr, eine... robuste Konversation\nmit jemandem zu führen. Vielleicht mit einem\nSchuldner?\x0E\x04\x00\x00
MID_RELIANCE_C_#006	\x0E\x03\x02\x0A\x08リュール\nWas? Nein, nichts dergleichen.\x0E\x04\x00\x00
MID_RELIANCE_C_#007	\x0E\x03\x02\x0A\x08リュール\nAber ich könnte meine Waffe verlieren, wenn\nich kämpfe – oder aus dem Hinterhalt attackiert\nwerden, wenn ich es gerade nicht tue.\x0E\x04\x00\x00
MID_RELIANCE_C_#008	\x0E\x03\x02\x0A\x08リュール\nFür den Fall der Fälle wäre es am besten, wenn\nich lerne, mich auch dann zur Wehr zu setzen.\x0E\x04\x00\x00
MID_RELIANCE_C_#009	\x0E\x03\x02\x0A\x08パネトネ\nIch verstehe. Welch scharfe Auffassungsgabe,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_RELIANCE_C_#010	\x0E\x03\x02\x0A\x08パネトネ\nWohlan. So unterrichte ich Euch denn in der\nantiken Kunstform der gepflegten Prügelei.\x0E\x04\x00\x00
MID_RELIANCE_C_#011	\x0E\x03\x02\x0A\x08パネトネ\nIch lehre Euch, einen unbeugsamen Geist zu\nzüchten. Mit nur einem Stirnrunzeln Legionen\nverängstigt in die Flucht zu schlagen.\x0E\x04\x00\x00
MID_RELIANCE_C_#012	\x0E\x03\x02\x0A\x08パネトネ\nEs gibt so vieles, das ich Euch beibringen\nwerde.\x0E\x04\x00\x00
MID_RELIANCE_C_#013	\x0E\x03\x02\x0A\x08リュール\nIch verstehe. Und ich bin bereit zu lernen!\x0E\x04\x00\x00
MID_RELIANCE_C_#014	\x0E\x03\x02\x0A\x08パネトネ\nGut. Euch schmiede ich zu \x0E\x0A\x00\x18\neinem\neiner gefürchteten\n\x0E\x0A\x00(\x10Raufbold\x14Raufboldin. Beginnen wir!\x0E\x04\x00\x00
MID_RELIANCE_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08パネトネ\x022\n\x0E\x03\x02\x0A\x08パネトネ\nIn einer Rauferei ist der erste Schlag der\nwichtigste. Der Sieg beruht oft darauf, noch vor\ndem Gegner anzugreifen.\x0E\x04\x00\x00
MID_RELIANCE_B_#002	\x0E\x03\x02\x0A\x08パネトネ\nDarum müsst Ihr schnell sein. Und mit der\nGewandtheit eines Raubvogels zuschlagen!\x0E\x04\x00\x00
MID_RELIANCE_B_#003	\x0E\x03\x02\x0A\x08リュール\nGewandt. Verstanden.\x0E\x04\x00\x00
MID_RELIANCE_B_#004	\x0E\x03\x02\x0A\x08パネトネ\nSelbst wenn Eure Gegner zuerst angreifen\nsollten, könnt Ihr so ihren Fäusten entrinnen.\x0E\x04\x00\x00
MID_RELIANCE_B_#005	\x0E\x03\x02\x0A\x08リュール\nKlingt logisch...\x0E\x04\x00\x00
MID_RELIANCE_B_#006	\x0E\x03\x02\x0A\x08パネトネ\nIst irgendetwas, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_RELIANCE_B_#007	\x0E\x03\x02\x0A\x08リュール\nIch bin nur überrascht, dass eine edle Dame wie\ndu so viel über Faustkämpfe weiß.\x0E\x04\x00\x00
MID_RELIANCE_B_#008	\x0E\x03\x02\x0A\x08パネトネ\nIch schätze, es hat keinen Sinn, die Wahrheit zu\nleugnen. Die Dame, die vor Euch steht, ist alles\nandere als edel.\x0E\x04\x00\x00
MID_RELIANCE_B_#009	\x0E\x03\x02\x0A\x08パネトネ\nIn vergangenen Zeiten war sie sogar\nausgesprochen ungezähmt.\x0E\x04\x00\x00
MID_RELIANCE_B_#010	\x0E\x03\x02\x0A\x08リュール\nErnsthaft?\x0E\x04\x00\x00
MID_RELIANCE_B_#011	\x0E\x03\x02\x0A\x08パネトネ\nJa. Meine Eltern waren furchtbar. Sie lebten ihr\nLotterleben, ohne je an ihre Kinder zu denken.\x0E\x04\x00\x00
MID_RELIANCE_B_#012	\x0E\x03\x02\x0A\x08パネトネ\nDarum floh ich. Und bevor die Prinzessin mich\nin ihre Dienste nahm, führte ich ein einsames,\nunstetes Vagabundenleben.\x0E\x04\x00\x00
MID_RELIANCE_B_#013	\x0E\x03\x02\x0A\x08パネトネ\nZu jener Zeit lernte ich, wie man sich mit\nFäusten zur Wehr setzt.\x0E\x04\x00\x00
MID_RELIANCE_B_#014	\x0E\x03\x02\x0A\x08リュール\nEs tut mir leid, dass du das alles erleiden\nmusstest.\x0E\x04\x00\x00
MID_RELIANCE_B_#015	\x0E\x03\x02\x0A\x08パネトネ\nLeid? Wäre ich nicht aus meinem elenden\nZuhause ausgerissen, wäre ich heute wohl kaum\ndie, die ich jetzt bin.\x0E\x04\x00\x00
