MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ジャン\x021\n\x0E\x03\x00\x1C\x16S001_ジャン_父親\x022\n\x0E\x03\x02\x18\x16S001_ジャン_父親\nDiese Pillen sollten das Problem lösen.\nFalls die Schmerzen anhalten, gebt Ihr mir\nBescheid, ja?\x0E\x04\x00\x00
MID_OP1_#002	\x0E\x03\x02\x18\x16S001_ジャン_父親\nUnd du siehst heute wieder munter aus. Ich\nhatte dir ja gesagt, dass die Erkältung in kurzer\nZeit wieder abgeklungen sein würde.\x0E\x04\x00\x00
MID_OP1_#003	\x0E\x03\x02\x08\x06ジャン\nVater, solltest du nicht 'ne Pause machen?\nSchau, ich hab dir Tee gekocht.\x0E\x04\x00\x00
MID_OP1_#004	\x0E\x03\x02\x18\x16S001_ジャン_父親\nDanke, Jean. Ich hoffe, du hast dich dabei nicht\nverbrannt oder so.\x0E\x04\x00\x00
MID_OP1_#005	\x0E\x03\x02\x08\x06ジャン\nDu machst dir zu viel Sorgen. Ich bin schon alt\ngenug, um 'ne Kanne Tee allein aufzubrühen,\nganz sicher.\x0E\x04\x00\x00
MID_OP1_#006	\x0E\x03\x02\x18\x16S001_ジャン_父親\nHm-hm, es macht mich glücklich, dass du zu so\neinem feinen Mann heranwächst.\x0E\x04\x00\x00
MID_OP1_#007	\x0E\x03\x02\x18\x16S001_ジャン_父親\nHm? Was ist denn dort los?\x0E\x04\x00\x00
MID_OP1_#008	\x0E\x03\x00\x1C\x16S001_村人_青年男\x023\n\x0E\x03\x02\x18\x16S001_村人_青年男\nDoktor! Ihr müsst uns helfen. Monster greifen\nan, und wir haben Verwundete!\x0E\x04\x00\x00
MID_OP1_#009	\x0E\x03\x00\x1C\x16S001_異形兵_ボス\x023\n\x0E\x03\x02\x18\x16S001_異形兵_ボス\nRrraaaar! RRRAAAAR!\x0E\x04\x00\x00
MID_OP1_#010	\x0E\x03\x02\x08\x06ジャン\nWas zum Henker sind das für Biester?\x0E\x04\x00\x00
MID_OP1_#011	\x0E\x03\x02\x18\x16S001_ジャン_父親\nDas wird hässlich. Jean, versteck dich.\nIch bringe die Leute in die Klinik.\x0E\x04\x00\x00
MID_OP1_#012	\x0E\x03\x02\x18\x16S001_ジャン_父親\nHierher, allesamt. Wer unverletzt ist, helfe den\nVerletzten. Wir müssen zusammenhalten!\x0E\x04\x00\x00
MID_OP1_#013	\x0E\x03\x02\x08\x06ジャン\nIch weiß, dass Vater wollt, dass ich mich\nverstecke, aber wie könnt ich? Ich muss auch\nmeine Pflicht und so tun!\x0E\x04\x00\x00
MID_OP2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x1C\x08リュール\x10Surprise\n\x0E\x03\x02\x0A\x08リュール\nOh nein...\x0E\x04\x00\x00
MID_OP2_#002	\x0E\x03\x00\x1C\x16S001_異形兵_ボス\x02b\n\x0E\x03\x02\x18\x16S001_異形兵_ボス\nRRRAAAR!\x0E\x04\x00\x00
MID_OP2_#003	\x0E\x03\x01\x0A\x08リュール\n\x0E\x03\x00\x1C\x16S001_村人_青年男\x02t\n\x0E\x05\x01"\x16S001_村人_青年男\x08Pain\n\x0E\x03\x02\x18\x16S001_村人_青年男\nBewegung! In der Klinik seid Ihr sicher!\x0E\x04\x00\x00
MID_OP2_#004	\x0E\x03\x01\x18\x16S001_異形兵_ボス\n\x0E\x03\x00\x1C\x16S001_ジャン_父親\x02b\n\x0E\x05\x01$\x16S001_ジャン_父親\nAngry\n\x0E\x03\x02\x18\x16S001_ジャン_父親\nHaltet durch. Sobald diese Krise vorbei ist,\nflicke ich Euch wieder zusammen.\x0E\x04\x00\x00
MID_OP2_#005	\x0E\x03\x01\x18\x16S001_ジャン_父親\n\x0E\x03\x01\x18\x16S001_村人_青年男\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nWir können nicht tatenlos herumstehen,\nwährend Verzerrte hier Chaos verbreiten.\nRetten wir die Dorfbewohner!\x0E\x04\x00\x00
MID_OP3_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0E\x08リュール\x02t\n\x0E\x05\x01\x16\x08リュール\nAngry\n\x0E\x03\x02\x0A\x08リュール\nSeid Ihr in Ordnung? Bringt Euch in Sicherheit,\nund überlasst die Verzerrten uns!\x0E\x04\x00\x00
MID_OP3_#002	\x0E\x03\x00\x1C\x16S001_村人_青年女\x02b\n\x0E\x05\x01 \x16S001_村人_青年女\x06Sad\n\x0E\x03\x02\x18\x16S001_村人_青年女\nDas müsst Ihr mir nicht zwei Mal sagen. Aber\ndort sind noch einige, die nicht rechtzeitig\nentkommen konnten.\x0E\x04\x00\x00
MID_OP3_#003	\x0E\x03\x02\x0A\x08リュール\nWir tun alles in unserer Macht Stehende, um so\nviele wie möglich von ihnen zu retten.\x0E\x04\x00\x00
MID_OP3_#004	\x0E\x03\x02\x18\x16S001_村人_青年女\nSie werden Euch überaus dankbar sein.\nIhr seid ihre letzte Hoffnung!\x0E\x04\x00\x00
MID_EV1_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x1C\x16S001_ジャン_父親\x02b\n\x0E\x05\x01"\x16S001_ジャン_父親\x08Pain\n\x0E\x03\x02\x18\x16S001_ジャン_父親\nSo viele Verwundete, die es nicht zur Klinik\ngeschafft haben... Obliegt es nun mir, sie alle\nzu behandeln?\x0E\x04\x00\x00
MID_EV2_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06ジャン\x02t\n\x0E\x03\x00\x1C\x16S001_ジャン_父親\x02b\n\x0E\x05\x01\x18\x06ジャン\x0EStandBy\n\x0E\x03\x02\x08\x06ジャン\nVater, ich bin hier. Wenn wir uns aufteilen,\nkönnen wir uns um alle kümmern!\x0E\x04\x00\x00
MID_EV2_#002	\x0E\x05\x01*\x16S001_ジャン_父親\x10Surprise\n\x0E\x03\x02\x18\x16S001_ジャン_父親\nJean?! Ich dachte, ich hätte dir gesagt, du sollst\ndich verstecken!\x0E\x04\x00\x00
MID_EV2_#003	\x0E\x05\x01\x16\x06ジャン\x0CStrike\n\x0E\x03\x02\x08\x06ジャン\nIch kann mich doch nicht einfach verstecken,\nwenn so viele Leute meine Hilfe brauchen!\x0E\x04\x00\x00
