MID_Movie_S02	Eine vergangene Schlacht
MID_H_Movie_S02	\x0E\x06\x03\x00 fegt über das Schlacht-\nfeld. Verbündete und Embleme stehen\n\x0E\x0A\x00\x10\x06ihm\x06ihr auf dem Weg zum finalen Kampf bei.
MID_Movie_S03	Bündnis mit dem Emblem
MID_H_Movie_S03	Emblem Marth und \x0E\x06\x03\x00\nverbünden sich und verschmelzen ihre\nKräfte, um den Feind zu besiegen.
MID_Movie_S04	Beschwörung des Heldenkönigs
MID_H_Movie_S04	Der Ring leuchtet blau und es erscheint\nder Schwertkämpfer aus den Träumen\nvon \x0E\x06\x03\x00, Emblem Marth.
MID_Movie_S05	Die Wyrmgottkönigin
MID_H_Movie_S05	\x0E\x06\x03\x00 wird kurz vor der Nieder-\nlage von einem weißen Drachen gerettet,\nder dann menschliche Form annimmt.
MID_Movie_S06	Die Geschichte Elyos'
MID_H_Movie_S06	Auf dem Weg zu Schloss Lythos erzählt\nLumera \x0E\x06\x03\x00 von Elyos und\nden Emblemen.
MID_Movie_S07	Scharlachrote Erinnerungen
MID_H_Movie_S07	Ein rothaariger Kämpfer steht in einem\nbrennenden Schloss und zeigt sich über\nLumeras Befragung amüsiert.
MID_Movie_S08	Alfred
MID_H_Movie_S08	Schloss Lythos wird von unbekannten\nFeinden angegriffen, doch Kronprinz\nAlfred von Firene eilt zu Hilfe.
MID_Movie_S09	Der Sturz der Königin
MID_H_Movie_S09	Ein Feind schleudert einen Zauber auf\n\x0E\x06\x03\x00, den Lumera abwehren\nkann. Doch der Preis dafür ist hoch...
MID_Movie_S10	Begegnung mit Veyle
MID_H_Movie_S10	Ein Verzerrter greift \x0E\x06\x03\x00\nhinterrücks an, wird jedoch vom Zauber\neines mysteriösen Mädchens besiegt.
MID_Movie_S11	Diamant
MID_H_Movie_S11	Brodias Kronprinz Diamant begrüßt\n\x0E\x06\x03\x00 und \x0E\x0A\x00\x16\nseine\x08ihre Gefährten\nan den Toren von Schloss Brodia.
MID_Movie_S12	Ivy
MID_H_Movie_S12	Ivy, Kronprinzessin von Elusia, dringt auf\nGeheiß ihres Vaters in Schloss Brodia\nein und verlangt die Emblem-Ringe.
MID_Movie_S13	Konflikt an der Grenze
MID_H_Movie_S13	Im Krieg zwischen Brodia und Elusia fällt\nKönig Hyacinth fast gegen König Morion.\nEin Dunkles Emblem wendet das Blatt.
MID_Movie_S14	Dämonendrache Sombron
MID_H_Movie_S14	Sombron wird durch ein Ritual gestärkt.\nUm seine Macht vollständig zu erlangen,\nraubt er König Hyacinths Blut.
MID_Movie_S15	Timerra
MID_H_Movie_S15	Timerra, Kronprinzessin von Solm,\nreist gemeinsam mit ihren Getreuen\ndurch das Königinreich.
MID_Movie_S16	Veyles Wunsch
MID_H_Movie_S16	Die Vier Bluthunde und Veyle stechen in\nSee. Wieder bei Sinnen gibt Veyle den\nRing des Heiligen Ritters \x0E\x06\x03\x00.
MID_Movie_S17	Tod \x0E\x0A\x00<\x1Cdes Wyrmgottes\x1Cder Wyrmgöttin
MID_H_Movie_S17	Sombron versucht voller Verachtung\nVeyle zu töten, doch \x0E\x06\x03\x00\nopfert sich, um ihr Leben zu retten.
MID_Movie_S18	Die Wiederherstellung Gradlons
MID_H_Movie_S18	Mithilfe der erlangten Ringe verwandelt\nsich Sombron und hebt das versunkene\nGradlon aus den Fluten.
MID_Movie_S19	Erinnerungen aus fernen Zeiten
MID_H_Movie_S19	Eine tausend Jahre alte Erinnerung:\n\x0E\x06\x03\x00 besiegt Sombron und\nfällt schwer verletzt in Lumeras Arme.
MID_Movie_S20	Ein neues Emblem
MID_H_Movie_S20	Sogar im Tode zeigt \x0E\x06\x03\x00\nnoch Kampfeswillen. Die zwölf Embleme\ngewähren \x0E\x0A\x00\x10\x06ihm\x06ihr einen Wunsch...
MID_Movie_S21	Der Albtraum
MID_H_Movie_S21	Geschwächt vom Kampf erblickt\n\x0E\x06\x03\x00 Sombron, Veyle und\nein unheimliches Spiegelbild.
MID_Movie_S22	Ein bevorstehendes Wiedersehen
MID_H_Movie_S22	Nach der entscheidenden Schlacht bittet\n\x0E\x06\x03\x00 die Embleme, der bevor-\nstehenden Krönung beizuwohnen.
MID_Movie_C01	Endlich erwacht
MID_H_Movie_C01	\x0E\x0A\x008\x18Der Wyrmgott\x1CDie Wrymgöttin \x0E\x06\x03\x00 ist\nendlich erwacht! Clanne und Framme\nüberbringen die frohe Kunde.
MID_Movie_C02	Die Verzerrten
MID_H_Movie_C02	In der Grasebene von Lythos greifen\nMonster die Gruppe an. Clanne und\nFramme schweben in Gefahr.
MID_Movie_C03	Das Emblem
MID_H_Movie_C03	\x0E\x06\x03\x00 wird klar, wer zu \x0E\x0A\x00\x10\x06ihm\x06ihr\naus dem Ring spricht und beschwört\ndaraufhin das Emblem.
MID_Movie_C04	Perfekt synchronisiert
MID_H_Movie_C04	Emblem Marth und \x0E\x06\x03\x00\nretten gemeinsam Clanne und Framme\nvor den Verzerrten.
MID_Movie_C05	Angriff auf die Ringkammer
MID_H_Movie_C05	\x0E\x06\x03\x00 hört eine Explosion und\neilt zur Ringkammer. Auf dem Weg dort-\nhin trifft \x0E\x0A\x00\x0E\x04er\x06sie auf Vander und die anderen.
MID_Movie_C06	Der Drachenzeitkristall
MID_H_Movie_C06	\x0E\x06\x03\x00 hat den gegnerischen\nGeneral in die Ecke getrieben, aber eine\nseltsame Macht wendet das Blatt.
MID_Movie_C07	Der Tod Lumeras
MID_H_Movie_C07	In Lumeras letzten Momenten vertraut\nsie \x0E\x06\x03\x00 einen Emblem-Ring\nan. Sie geloben, sich wiederzusehen.
MID_Movie_C08	Céline
MID_H_Movie_C08	Prinzessin Céline wird von Verzerrten\nattackiert. Louis und Chloé halten sie auf\nund drängen Céline, Alfred zu suchen.
MID_Movie_C09	Königin Ève
MID_H_Movie_C09	Ein General Elusias befragt Königin Ève,\nwird dabei aber von der Ankunft seiner\nKommandantin Zephia unterbrochen.
MID_Movie_C10	Lose Enden
MID_H_Movie_C10	Zephia bestraft Nelucce für sein Ver-\nsagen bei Schloss Firene. Sie begrüßt\neine schattenhafte Gestalt.
MID_Movie_C11	Alcryst
MID_H_Movie_C11	Prinz Alcryst hält \x0E\x06\x03\x00 und\nAlfred für Banditen. Als er ihre Identität\nerfährt, schämt er sich zutiefst dafür.
MID_Movie_C12	Hortensia
MID_H_Movie_C12	Prinzessin Hortensia von Elusia will die\nEmblem-Ringe haben. Am Viadukt stellt\nsie sich \x0E\x06\x03\x00 in den Weg.
MID_Movie_C13	Das Dunkle Emblem
MID_H_Movie_C13	Hortensia enthüllt, dass sie ein Dunkles\nEmblem besitzt. Also können auch\nDämonendrachen Embleme beschwören.
MID_Movie_C14	Veyles Bemühungen
MID_H_Movie_C14	Veyle entledigt sich ihrer Feinde. Trotz\nihres Erfolges will sie sich noch mehr\nfordern, um stärker zu werden.
MID_Movie_C15	Rückschlag
MID_H_Movie_C15	Morion wird von Hyacinth besiegt und\nnach Elusia gebracht. \x0E\x06\x03\x00\nwill ihn retten, doch da ist Ivy...
MID_Movie_C16	Der verzerrte König Morion
MID_H_Movie_C16	\x0E\x06\x03\x00 konfrontiert König Hya-\ncinth in der Destinea-Kathedrale. Morion,\nso stellt sich heraus, ist ein Verzerrter.
MID_Movie_C17	Gestohlene Verbündete
MID_H_Movie_C17	Sombron beschwört mit den Ringen,\ndie er \x0E\x06\x03\x00 gestohlen hat,\nEmbleme für seine dunklen Zwecke.
MID_Movie_C18	Fogado
MID_H_Movie_C18	\x0E\x06\x03\x00 verirrt sich in der Wüste\nTullah und trifft dort auf Fogado, den\nAnführer der Wächter.
MID_Movie_C19	Tänzer in den Ruinen
MID_H_Movie_C19	Der Tänzer Seadall wird vor dem Tode\ndurch die Hände Verzerrter gerettet, da\nihm eine Stimme den Weg weist.
MID_Movie_C20	Windmühlen in Flammen
MID_H_Movie_C20	Floramühlstadt, einst ein friedlicher Ort\nvoller Windmühlen, steht in Flammen.\nElusias Schiffe liegen in seinem Hafen.
MID_Movie_C21	Die andere Veyle
MID_H_Movie_C21	Zephias Magie wiedererweckt Veyles\ndunkle Seite. Sie fordert \x0E\x06\x03\x00\nheraus. Ihr hilft ein Dunkles Emblem.
MID_Movie_C22	Das Kind des Dämonendrachen
MID_H_Movie_C22	Griss sieht, wie \x0E\x06\x03\x00 ein\nEmblem beschwört. Er verfällt in\nGelächter und enthüllt ein Geheimnis.
MID_Movie_C23	Marnis Ungehorsam
MID_H_Movie_C23	Marni versucht vergeblich, die Vor-\nrichtung zu zerstören, durch die Veyle\nkontrolliert wird. Zephia greift ein.
MID_Movie_C24	Der zerschmetterte Drachenstein
MID_H_Movie_C24	\x0E\x0A\x00\x10\x06Der\x06Die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin stirbt, als \x0E\x0A\x00\x0E\x04er\x06sie Veyle be-\nschützen will. Der Drachenstein zerbricht.\nVeyle erfährt, wer ihr Geschwister ist.
MID_Movie_C25	Veyles Erwachen
MID_H_Movie_C25	Veyle kämpft siegreich gegen ihre dunkle\nSeite. Endlich hat sie die Kontrolle. Sie\nerweckt \x0E\x06\x03\x00 – verzerrt.
MID_Movie_C26	Die Vier Bluthunde
MID_H_Movie_C26	Nachdem Zephia und Griss besiegt\nwurden, öffnen sie sich einander in\nihren letzten Momenten.
MID_Movie_C27	Wiedersehen
MID_H_Movie_C27	Veyle stellt sich der letzten Hüterin des\nDrachensiegels: Lumera, die durch\nSombron zu einer Verzerrten wurde.
MID_Movie_C28	Der zweite Abschied
MID_H_Movie_C28	\x0E\x06\x03\x00 muss erneut Abschied\nnehmen. An der Schwelle des Todes er-\nlangt Lumera ihre Erinnerungen zurück.
MID_Movie_C29	Gelöschte Embleme
MID_H_Movie_C29	Sombron schließt das Portal und die\nEmbleme verschwinden. \x0E\x06\x03\x00\nund Verbündete gehen zum Angriff über.
MID_Movie_C30	Dreizehn Bande
MID_H_Movie_C30	\x0E\x06\x03\x00 beschwört erneut die\nzwölf Embleme. Zusammen mit dem\nletzten Emblem beginnt der Endkampf.
MID_Movie_C31	Dämon Sombron
MID_H_Movie_C31	Für einen kurzen Moment scheint\nSombron besiegt, nimmt dann jedoch\ngrinsend seine Dämonendrachenform an.
MID_Movie_K01	Emblem Sigurd
MID_H_Movie_K01	Emblem Sigurd, beschworen aus dem\nRing des Heiligen Ritters.
MID_Movie_K02	Emblem Celica
MID_H_Movie_K02	Emblem Celica, beschworen aus dem\nRing der gütigen Prinzessin.
MID_Movie_K03	Emblem Micaiah
MID_H_Movie_K03	Emblem Micaiah, beschworen aus dem\nRing der Tochter des Lichts.
MID_Movie_K04	Emblem Roy
MID_H_Movie_K04	Emblem Roy, beschworen aus dem\nRing des jungen Löwen.
MID_Movie_K05	Emblem Leif
MID_H_Movie_K05	Emblem Leif, beschworen aus dem\nRing des weisen Lords.
MID_Movie_K06	Emblem Lyn
MID_H_Movie_K06	Emblem Lyn, beschworen aus dem\nRing der Dame der Ebene.
MID_Movie_K07	Emblem Lucina
MID_H_Movie_K07	Emblem Lucina, beschworen aus dem\nRing der Erhabenen.
MID_Movie_K08	Emblem Ike
MID_H_Movie_K08	Emblem Ike, beschworen aus dem\nRing des strahlenden Helden.
MID_Movie_K09	Emblem Byleth
MID_H_Movie_K09	Emblem Byleth, beschworen aus dem\nRing des Magisters.
MID_Movie_K10	Emblem Corrin
MID_H_Movie_K10	Emblem Corrin, beschworen aus dem\nRing der Weltveränderin.
MID_Movie_K11	Emblem Eirika
MID_H_Movie_K11	Emblem Eirika, beschworen aus dem\nRing der azurblauen Zwillinge.
